Longitude,Latitude
29.008538,41.027081
22.94754,40.626678
29.03837,41.061451
37.798756,44.687919
37.785587,44.719209
13.635901,45.074654
5.021582,60.219491
38.076088,44.565075
9.692913,55.008472
9.692911,55.008397
9.751644,59.01311
-2.551502,47.379168
4.545108,52.407791
12.84899,56.64724
10.171294,54.433675
-1.96512,50.71907
10.191646,54.400507
10.955386,58.978313
-4.50008,52.82057
39.03283,44.110405
-2.493665,47.404148
3.684403,51.599997
10.16119,54.439554
8.392906,58.254528
5.498121,58.749378
10.499976,59.796385
10.340795,59.220593
5.595112,58.876163
10.566353,59.888138
-1.53424,50.693142
6.674743,53.574019
5.667175,58.91399
152.7,-25.2
39.663784,43.584072
33.599323,44.499183
151.3,-33.5
3.6,51.55
3.6,51.55
30.765789,46.552162
18.963885,69.650963
30.763615,46.467954
37.790616,44.695906
37.785554,44.713779
34.422938,44.678749
3.700238,43.42449
-104.350708,19.100606
6.642737,53.598431
30.772529,46.443088
9.115313,58.714339
5.745211,58.987793
10.522914,54.851255
9.239307,58.721937
-5.568278,54.390942
34.627065,44.77802
10.169775,54.433729
10.342813,56.243195
10.149401,54.329461
-5.653375,54.484623
5.251327,59.41584
6.65823,53.607391
6.692047,53.61121
6.647587,53.602859
8.325093,54.935108
3.4,51.35
3.4,51.35
5.8,53.45
4,51.8
3.6,51.55
3.7,51.55
4.35,52.15
5.6,53.4
3.7,51.4
3.7,51.4
4.2,52.05
5.25,53.4
3.7,51.4
4.05,51.85
4.35,52.15
3.45,51.5
3.7,51.4
3.95,51.8
3.7,51.4
4.55,52.4
3.45,51.5
3.7,51.4
6.1,53.45
-9.768037,53.77849
-9.104591,54.212226
-9.873891,52.282923
34.389932,44.631814
10.170241,54.43365
10.171919,54.433538
10.133665,54.367518
4.324027,52.144275
10.150254,54.368849
4.327641,52.147658
34.387922,44.630006
11.50637,54.893523
39.935888,43.408937
13.215222,43.719784
9.740859,55.526475
-9.859242,53.621442
3.683297,51.684498
10.98507,54.828931
3.48682,51.563381
10.26625,56.196841
-3.668488,54.879668
-5.64693,54.48912
12.040739,55.843693
12.027251,56.039581
9.956384,57.070119
4.314041,52.1376
2.749188,53.432789
7.901984,53.789751
7.137831,53.710043
4.284314,52.116116
12.071151,55.653589
10.656606,59.545471
