Longitude,Latitude
-115.921805,33.508125
-115.916777,33.503695
-115.9166,33.502683
-115.637177,33.1738
-115.93777,33.328664
3.215654,39.740706
-115.615372,33.177318
-157.779,21.415
-115.597343,33.201372
31.77612,-28.9492
39.61684,-3.983513
-115.653804,33.147749
135.34705,34.70866
135.48659,34.71967
135.47258,34.71135
135.46461,34.70698
135.46091,34.70495
135.43037,34.69792
-89.637778,21.290278
-89.637778,21.290278
-89.524444,21.3125
-89.524444,21.3125
-89.524444,21.3125
-89.524444,21.3125
-157.705,21.2897
-157.723,21.2853
-157.703,21.2872
-157.722,21.2883
-157.75,21.275
-116.6,31.783
-106.42,23.22
-116.6,31.783
-106.42,23.22
-91.87,18.64
-91.87,18.64
-91.87,18.64
-89.475,21.318889
-89.475,21.318889
-89.475,21.318889
-89.475,21.318889
-89.713611,21.276667
174.85,-36.9
135.407,34.639702
-79.885712,32.7688
-76.666318,34.707106
-156.324463,20.753546
-159.524231,22.062733
-155.670776,19.549437
-105.608889,22.174444
-105.541389,22.0975
-105.592222,22.138056
54.52,24.63
54.37,24.48
-76.201172,38.125915
-157.841,21.2828
-157.855,21.293
-157.857,21.2941
-157.858,21.2934
-157.841,21.2877
-157.842,21.2879
-157.866,21.2915
-158.12,21.3218
-158.121,21.3219
54.13,24.8
54.13,24.8
-157.893,21.3318
-157.883,21.3173
-157.865,21.305
174.810528,-36.869417
135.48599,34.722099
-157.967262,21.324878
174.8129,-36.8689
174.80939,-36.86788
174.7106,-36.8388
142.194,27.0989
142.194,27.0989
142.161,26.641199
-97.28857,26.102421
-117.27677,32.848451
-117.27677,32.848451
174.66762,-36.86042
39.833333,-4.416667
39.83,-4.41
-88.451,-7.147
-97.3,26.566667
-97.61,27.291667
-83.035,29.14
-82.845,27.898333
-88.065,30.608333
-87.078333,30.263333
-82.72,28.245
-97.581667,26.235
-97.3,26.583333
-97.3,26.566667
-80.418333,25.118333
95.133333,25.271667
95.133333,25.271667
95.133333,25.271667
95.133333,25.271667
