Longitude,Latitude
18.734527,69.643134
18.002346,69.636786
-1.315915,46.311543
4.2,52.05
18.002346,69.636786
18.002346,69.636786
-121.970978,36.956305
-70.634167,42.039444
17.995528,69.637768
-135.35216,57.048511
4.35,52.15
18.761054,69.663202
11.077629,59.188196
8.332276,54.963676
7.0048,53.683388
-9.138155,53.149752
6.716166,53.611362
6.664238,53.606728
6.80397,53.606575
10.189088,54.39328
6.794014,53.6073
-5.061596,50.145796
4.324102,52.143897
-5.056024,50.147914
18.761054,69.663202
17.995699,69.634595
11.16087,58.99026
32.860681,66.699473
-69.352118,48.385702
8.396831,54.627121
-5.057851,50.147299
-68.540231,44.226156
4.15,52
3.32232,51.36269
-3.245374,50.67497
12.8446,56.64802
4.6,52.6
20.637563,69.516005
2.865,51.210278
10.452689,59.077539
10.688955,59.897051
5.258935,59.418674
-123.344698,48.653171
10.598036,59.893262
-3.01246,53.655003
-135.318149,57.046315
18.956069,69.646796
-70.80886,42.814153
-3.015421,53.663172
-5.293157,56.546663
-5.583604,56.316522
-135.7481,57.160976
18.956069,69.646796
9.86493,58.970354
4.333343,52.151711
19.097536,69.729562
8.282243,54.792633
-135.361634,57.055456
18.819499,69.65196
10.59041,59.732626
-3.047089,53.485053
-135.297524,56.793394
9.239307,58.721937
18.964055,69.831038
18.761054,69.663202
10.771914,59.313734
18.734527,69.643134
-68.539534,48.446456
18.956069,69.646796
11.14336,58.8712
18.002346,69.636786
-73.81308,40.583378
-74.595808,39.259322
-4.445834,50.354213
-5.530237,50.114283
-3.498093,50.538464
-4.905991,55.96382
-2.080689,55.87593
-2.080689,55.87593
-2.13955,48.65528
18.747615,69.676326
-4.705079,50.340266
-4.705079,50.340266
-5.741423,54.253033
-2.080689,55.87593
-2.080689,55.87593
-5.549333,57.35334
-5.549333,57.35334
-2.080689,55.87593
-2.080689,55.87593
8.909814,56.953907
18.963885,69.650963
5.251506,59.418213
18.747615,69.676326
18.962834,69.650298
8.138206,55.96398
-3.431074,50.609373
-4.221109,50.325585
-75.1018,38.786933
-69.717223,48.134977
-4.162249,53.22032
-4.162249,53.22032
-5.633953,56.9852
-3.009123,55.95351
-3.009123,55.95351
-5.028203,58.44924
-6.430589,57.02942
-5.633953,56.9852
-5.05453,58.4608
-5.072024,56.703
-5.026196,58.44823
-6.430589,57.02942
-2.330746,50.59002
-2.330746,50.59002
-2.330746,50.59002
11.017999,59.02455
-3.245374,50.67497
18.747615,69.676326
17.995699,69.634595
18.002346,69.636786
-122.004962,36.9977
-70.371497,43.516422
-5.062843,50.14545
-5.543427,50.110084
-5.495591,50.219544
18.747615,69.676326
-5.33815,56.47021
-5.33815,56.47021
3.95,51.8
-122.342903,47.607239
7.893182,54.175728
-123.292148,48.459108
-123.400397,48.897847
-119.690156,34.411381
-3.088303,53.582424
-123.400399,48.897727
-70.806366,42.790195
-70.806396,42.789818
6.12943,62.467619
6.153046,62.471775
6.128927,62.582706
-124.131903,44.017279
-74.09977,39.761642
4.35,52.15
8.370895,55.421219
8.453487,55.340839
-64.668875,47.718497
-122.695201,48.058365
-118.680435,34.033575
-118.680435,34.033575
-122.54375,48.22609
-122.544,48.2261
-124.043075,44.623345
-122.544,48.2261
5.8,53.45
10.596374,59.892847
-5.250538,51.72449
-5.299734,51.85682
-4.471521,53.42184
-4.602291,53.42429
-5.293845,51.85117
-5.240544,51.72187
-5.240544,51.72187
-5.293845,51.85117
-2.866246,50.69843
-4.602291,53.42429
-5.299734,51.85682
-4.602291,53.42429
-4.471521,53.42184
-5.108674,51.66597
-5.07579,58.45856
-5.189398,58.39003
-5.132531,58.47289
-5.21402,58.37468
-5.101133,58.41935
-5.101133,58.41935
-5.189398,58.39003
-5.03832,58.45024
-5.119668,58.47527
-5.119668,58.47527
-6.26834,55.30792
3.9,51.75
-4.192327,53.21552
-4.192327,53.21552
10.3888,63.4336
10.4072,63.4432
23.257949,70.296847
-5.147191,51.7028
-5.147862,51.7033
-5.671334,54.24103
-2.66963,48.7496
-135.318249,57.046513
12.6726,55.98732
-1.574484,55.41983
8.5945,58.339
9.6848,59.0543
8.3798,58.2473
9.2401,58.719
9.6761,59.0543
9.2382,58.7217
-6.106318,54.0412
-1.1452,49.49914
7.376118,53.728252
-67.78902,49.31323
-67.79111,49.3156
-67.88165,49.28673
-67.89604,49.28998
-67.94466,49.28207
-67.78828,49.31303
-67.8811,49.28633
-67.78924,49.31331
-67.88047,49.28627
-67.89557,49.28608
-67.89488,49.28564
-67.78513,49.31213
-67.89568,49.29069
-67.87907,49.28647
-67.7883,49.31328
-67.7912,49.31389
-67.78473,49.31165
-67.89599,49.28642
-67.78609,49.31223
-67.78547,49.31199
-67.791,49.31378
-67.89647,49.28662
-67.78547,49.31194
-67.89526,49.28584
12.555141,44.078953
9.5087,63.5812
9.7197,63.616
-5.885305,54.650881
-5.869916,54.670081
-5.887553,54.655575
-5.836718,54.660796
-5.855586,54.668524
-5.865974,54.665503
-5.806513,54.66443
-5.863077,54.656405
-5.883413,54.667454
-5.879584,54.655777
-5.837551,54.683918
-5.863056,54.670875
-5.856805,54.6763
-5.874149,54.643829
-5.872163,54.657022
-5.874106,54.661133
-5.879049,54.650497
-68.79367,48.87636
-68.86678,48.83934
-68.90016,48.82285
-68.86926,48.83596
-68.90135,48.82335
-68.79401,48.87649
-68.8682,48.83831
-68.79486,48.87576
-68.79272,48.87666
-68.79327,48.87611
-68.901443,48.82318
-68.79497,48.87603
-68.90085,48.82441
-68.9006,48.82312
