Longitude,Latitude
22.978552,40.544661
22.889063,37.531242
34.789,32.138
34.925758,32.659447
25.137378,35.344906
22.587473,38.898094
28.228307,36.404713
26.65,37.7
39.0856,22.2815
39.09,22.29213
33.65137,28.16539
32.38958,29.71789
33.942,35.304
32.69532,29.70533
28.085,36.0958
26.81,37.18
42.6167,15.3333
33.9,26.9833
34,26.85
19.473392,40.363426
33.9,26.9833
32.31,30.4
33.84,27.23
33.81,27.26
27.15,35.42
34.008,34.977
33.354,36.151
12.5,38.01
34.008,34.977
31.384,36.765
33.81,27.26
33.84,27.23
33.58,27.66
33.817,34.963
32.61,29.88
32.61,29.88
32.61,29.88
32.61,29.88
55.47,-4.71
33.647,34.906
33.647,34.906
15.28,37.05
15.22,37.21
34.96,29.58
34.96,29.58
15.292282,37.069286
11.97,36.75
34.96,29.58
73.416667,18.083333
11.005267,33.756067
11.005267,33.756067
11.005267,33.756067
11.005267,33.756067
11.005267,33.756067
34.51,28.49
