Longitude,Latitude
7.97509,54.0875
7.9981,54.1683
7.98,54.09
8,54.169998
8.2445,54.1837
8.2445,54.1837
8.24,54.18
8.24,54.18
31.704515,32.367467
31.704515,32.367467
31.704522,32.367478
31.704515,32.367467
30.352133,32.533567
30.352197,32.533538
30.352212,32.533533
31.704515,32.367467
31.704515,32.367467
31.704522,32.367478
31.704515,32.367467
30.352133,32.533567
30.352197,32.533538
30.352212,32.533533
31,45.783333
31.505333,44.963667
31.590167,44.7565
-4.101317,50.30259
4,54.5
4,54.5
6.564167,53.56611
6.564167,53.56611
4,54.5
6.564167,53.56611
6.564167,53.56611
4,54.5
4,54.5
6.564167,53.56611
6.564167,53.56611
4,54.5
4,54.5
4,54.5
6.564167,53.56611
6.564167,53.56611
2.5,54.25
3.5,54.25
4,54.5
5,55.5
6.5,55.25
6,56
1,55
4,55.5
0.5,55.75
4,55
7,54
6.5,53.75
2,55.5
2.5,55.75
0.5,55.25
4.5,55.25
6.5,54.25
3,55
6,54
2.5,55.25
7,53.5
0,55
1,55.5
1.5,55.75
6,54.5
5,55
3.5,55.25
5.5,54.25
7.5,53.75
3,55.5
2,55
1.5,55.25
0,55.5
5.5,54.75
5,54.5
-1,56.5
-1,56.5
-2,56
-0.5,55.75
-0.5,54.75
-2,56.5
0,54
-2,56.5
-0.5,55.75
-0.5,54.75
-1,57
-0.5,56.25
-1.5,55.75
-1,57
-0.5,56.25
-1,55.5
-2,57
-1.5,56.25
-1,55.5
0,54.5
-0.5,55.25
-2,57
-1.5,56.25
-2.5,56.25
-1,55
-1,55
-0.5,56.75
-0.5,56.75
-2.5,56.25
-1,56
0.5,54.25
-1.5,56.75
-1,56
-1.5,56.75
-2,56
5,56
6,55.5
0.5,56.75
0,57
0,56.5
6.5,56.25
7.5,54.25
5.5,56.75
5,56.5
5.5,56.25
3,56
6,56.5
6.5,55.25
8,54
4.5,56.75
4.5,56.75
5,57
4,56.5
3.5,56.25
5.5,55.25
1,56
0,56
2.5,56.75
3,57
4,57
3,56.5
1.5,56.25
6,55
4.5,55.75
2,56.5
0.5,56.25
1.5,56.75
2,57
6.5,54.75
1,56.5
6,56
6,55.5
0.5,56.75
1,57
7,54.5
6.5,56.25
6,56.5
4,56
0,57
5,55.5
7.5,54.25
5,56.5
4.5,56.25
5.5,56.75
2,56
8,54
5,57
6,55
3.5,56.75
4,56.5
2.5,56.25
1,56
3,56.5
2.5,56.75
1.5,56.25
3,57
0,56
5.5,55.75
6.5,54.75
0.5,56.25
3.5,55.75
2,56.5
1.5,56.75
2,57
7,54.5
3,53
4,55
3.5,55.75
3,54.5
2,54.5
5.5,53.75
3,52
5.5,54.75
4.5,56.25
5.5,54.25
3.5,53.75
4.5,52.75
2,55
2.5,51.75
3.5,54.75
2,55.5
3,55.5
3.5,56.25
3.5,52.75
5,56
3,53.5
5.5,55.25
4,56
2.5,54.75
6,54
4,52.5
3.5,53.25
2,56
5,54.5
4,54
3.5,55.25
3.5,52.25
6.5,53.75
4,53
5,55
4.5,55.75
4,52
6.5,54.25
3,55
2.5,55.75
2,53
5.5,56.25
3.5,51.75
4.5,56.25
4.5,54.75
4,55.5
6,53.5
4.5,52.75
3,51.5
2.5,56.25
2.5,52.75
2,55.5
3.5,54.75
4,53.5
6,54.5
4.5,55.25
5,54
3,56
2,53.5
3,52.5
2,54
3,54
2.5,53.25
4,54.5
2.5,55.25
5.5,55.75
2.5,52.25
4.5,53.75
4.5,54.25
1,54.5
0.5,54.75
1,54
1.5,53.75
1.5,53.75
1,54.5
0.5,53.75
1.5,54.25
1.5,54.25
1.5,54.75
1.5,54.75
0.5,54.75
1,54
5,53.5
4.5,53.25
6.903545,53.40049
3.994038,51.739357
3.8824,51.396198
3.841237,51.576913
-90.9653,-0.5694
-91.07,-30
93,10
0.939,53.172333
-64.75,32.33
113.657754,-23.913441
