Longitude,Latitude
-7.204165,57.10741
-91.990861,20.191639
-91.990861,20.191639
-3.660328,50.139738
-3.54608,50.198878
-3.645478,50.237087
-3.606782,50.128799
-3.724079,50.161295
-3.703088,50.161605
-3.557695,50.211315
-3.578679,50.210132
-3.567855,50.221971
-3.711664,50.1273
-3.546865,50.223152
-3.690688,50.127608
-3.639315,50.139138
-3.575,50.140927
-3.738138,50.162884
-3.661106,50.162213
-3.681573,50.107053
-6.211956,55.222014
-6.128565,55.224725
-6.108108,55.215857
-1.584556,50.67787
-1.108213,60.2076
-1.108213,60.2076
-6.268054,49.920123
-2.505038,50.57043
-2.578842,50.623214
-5.244465,53.270527
-4.671788,53.635407
-4.882582,53.554084
-5.041028,50.040703
0.971932,51.747935
-4.659389,51.18751
-3.511684,50.484436
-3.486404,50.397523
-3.483676,50.400256
-3.482241,50.399375
-5.187209,50.43032
-5.423136,56.55066
-16.671484,17.66985
-7.011918,55.19181
-5.250959,51.740527
-5.287367,51.743111
-3.97,48.799999
10.589,58.5
-5.472138,54.72553
-5.472138,54.72553
-5.492734,54.75883
-5.492734,54.75883
-5.250895,51.739629
11.521,57.646
-5.549335,54.79464
-5.472138,54.72553
-5.472138,54.72553
-4.997956,49.999544
-1.961333,50.301795
-2.498561,50.249469
-3.498608,50.248968
-2.998306,50.000718
-2.998306,50.000718
-4.623579,52.96521
-5.882407,52.94533
-4.387676,53.640516
-4.810871,53.497347
-4.490362,51.68923
-3.021445,50.693916
-2.799375,50.706443
-2.800408,50.683953
-2.946546,50.700844
-5.940497,53.135589
-5.931493,53.117267
-5.940497,53.135589
-5.931493,53.117267
-5.049452,50.041381
-1.571227,55.5508
-4.159282,53.225905
-0.358218,54.295782
-0.386239,54.325821
-0.344324,54.297389
-0.373505,54.297787
-0.379261,54.307751
-0.372111,54.294172
-0.381044,54.301483
-0.360539,54.276039
-5.368812,56.00329
-5.093186,50.0915
-5.715038,55.949273
-5.708614,55.932383
-5.720482,55.939218
-5.704991,55.927996
-5.713405,55.932238
-5.718197,55.932093
-5.701256,55.955983
-5.706502,55.927051
-3.7517,35.5883
-5.5883,35.93
-3.7517,35.5883
-5.5883,35.93
2.9945,41.6569
-66.775,40.895
-67.7217,40.6583
-68.5883,40.7
-5.404333,54.33533
-66.775,40.895
-77.4233,33.5333
-77.4233,33.5333
-67.84,40.6583
-5.05671,50.045688
-5.039091,50.054247
-5.038636,50.047063
-5.037366,50.159544
-5.269974,49.997586
-31.10071,39.37798
-25.13365,36.91662
-31.1065,39.37777
-25.13365,36.91662
-80.345,31.6833
-5.475035,51.734108
-5.126951,55.610515
-4.092461,51.545213
-4.085254,51.561079
171.667,-71.267
11.069167,58.868333
11.068889,58.084444
29.2,-32.133333
-5.269859,51.701326
-5.244854,51.736199
92.9,-66.55
-4.212913,53.188345
-4.032669,53.32093
-4.529972,52.949052
-4.574593,53.343173
-16.733333,10.666667
-16.733333,10.666667
-4.807439,54.081857
-4.780919,54.096859
-4.797296,54.090186
-118.436,32.7653
11.14983,58.66344
11.03167,58.69663
11.03167,58.69663
11.16049,58.69364
10.81732,58.71485
12.65233,56.62488
11.90954,57.1937
11.61772,57.19429
106.36,8.43
106.36,8.43
106.36,8.43
106.36,8.43
11.53473,57.11473
107.05,20.55
107.05,20.55
107.05,20.55
107.05,20.55
107.05,20.55
107.05,20.55
11.83473,57.28462
11.75905,57.26259
11.75905,57.26259
3.08,42.29
3.08,42.29
11.11978,59.01441
11.11978,59.01441
11.11978,59.01441
11.11978,59.01441
11.11978,59.01441
11.11978,59.01441
-6.518056,62.134722
-6.518056,62.134722
11.11978,59.01441
11.54513,57.6334
11.54513,57.6334
142,27
-14.55,26.1
-14.55,26.1
-5.666667,47.766667
-5.666667,47.766667
-8.933333,60.916667
-8.933333,60.916667
11.466667,58.266667
-5.8625,47.2
-5.8625,47.2
-79.0833,31.5167
-79.9167,29.6833
-79.1167,31.4333
-79.1167,31.4333
-67.82,42.08
-28.4,38.466667
-58.726364,-38.551942
-58.726364,-38.551942
-58.726364,-38.551942
-58.726364,-38.551942
-58.726364,-38.551942
32.702222,-27.734444
32.683333,-27.534722
29.002222,-32.302222
29.368056,-31.984167
29.2,-32.133333
-70.05,43.63
-57.5,-38
-59.18,-38.025002
14.5833,44.5
13.6333,45.0667
-111.4,27.983333
-110.25,22.85
-110.366667,24.533333
-110.25,24.533333
-113.566667,29.533333
-110.366667,24.533333
-6.616667,62
103.37,10.3
-9,38.3
7.28,43.46
109.12,12.15
114.33333,15.83333
103.37,10.3
108.07,16.09
-9,38.3
108.07,16.09
114.33333,15.83333
-16.45,32.4
-16.45,32.4
103.37,10.3
114.33333,15.83333
103.37,10.3
-16.45,32.4
-16.45,32.4
103.37,10.3
103.37,10.3
-9,38.3
7.28,43.46
108.07,16.09
114.33333,15.83333
114.33333,15.83333
103.37,10.3
109.12,12.15
114.33333,15.83333
-9,38.3
108.07,16.09
103.37,10.3
-6.616667,62
