Longitude,Latitude
-5.530237,50.114283
-5.530237,50.114283
-5.452665,50.113376
-5.452665,50.113376
-5.452665,50.113376
-5.452665,50.113376
-4.45353,50.34257
-5.452665,50.113376
-5.530237,50.114283
-3.983045,48.730213
-5.529528,50.119966
-5.452665,50.113376
-5.05439,50.14779
-4.45396,50.346498
-5.528809,50.120446
-5.533205,50.114599
-5.539754,50.110441
-5.529528,50.119966
-5.533584,50.114048
-5.533584,50.114048
-4.085108,50.317273
-5.533705,50.113991
-5.533705,50.113991
-5.528809,50.120446
-5.529528,50.119966
-5.461746,50.12111
-4.085108,50.317273
-4.1046,50.313324
-4.455858,50.34241
-5.814081,59.12286
-4.600499,58.55696
-5.087188,50.106953
-4.086472,50.316349
-4.454454,50.34244
-3.322495,59.126672
-4.673953,51.162391
-4.661261,51.167114
-4.658332,51.161651
-4.658332,51.161651
-4.673953,51.162391
-4.661261,51.167114
-3.98,48.720001
-3.98,48.720001
