Longitude,Latitude
8.580348,58.323509
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.2,52.05
3.7,51.4
3.65,51.55
3.7,51.4
3.7,51.4
3.7,51.4
4.25,52.1
3.7,51.4
3.7,51.4
21.429877,70.248167
20.63273,69.518202
-2.024281,48.654403
-8.82409,42.125759
-5.495591,50.219544
4.25,52.1
4.25,52.1
4.55,52.45
4.25,52.1
4.25,52.1
-5.452665,50.113376
3.7,51.4
11.2249,58.55441
-6.461269,57.337515
-5.452665,50.113376
-5.452665,50.113376
-3.9132,50.29431
-5.452665,50.113376
9.260193,58.718084
-6.484956,57.381642
-5.056024,50.147914
-5.495591,50.219544
-5.512957,54.593149
-5.056024,50.147914
-5.452665,50.113376
-5.057851,50.147299
-5.056024,50.147914
-5.533024,50.114622
5.05,53.3
-1.695294,49.08997
-6.433723,57.324625
-1.844307,49.470049
8.626784,54.284737
5.243332,59.418747
-3.896429,47.832991
-4.454802,48.293559
-3.591471,48.799905
-5.059098,50.146656
-5.057851,50.147299
-5.056024,50.147914
-5.048035,50.144606
-4.702535,52.107362
5.1,53.3
5.15,53.3
4.7,52.85
-0.314947,49.30707
-3.993541,48.722948
-1.355967,46.152244
-9.509595,51.66453
9.247338,58.712104
-2.024104,48.654543
-5.452665,50.113376
-4.126498,50.356396
-4.126498,50.356396
4.85,53.15
3.7,51.4
4.6,52.6
3.7,51.4
3.7,51.4
4.5,52.45
4.55,52.45
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
9.260193,58.718084
9.260193,58.718084
9.260193,58.718084
3.7,51.4
3.7,51.4
4.25,52.05
3.7,51.4
-5.068405,50.142281
-5.06855,50.142879
-5.06881,50.142731
9.260193,58.718084
3.7,51.4
3.7,51.4
3.7,51.4
-0.07214,50.80633
4.75,52.95
13.534467,66.658438
14.613236,67.238055
9.260193,58.718084
9.260193,58.718084
-5.090158,50.124507
-5.468645,54.38121
-5.452665,50.113376
-5.706035,50.128771
-5.468645,54.38121
-4.172437,50.359508
1.35486,52.91903
4.75,53
-2.581215,48.57213
-5.530237,50.114283
-5.495591,50.219544
1.25198,52.94206
4.95,52.95
5.15,53.3
-1.801807,55.667799
-3.423429,47.702005
-5.200288,50.32139
-4.127246,50.35643
-5.05876,50.161568
-5.200412,50.321445
1.250144,52.9421
5.15,53.3
4.85,53.15
4.7,53.05
5.15,53.3
-9.382981,52.934722
-5.566921,56.088748
1.218457,52.94597
1.215718,52.94687
5.65,53.4
4.7,52.85
-5.579768,54.405802
-9.066221,53.262738
9.260193,58.718084
-4.160292,50.361062
-4.160592,50.361047
-4.160555,50.36102
-5.114266,48.44177
8.561896,54.543392
-5.06855,50.142879
5.6,53.4
-9.034908,53.269303
0.697453,50.90702
-5.056024,50.147914
-5.452665,50.113376
4.85,52.95
4.25,52.1
0.682453,50.883109
-5.452665,50.113376
3.7,51.4
3.7,51.4
4.6,52.45
