Longitude,Latitude
6.32985,55.04
6.32985,55.04
6.32985,55.04
5.90488,54.4099
6.32985,55.04
6.32985,55.04
6.32985,55.04
6.32985,55.04
6.33,55.040001
6.33,55.040001
6.33,55.040001
6.33,55.040001
6.33,55.040001
6.33,55.040001
6.33,55.040001
5.9,54.41
6.19483,54.4667
6.19483,54.4667
6.19,54.470001
6.19,54.470001
8.01667,54.0628
8.02,54.060001
6.65617,54.3018
6.66,54.299999
-5.048484,51.681201
-4.043297,53.307066
4.342778,54.14944
4.342778,54.14944
4.342778,54.14944
4.342778,54.14944
2,51
5,56.5
4,55.5
0.5,55.75
4,55
7,54
6.5,53.75
2,55.5
1,55
2.5,55.75
0.5,55.25
4.5,55.25
6.5,54.25
3,55
6,54
2.5,55.25
7,53.5
1,55.5
0,55
5,55
6,54.5
1.5,55.75
3.5,55.25
5.5,54.25
3,55.5
7.5,53.75
2,55
1.5,55.25
0,55.5
5.5,54.75
5,54.5
6,55.5
0.5,56.75
0,56.5
6.5,56.25
5,56
0,57
7.5,54.25
6,56.5
5.5,56.25
5.5,56.75
3,56
6.5,55.25
8,54
4,56.5
4.5,56.75
4.5,56.75
5,57
3.5,56.25
1,56
5.5,55.25
4,57
0,56
2.5,56.75
3,57
3,56.5
1.5,56.25
6,55
2,57
2,56.5
0.5,56.25
4.5,55.75
1.5,56.75
6.5,54.75
1,56.5
6,56
6,55.5
0.5,56.75
1,57
7,54.5
4,56
5,55.5
6,56.5
0,57
6.5,56.25
7.5,54.25
5.5,56.75
5,56.5
4.5,56.25
2,56
6.5,55.25
8,54
3.5,56.75
5,57
4,56.5
2.5,56.25
1,56
6,55
1.5,56.25
0,56
2.5,56.75
3,57
5.5,55.75
3,56.5
6.5,54.75
6,56
3.5,55.75
2,56.5
0.5,56.25
1.5,56.75
2,57
7,54.5
3,52.5
2.5,51.75
2.5,51.25
3.5,52.75
3,52
3,53
2,52.5
1.5,51.75
1.5,51.25
2,51.5
2.5,52.75
3,52
2,52
2,53
2,52.5
1.5,51.25
1.5,51.75
2,52
1,51.5
2.5,52.75
1,53
3.5,52.25
3,51.5
4,52.5
4,52.5
3.5,51.75
1,51.5
2,51
1,53
3.5,52.25
3,51.5
3,52.5
3.5,51.75
2.5,51.25
2,51.5
4.5,52.75
2.5,52.25
6.903545,53.40049
3.994038,51.739357
3.8824,51.396198
3.841237,51.576913
11.466667,58.266667
3.9433,42.5883
