Longitude,Latitude
174.527052,-35.842336
4.939041,43.428131
-74.001044,40.448983
173.480347,-34.988615
173.521576,-34.90942
4.8,53.15
175.819418,-36.826793
-82.024764,26.452605
-97.20111,27.614768
-74.105294,40.442917
-9.059514,38.435784
174.72256,-36.505236
175.191761,-36.799568
175.19568,-36.801086
173.674778,-34.954562
173.932341,-34.996102
175.168645,-36.738405
-9.66961,53.315952
-82.611616,27.358236
-82.552015,27.263438
-82.760002,27.744136
3.700258,43.42504
-2.836494,48.65958
5.347727,43.228883
-73.405143,41.074646
-73.399155,41.082303
174.652599,-36.158667
3.978126,43.513967
-82.685172,27.71155
173.150473,-34.821312
174.73215,-35.48492
174.612036,-37.019948
175.10911,-35.901946
174.734521,-35.481862
4.15,52.05
3.35,51.35
-82.73172,27.626162
-3.080193,43.353861
174.799432,-36.266331
174.795066,-36.266097
6.716251,53.612392
6.685996,53.570038
6.659603,53.606983
3.65,51.6
3.7,51.4
174.736123,-35.463818
176.186457,-37.630532
6.657286,53.607586
6.65823,53.608624
-13.663526,28.91814
174.611616,-36.993261
3.35,51.35
-9.046044,38.438032
-82.549645,27.324921
3.167438,42.440623
174.835822,-36.846393
-70.886103,42.540311
4.85,53.15
-8.820153,42.396883
-81.0228,31.989583
174.756861,-36.703238
-13.668161,28.918913
174.574615,-37.010951
-8.8318,42.3891
3.35,51.35
3.35,51.35
3.55,51.4
4.6,52.6
4.6,52.6
-82.765691,27.581176
5.347629,43.229098
14.325753,40.618165
3.978126,43.513967
3.699854,43.434244
174.724476,-36.509162
3.978126,43.513967
6.659389,53.60881
-4.568357,48.333251
-4.454802,48.293559
-4.62457,48.25531
-4.551942,48.340254
-4.574135,48.339312
-4.529894,48.343652
3.65,51.55
4,51.75
3.17707,42.438344
3.171945,42.448017
3.39011,39.586319
-2.732983,48.644754
3.390084,39.586354
6.712518,53.614052
8.467968,55.087559
11.55912,58.32168
4.6,52.7
3.766817,43.427416
-1.405864,46.178367
3.699657,43.433747
-5.115134,48.445186
3.45,51.35
4.2,52.05
-74.305772,39.520272
-123.598669,48.316258
174.985843,-36.771811
174.914175,-36.743628
174.764953,-36.746614
-71.25493,41.652377
174.974611,-36.693037
-13.664447,28.918702
174.829214,-41.287514
-13.671743,28.919566
5.237339,43.330045
4.75,53.1
4.85,53.15
4.85,53.15
3.35,51.35
4.75,53.1
-82.261939,26.676194
8.295794,54.745384
174.608639,-37.014466
174.994007,-36.770336
5.029499,43.335092
174.972346,-36.694018
174.718085,-35.970508
4.1,51.95
4.2,52.05
174.74348,-36.428651
15.738668,39.944785
-9.859576,53.62061
-9.074768,53.15602
174.733977,-35.471794
-81.2,23.1
3.97978,43.50867
-9.630714,53.24914
8.286251,54.851048
-5.56865,54.524252
-5.578823,54.393768
-5.56865,54.524252
-5.578823,54.393768
-2.179187,49.73135
4.04289,43.51731
-4.45359,48.29332
3.7,43.42472
3.7,43.42472
3.197247,42.084663
-3.42376,50.6163
3.180441,42.104697
-9.579164,53.24368
-4.041577,51.56546
-4.576729,50.7728
-5.065616,50.07245
-3.497049,50.40105
-2.418208,50.58595
-2.73677,48.658
3.51475,43.27058
-4.44895,48.32045
3.7,43.42472
3.7,43.42472
3.7,43.42472
-2.73677,48.658
3.7,43.42472
3.97575,43.52317
-2.73677,48.658
-2.83825,48.66512
-2.7595,48.65628
3.7,43.42472
-2.7595,48.65628
4.1,51.95
4.4,52.25
174.571077,-37.043114
3.879439,51.743058
-5.609333,54.543958
3.995657,51.711457
-5.605595,54.54136
-5.609333,54.543958
-5.605595,54.54136
176.171048,-37.637224
-9.870561,53.62817
-5.630463,54.45131
-9.781447,54.33527
-4.042153,51.5651
-2.447696,50.55809
-4.928496,50.57265
1.209783,52.94817
-3.501636,50.39992
-0.918819,50.77943
-3.5088,50.47902
-0.206624,50.79275
-2.18983,50.60776
-2.448943,50.55934
-8.91432,37.18977
-2.01798,48.59619
-4.45359,48.29332
-2.04717,48.68742
-3.20778,47.67139
-2.09729,48.67433
3.7,43.42472
-2.02806,48.62806
-2.071,48.68
3.78805,43.424
-9.300857,51.50047
-9.295129,51.50066
-5.630556,54.45131
-9.295129,51.50066
-5.243604,51.73607
-5.243604,51.73607
-5.243604,51.73607
-5.243604,51.73607
-5.243604,51.73607
-5.18727,51.75474
-3.970514,50.29551
-4.983731,50.57086
-2.806777,50.6824
-5.050698,50.14569
-3.469475,50.45617
-4.24404,50.32626
-2.806777,50.6824
-4.183529,50.31731
-3.501211,50.45193
-4.744937,50.67632
-4.105193,50.30431
-4.264712,50.18341
-4.339677,50.20913
-4.340048,50.21041
-4.983731,50.57086
-2.862531,50.69121
-4.340048,50.21041
-4.105193,50.30431
-3.970757,50.28542
-3.477378,50.46111
-2.806764,50.68081
-4.340048,50.21041
-4.340048,50.21041
-4.265368,50.17951
9.708598,57.373863
-3.199649,47.675413
-3.207642,47.671351
-3.209949,47.656694
-5.044636,48.477552
-8.815784,37.81508
-8.808871,37.855722
-8.819408,37.777916
-8.816179,37.877705
-2.01798,48.59619
3.7,43.42472
-2.22687,48.6495
-1.97771,48.57014
-2.71391,48.66479
-2.33084,48.68806
-1.43762,43.65601
-2.24725,48.70793
3.35,51.35
3.6,51.55
3.6,51.55
174.427829,-36.841295
-9.058912,38.436093
-5.61002,54.40356
-5.61002,54.40356
174.42593,-36.838611
-2.721245,48.666727
-2.172599,49.71468
-2.293468,49.23679
-2.293468,49.23679
-9.815897,53.15127
-9.474232,53.15307
-4.172048,50.30552
-2.958436,50.64561
-2.958436,50.64561
-2.330746,50.59002
-2.261646,50.59283
-3.027045,50.69442
-4.172048,50.30552
-2.952492,50.70351
-2.958436,50.64561
