Longitude,Latitude
-122.515724,47.306928
-123.563399,48.769239
-131.541164,55.292526
-131.530412,55.296188
-123.419191,48.421309
11.42859,58.23996
-53.743542,48.153338
-124.141039,49.291518
11.21181,58.34411
11.18657,58.35703
11.21576,58.35126
11.18657,58.35703
11.18477,58.36606
11.21576,58.35126
11.21576,58.35126
11.21576,58.35126
11.21576,58.35126
11.21576,58.35126
11.21576,58.35126
11.18657,58.35703
11.18894,58.3566
11.18657,58.35703
11.21008,58.37503
11.18888,58.35745
11.17824,58.36852
11.59035,57.93206
11.21576,58.35126
11.59035,57.93206
11.2017,58.35374
11.17824,58.36852
11.2017,58.35374
11.17824,58.36852
11.18523,58.36747
-75.768351,36.219276
-75.668765,36.035842
-75.826054,36.384215
11.18523,58.36747
11.18523,58.36747
11.2075,58.36088
11.18888,58.35745
11.2075,58.36088
11.18888,58.35745
11.17824,58.36852
11.18888,58.35745
11.18888,58.35745
11.61567,58.37026
11.61567,58.37026
11.20791,58.3495
11.18523,58.36747
-75.633642,35.985634
11.56971,58.32978
11.56971,58.32978
-74.108835,39.744704
-74.920205,38.434559
-74.781653,39.025978
-74.747108,39.061242
-75.075775,38.719478
-74.743721,39.066129
-75.938337,36.734926
-74.748001,39.059205
-75.080181,38.737611
-75.075614,38.718443
-74.719222,39.090308
-75.079644,38.742455
-74.717316,39.092221
-74.929796,38.950447
-75.079636,38.742388
-75.747806,36.175352
-74.500197,39.324584
-74.597649,39.257996
-75.079667,38.742447
-74.831749,38.966724
-75.079658,38.74253
-75.707901,36.09491
-75.079644,38.74245
-75.079842,38.741847
-75.344657,37.886257
-75.154739,38.788697
-75.075857,38.718876
-75.075734,38.718796
-75.718956,36.114086
-75.079825,38.74184
-75.080565,38.748492
-75.080611,38.749005
-75.080548,38.748673
33.097817,66.554806
-74.833649,38.965565
-74.28932,39.515682
-74.736947,39.073203
11.18888,58.35745
11.60096,58.36216
11.60096,58.36216
11.6027,58.36283
11.18523,58.36747
11.18523,58.36747
11.18888,58.35745
11.55762,58.32148
11.29108,58.29953
11.60096,58.36216
11.60096,58.36216
11.55762,58.32148
11.21008,58.37503
11.18523,58.36747
-75.079619,38.338937
-74.904175,38.932713
-74.720208,39.103814
-75.034728,38.302657
-74.023089,39.625107
11.26132,58.38112
11.26132,58.38112
11.18523,58.36747
11.18657,58.35703
11.19507,58.35789
11.18657,58.35703
11.60946,57.64328
11.18523,58.36747
11.59035,57.93206
33.876062,66.35622
22.579271,80.294887
11.22933,58.33011
11.60096,58.36216
11.18523,58.36747
11.21181,58.34411
11.60096,58.36216
11.60096,58.36216
11.60096,58.36216
11.57044,58.32968
11.57044,58.32968
11.57044,58.32968
11.57044,58.32968
11.60096,58.36216
11.60096,58.36216
11.60096,58.36216
11.16551,59.05397
11.60096,58.36216
11.60096,58.36216
7.728079,63.110335
11.61567,58.37026
11.61567,58.37026
11.5703,58.32982
-123.266107,48.455281
11.5312,58.29805
11.57044,58.32968
-123.321697,48.885008
3.688,54.7
-51.893,47.025
-135.5465,54.429667
-134.021667,54.405
-138.521667,49.478333
-147.4955,48.401333
-127.996117,48.3975
-135.496667,53.43
-127.996117,48.3975
-132.415833,54.404667
-137.088833,52.408167
-137.058667,53.4195
-129.513333,48.375833
-132.415833,54.404667
-56.513,46.298
-53.148,46.398
-52.777,46.588
-54.05,46.158
-51.153,47.84
-50.82,48.087
-57.417,46.067
33.2,66.5
33.2,66.5
33.2,66.5
-138.498333,46.36
-125.414189,48.539171
-126.144137,48.44918
-125.414189,48.539171
-62.985,44.022
-58.752,45.462
-61.738,44.47
-50.463,48.428
-123.0123,48.5453
-123.0123,48.5453
-66.08,42.155
-69.373,40.587
-42.885,53.429
-64.235,43.588
-63.978,43.865
-64.49,43.31
-70.69,40.558
-68.547,40.77
-51.148,47.914
-52.763,46.664
-74.704812,39.1063
-74.709954,39.110762
-74.777028,39.028499
-74.713499,39.102641
-74.34937,39.418582
-75.076014,38.720946
-74.756909,39.049206
-75.612482,35.939872
-74.707458,39.124503
-74.708901,39.101229
-74.694112,39.083657
-74.790672,39.009667
-74.76292,39.041841
-74.712263,39.121597
-163.862,54.243
-64.283,43.62
-62.622,44.207
-64.452,43.552
-58.082,45.667
-36.257,57.41
-63.457,43.917
-168.4,54.475
173.398,54.067
-150.89,52.96
-65.102,43.317
-74.804122,38.986122
-74.752486,39.060728
-74.847522,38.955922
-74.633317,39.222983
-74.759804,39.04507
-74.5678,39.275712
-75.075866,38.713893
-75.073833,38.705853
-75.058296,38.589528
-74.646016,39.215038
-74.696992,39.156947
-74.492797,39.328578
-74.705047,39.127914
-74.906005,38.935306
-75.049164,38.455953
-75.051285,38.511721
-75.072843,38.699263
-157.808,71.408
-166.572,57.275
18.902817,69.633979
-62.148,44.38
18.729218,69.685974
-125.146,50.171
-168,67.165
-125.13,50.12
-49.468,48.188
-0.345,55.124
19.452,72.057
-0.67,55.764
17.63825,69.14028
-143,56.666667
-147.5,52.666667
-147.5,54.666667
-129.916667,48.183333
-128.522667,48.301167
-147.5,56.666667
-147.500667,48.6675
-123.0123,48.5453
5.777,55.953
6.74,56.35
-64.987,43.503
1.207,53.938
-0.673,55.73
5.303,55.752
-140.001167,53.667833
-145.996833,55.666667
-138.496833,49.663667
-143,52.666667
-142.9995,50.6665
-146,51.667167
3.382,59.365
-50.962,46.297
-48.552,46.27
-12.013,64.665
-64.76,43.582
29.6621,69.9615
-55.582,46.417
-145.543,57.463
-150.31,58.765
4.113,55.203
-43.335,51.783
-5.968,49.337
18.077,74.19
2.805,54.545
-42.425,52.613
23.3638,70.021
23.2853,70.1567
-57.283,45.947
-55.947,46.323
16.447,73.605
-71.582,40.532
-65.007,42.76
-48.277,49.912
-48.997,49.433
5.232,55.73
5.698,55.937
-75.826851,36.388872
-75.686447,36.062589
-75.667292,36.033535
-75.763703,36.211465
-75.698683,36.081122
-130.39,51.067
-140.595,55.782
2.808,58.313
-52.132,47.311
-47.511,50.389
-133.678,52.8
-75.611008,36.166383
-75.821293,36.382424
-75.074852,38.713863
-75.59897,35.777266
-75.748092,36.176963
-75.821822,36.369833
-75.789138,36.270512
-75.572852,35.869233
-75.627063,35.967182
-75.796719,36.291753
-75.808627,36.325586
-75.818184,36.356644
-75.806649,36.319717
-75.654856,36.01125
-75.067064,38.372338
-75.673363,36.043025
-75.687494,36.121183
-75.069561,38.367149
-75.865257,36.514071
-75.563625,35.8483
33.0031,66.69
-75.671602,36.040408
-75.822559,36.372669
-75.927696,36.70611
33.00466,66.690133
16.567,74.763
-0.015,54.467
-148.697,58.355
1.662,58.058
2.243,58.188
-75.703148,36.088707
32.8357,66.7105
-75.72361,36.125
-75.636189,35.981736
-75.694278,36.073742
-80.293,73
-77.127,72.785
-80.475,73.227
-80.882,73.332
-80.983,73.665
-81.058,73.83
-80.933,73.498
-68.443,70.91
-77.66,72.802
0.603,57.815
-150.205,58.745
-151.39,58.977
2.916,58.333
2.332,58.208
