Longitude,Latitude
9.223497,58.709664
-1.315915,46.311543
-2.156551,46.885471
-1.264415,45.9897
-2.2928,47.008026
-1.09538,46.06255
-2.2928,47.008026
-2.246372,47.135052
-2.307729,47.025169
-2.156551,46.885471
-97.045326,27.834828
0.793397,52.976102
-64.510865,46.314652
-65.351846,44.905808
-97.050914,27.829476
-74.000625,40.448728
-70.179451,41.294254
-75.265317,38.879025
-81.742363,25.941678
-71.304758,41.66288
-86.451705,30.383255
-82.180892,26.479703
-73.836238,40.8059
1.28737,52.931041
4.314147,52.136362
-75.591417,35.233772
-72.113956,41.299672
-72.477905,40.840563
4.351308,52.166148
-82.821604,28.036543
-2.564247,48.584422
-71.262353,41.488763
-8.7925,40.491667
-75.582881,35.23426
-80.467968,28.073153
-82.18093,26.479745
-63.727034,44.488276
-63.727101,44.488352
-64.510823,46.314467
-87.891328,30.22965
-68.220349,44.396151
-79.968895,32.64052
-8.770553,40.56244
9.609753,57.025013
-73.98605,40.427919
-71.005594,42.317157
7.004886,53.684967
-70.526324,41.856896
10.450151,56.200341
4.15,52
4.2,52.05
5.5,53.25
4.4,52.25
4.2,52.05
4.45,52.25
4.55,52.45
4.55,52.45
3.6,51.55
4.35,52.15
4.3,52.1
4.35,52.15
3.95,51.6
4.2,52.05
3.8,51.75
4.05,51.4
4.55,52.5
-2.520221,48.601163
4.2,52.05
6.25,53.5
4.35,52.15
4.15,52
4.45,52.25
4.55,52.45
4.4,52.2
4.05,51.95
4.35,52.15
4.55,52.45
4.55,52.5
4.5,52.45
4.15,52
1.544644,50.326831
4.55,52.4
4.1,51.95
4.25,52.1
4.55,52.4
4.55,52.45
4.55,52.45
4.2,52.05
4.35,52.15
4.35,52.15
5.75,53.45
4.5,52.4
4.45,52.3
4.05,51.4
3.7,51.55
1.544639,50.3268
3.45,51.4
4.25,52.05
4.55,52.45
-82.736737,27.695686
-70.366683,41.621413
-81.24917,29.764058
-8.780586,40.525775
0.599324,52.975256
-8.779987,40.5272
-97.045142,27.834278
-8.779735,40.527681
-8.780452,40.525984
-8.783088,40.519188
-2.128247,48.636274
-8.792621,40.489376
-2.251583,48.631879
-70.366906,41.62108
-97.306812,27.70916
-82.745309,27.644413
-2.251612,48.631828
-8.77982,40.527635
-8.791897,40.492312
-8.792621,40.489376
-82.101792,26.426599
-75.518664,35.266706
-8.849452,38.460487
-70.335206,43.540576
-71.830533,41.305604
-71.805558,41.308506
-72.30783,41.279793
1.423148,50.08923
-72.903228,41.270494
-64.757647,45.17246
-82.612155,27.833389
-70.713875,43.045978
-72.903228,41.270494
-1.207935,46.274236
-8.780231,40.525842
8.847325,56.732671
-70.188513,42.048553
0.745132,51.529965
-2.251248,48.630749
8.439759,55.015556
-70.030067,41.668112
-78.343395,33.906027
-75.316383,38.932954
-72.903228,41.270494
-78.99151,33.583921
-75.316214,38.932524
-75.315848,38.931655
-82.635395,27.377919
