Longitude,Latitude
65.501219,57.137748
5.22439,50.53462
18.22314,59.22297
11.9369,57.69964
3.69683,51.02721
3.24936,51.33464
3.75598,51.07035
17.61506,59.86119
4.73615,50.8804
-78.37536,-0.221438
-78.375446,-0.221475
24.9308,60.1717
7.030202,51.434002
4.7781,50.99042
4.61496,50.71984
3.72519,51.03509
3.72519,51.03509
3.75134,50.86566
3.80318,51.03075
3.60245,50.96069
24.81,60.23
7.97159,51.930058
15.61209,58.41039
5.04947,51.26251
13.16499,55.70646
7.030202,51.434002
4.33372,50.87348
4.33371,50.87347
4.64651,51.35286
4.33371,50.87351
13.16499,55.70646
4.33363,50.8735
34.408128,44.686325
3.72519,51.03512
21.6307,63.1005
3.75214,51.05471
4.61487,50.71985
18.05332,59.36929
25.404868,65.0231
5.698409,58.934656
4.43762,50.81395
5.04941,51.26249
9.038128,48.526814
4.41402,51.02158
32.000756,46.983221
32.000756,46.983221
32.000756,46.983221
10.390385,59.826249
10.464888,59.931712
4.31492,50.88176
4.33361,50.87356
5.696936,58.93665
4.03166,50.92957
4.0426,50.93229
14.27511,57.81127
3.68368,50.52099
11.184217,59.75353
11.92681,58.3452
24.469394,60.962325
24.66,60.18
6.905183,51.483208
15.61213,58.41072
6.08501,49.6547
6.905183,51.483208
16.34627,56.66352
11.94111,57.69361
18.29066,57.62771
3.40222,50.62551
11.94111,57.69361
12.963781,48.829639
12.963781,48.829639
12.03869,57.65936
-151.073,60.4648
-151.072967,60.464699
-151.072967,60.464699
17.90578,59.36975
10.849535,59.913522
3.67791,51.06705
3.70513,51.05969
25.616962,65.025212
14.27511,57.81127
3.81982,51.02118
3.85139,51.02581
10.414322,59.290593
3.81982,51.02118
3.85139,51.02582
6.24348,46.19108
18.14594,59.27236
-117.134,32.8263
3.96052,50.93018
3.95856,50.93414
13.791616,51.124969
12.03869,57.65936
16.40165,56.53087
16.40165,56.53087
16.40165,56.53087
16.40165,56.53087
16.40165,56.53087
16.40165,56.53087
18.14594,59.27236
5.25,52.4
13.791616,51.124969
4.8,52.6
27.684615,62.877035
10.844083,59.893273
12.03869,57.65936
12.03869,57.65936
6.14044,49.5918
25.766,66.461
25.409,65.023
3.96052,50.93018
3.97138,50.94392
18.16552,59.35148
18.16552,59.35148
-147.84284,64.85851
18.16552,59.35148
18.16552,59.35148
5.85,50.95
-147.84284,64.85851
20.30972,63.81917
4.42397,51.13141
4.42397,51.13141
5.1,52.1
5.1,52.1
12.03869,57.65936
12.03869,57.65936
5.05,51.65
-147.84284,64.85851
13.0518,56.39817
20.62412,66.43013
18.16552,59.35148
18.16552,59.35148
17.64161,59.81449
-21,74.3
-21,74.3
-21,74.300003
-21,74.300003
17.63441,59.80992
6.14045,49.5648
6.14045,49.5648
-147.84284,64.85851
-147.84284,64.85851
-147.84284,64.85851
-147.84284,64.85851
-147.84284,64.85851
5.97001,49.5011
5.97001,49.5011
5.88944,49.9511
6.07125,49.6097
6.04333,49.7086
5.97001,49.5011
6.29274,49.6546
5.97001,49.5011
5.97001,49.5011
6.07125,49.6097
6.0708,49.8345
6.11275,49.6187
6.41812,49.7983
6.14044,49.5918
6.11275,49.6187
6.238,44.094
2.467,49.275
2.467,49.275
2.467,49.275
2.467,49.275
2.467,49.275
4.807,43.953
-81.687,63.991
-82.485,62.852
2.47,49.27
6.24,44.09
4.81,43.950001
2.47,49.27
2.47,49.27
2.47,49.27
2.47,49.27
