Longitude,Latitude
7.9,54.189999
7.9,54.189999
7.9,54.189999
-4.16,50.330002
-0.34,49.32
1.491351,51.380129
1.46288,51.364784
1.450621,51.411921
1.463918,51.340466
-4.229066,52.634801
144.53,-4.1
144.53,-4.1
-67.195,40.5833
-67.195,40.5833
-67.205,40.57
-67.195,40.5833
-67.7683,40.6633
-3.7975,54.861389
-3.7975,54.861389
-3.7975,54.861389
-3.805556,54.8325
-3.805556,54.8325
-3.805556,54.8325
-3.805556,54.8325
-3.805556,54.8325
-3.805556,54.8325
-79.366667,1.683333
-3.805556,54.8325
-3.805556,54.8325
-76.4917,37.25
-76.4917,37.25
-3.805556,54.8325
-3.805556,54.8325
5.54,43.05
5.54,43.05
5.54,43.05
5.54,43.05
5.54,43.05
5.54,43.05
-3.59,48.44
-3.59,48.44
3.59,48.44
3.59,48.44
-5.149755,51.701912
-99.9167,16.85
93.5461,8.0147
103.4667,4.5
29.251941,-1.54783
-1.75,50.033333
-0.833333,50.2
0.116667,5.45
4.44,52.57
4.44,52.57
4.46,52.58
4.46,52.58
-99.97,16.33
0,0
