Longitude,Latitude
18.002346,69.636786
6.05,53.4
4.55,52.45
11.58791,58.34623
18.002346,69.636786
18.002346,69.636786
11.57044,58.32968
4.6,52.65
3.55,51.55
3.7,51.7
3.7,51.4
18.020762,69.634126
3.7,51.4
3.65,51.65
4.2,52.05
4.2,52.05
4.2,52.05
11.74991,57.56572
11.76848,57.53571
11.76848,57.53571
3.55,51.55
3.7,51.4
4.2,52.05
4.35,52.15
3.75,51.65
4.15,52.05
18.230608,69.720186
-66.982658,44.863103
4.4,52.2
11.70504,57.56001
11.70201,57.52033
11.70543,57.57852
4.5,52.4
4.65,52.75
18.002346,69.636786
8.299828,54.675419
4.3,52.1
4.4,52.2
8.297853,54.671497
4.55,52.45
4.1,51.95
6.155454,62.473942
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.6,52.6
4.65,52.8
8.280473,54.767723
-0.2702,49.34041
-0.37442,49.44856
-0.31733,49.4179
-0.37442,49.44856
4.2,52.05
4.2,52.05
4.1,51.95
4.4,52.25
4.6,52.6
4.2,52.05
18.002346,69.636786
-1.456633,55.11776
7.486506,53.744774
7.486494,53.744774
7.486554,53.744762
7.486662,53.744743
-0.31733,49.4179
6.1,53.45
-4.848861,54.12381
-2.815716,56.18545
-1.24306,44.62848
4.3,52.15
1.100269,52.95815
-1.602904,55.64347
8.293021,54.743416
-1.24306,44.62848
18.002346,69.636786
-4.734772,50.31483
4.2,52.05
4.5,52.45
4.6,52.65
4.3,52.1
4.1,51.95
3.7,51.4
4.55,52.45
3.7,51.4
4.15,52.05
3.95,51.95
8.288891,54.87553
6.155454,62.473942
8.279743,54.755016
-3.19909,47.67445
9.742738,55.525103
-4.604174,53.42579
-4.604174,53.42579
-8.470597,54.5905
-5.21402,58.37468
-0.773091,50.70329
-6.225532,55.29342
8.630229,54.307186
-1.21064,44.71395
10.29634,59.04313
4.914171,60.423669
6.50283,58.22833
4.55,52.5
10.4072,63.4432
10.4072,63.4432
-1.372891,54.98707
-1.397133,55.00266
-1.347635,54.9648
4.55,52.5
-0.770248,50.70371
7.376118,53.728252
11.0844,58.95292
11.07374,58.96253
-4.94758,55.98672
-4.829834,56.11808
-5.40216,55.88645
-4.829322,56.11823
-4.933839,55.98338
10.5268,59.0267
-5.860295,56.66228
8.312531,54.685841
8.29927,54.675346
8.287166,54.861671
4.55,52.45
4.4,52.25
4.35,52.15
7.422295,53.733906
-5.547066,50.10338
-5.547187,50.103323
-1.43762,43.65601
4.3,52.15
-5.547066,50.10338
-5.547066,50.10338
-5.547066,50.10338
-4.737867,50.30937
-2.764465,50.4276
-4.737918,50.30748
-4.737671,50.30881
-4.736535,50.30737
-4.737671,50.30881
-2.764465,50.4276
-1.935203,50.60343
-5.547187,50.103323
-5.547187,50.103323
-5.547187,50.103323
-5.547187,50.103323
-1.17719,44.66407
-0.29967,49.41733
6.92847,43.45395
-0.45564,49.485
-1.21064,44.71395
10.29634,59.04313
-5.043151,50.04553
-4.158895,53.22305
-6.272749,49.92589
-5.043151,50.04553
-1.855411,56.24371
-1.855411,56.24371
-5.547187,50.103323
-5.547187,50.103323
2.19057,51.10653
11.062,58.54366
12.615529,56.025071
1.167709,52.94959
-1.042548,60.13702
-1.132398,60.13219
-5.913323,56.55665
-1.042548,60.13702
10.5268,59.0267
9.753881,59.02325
-1.945911,55.87454
-1.75406,55.74768
-1.436791,55.09589
-2.382617,56.25709
-1.394919,55.00328
-1.497534,55.47748
-4.97992,58.62127
-1.394919,55.00328
-2.12344,55.89888
-2.484308,57.67372
-0.421836,55.82884
-3.308156,58.9239
-4.214528,58.55508
1.53259,50.76339
1.49413,50.77858
1.44032,50.46197
1.59595,50.79948
1.37556,50.94361
5.168291,60.198379
-5.488849,50.10202
-5.631455,50.0412
-3.190096,58.84541
-3.245359,58.93304
3.7,51.4
8.583002,54.305935
8.598927,54.332851
8.584455,54.314892
-5.911473,56.53843
-5.714342,56.49601
-0.2702,49.34041
-1.24306,44.62848
-1.24306,44.62848
-0.25681,49.50113
-3.2083,47.6714
-1.24306,44.62848
-5.061136,50.03362
-5.186005,49.96031
-5.206799,49.94802
-5.186528,49.96031
-5.179558,49.96099
-5.20814,56.45254
-6.236778,55.31289
-1.23891,44.67294
9.359879,63.778914
14.649294,67.221721
10.29634,59.04313
6.50283,58.22833
3.7,43.42472
-3.19909,47.67445
3.7,43.42472
7.906152,54.182804
1.754987,52.47077
1.34628,52.92125
3.51475,43.27058
3.51543,43.264
12.44573,56.30234
-128.079534,51.691303
-128.079534,51.691303
-128.147358,51.6488
5.168291,60.198379
1.053081,52.96695
10.5268,59.0267
0.526008,51.39222
-5.295096,55.71103
-5.133926,55.41497
-5.133926,55.41497
4.4,52.2
-3.138885,58.89831
-5.598511,56.0335
8.281985,54.791073
4.35,52.15
3.7,51.4
3.7,51.4
8.535004,53.927814
-0.072,53.98805
1.298829,51.09108
-5.672227,56.30735
-5.986115,56.58229
2.19057,51.10653
-2.27538,48.66203
-8.228038,55.263001
3.9,51.6
14.60384,67.234777
8.944219,58.5132
8.035953,58.144695
6.50283,58.22833
8.522821,58.25454
7.161284,53.624611
-1.322292,54.88671
1.544564,52.08958
-1.75312,48.87414
-3.09395,48.79089
4.4,52.2
8.691559,54.051971
6.863035,58.268616
32.878647,66.709004
0.21028,53.86306
0.594343,53.74612
3.7,51.7
8.61062,54.383987
3.65,51.4
1.738125,52.91354
-6.381878,56.51625
-6.245016,49.97523
0.320839,52.94125
-60.439999,46.279999
-2.748145,59.18348
2.23361,51.10014
-3.19909,47.67445
3.95,51.5
8.702753,63.807562
4.4,52.2
-1.43762,43.65601
5.127976,60.957927
-5.523295,54.3321
-5.523295,54.3321
-5.781749,56.5329
8.329139,54.774494
8.944219,58.5132
9.753881,59.02325
8.035953,58.144695
8.06625,58.1323
-4.811228,54.04279
-4.811228,54.04279
1.052106,52.96621
-6.124719,50.03241
-6.302741,49.90189
11.30976,59.10443
15.33061,68.36254
15.36733,67.80072
15.65013,67.98769
-5.051283,50.03674
1.054448,52.96711
1.544534,52.08957
-3.09467,48.79865
8.61135,54.384979
5.51125,59.204889
5.64096,59.30093
5.20974,59.135159
5.071771,59.437609
5.028251,59.364029
5.52271,59.037479
-8.55598,57.80943
-8.553188,57.79586
-1.34854,54.96292
-1.352815,54.96911
-1.889849,50.60486
1.054704,52.96631
0.261757,50.73247
1.2562,52.94205
-5.653521,56.67919
