Longitude,Latitude
-5.537843,50.094792
-5.292358,50.263241
-5.293119,50.263392
-5.39611,50.239156
-5.396157,50.239102
-5.530222,50.114187
-1.825062,46.504535
5.22,60.27
151.25,-33.95
170.339996,-45.950001
151.3,-33.683
151.1,-34.483
151.3,-33.683
151.3,-33.683
151.3,-33.683
151.3,-33.683
151.3,-33.683
150.9,-34.6
150.9,-34.6
150.716,-35.583
151.25,-33.95
151.3,-33.683
-3.99,48.73
4.05,44.09
4.05,44.09
5.54,43.05
5.54,43.05
-3.59,48.44
-3.59,48.44
-5.244854,51.736199
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
14.41667,40.88333
-4.618812,53.27861
3.1,42.5
