Longitude,Latitude
5.1299,60.9575
17.0349,68.7174
25.560269,70.898719
17.04135,68.71847
5.109571,60.139749
-2.082928,55.875437
-2.084551,55.874971
-2.075609,55.870817
-2.21153,55.931333
-2.082057,55.874811
-2.149718,55.918737
-2.373369,49.71951
-2.228103,49.68934
-2.642907,49.41533
-2.447726,50.55827
-4.805518,54.0492
-4.814135,54.06025
-4.776513,54.0549
-4.780726,54.07608
1.756935,51.129912
1.647721,51.086595
1.634545,51.082508
1.638522,51.096777
1.286143,51.002878
1.295061,51.008024
1.242365,51.029289
1.27495,51.005891
1.303325,51.023982
1.24377,51.008561
1.269796,50.993443
-4.784017,50.832431
-4.927286,50.602248
-6.38203,49.916764
-6.270634,49.933525
-6.382112,49.917661
-6.268054,49.920123
-6.271825,49.915485
-5.023744,50.121218
-6.271825,49.915485
-6.380479,49.915023
-6.276834,49.971988
-6.268054,49.920123
-6.276913,49.972885
-6.380723,49.917713
-6.280911,49.907951
-5.026311,50.117553
-6.381949,49.915867
-4.777262,50.670687
-5.037631,50.097466
-6.305635,49.966422
-6.337828,49.921129
-6.337828,49.921129
-4.633072,51.177717
-4.634501,51.177685
-4.652785,51.197058
-4.654318,51.198822
-4.651304,51.196192
-4.654266,51.197924
-4.651304,51.196192
-4.651304,51.196192
-4.651304,51.196192
-4.651495,51.174602
-4.633072,51.177717
-4.655747,51.198789
-4.64435,51.174764
-4.655747,51.198789
-5.566451,54.72443
-5.491943,54.75073
-5.472138,54.72553
-5.491943,54.75073
-5.472138,54.72553
-5.492734,54.75883
-5.549335,54.79464
-4.796886,52.712737
-4.775035,52.824163
-4.796988,52.712717
-4.796886,52.712737
-4.655325,52.759372
-4.796988,52.712717
-7.011918,55.19181
-6.234416,55.28352
-6.234416,55.28352
-5.793468,54.84395
-5.793468,54.84395
-5.793468,54.84395
-6.028797,55.13189
-5.472138,54.72553
-5.472138,54.72553
-5.472138,54.72553
-5.472138,54.72553
-5.472138,54.72553
-5.549335,54.79464
-5.472138,54.72553
1.962045,54.767067
-5.793468,54.84395
-5.793468,54.84395
-5.566451,54.72443
-5.795667,54.83915
-5.795667,54.83915
-5.566451,54.72443
-5.196736,53.494835
-5.288023,53.466277
-5.273987,53.440583
-6.644969,55.29172
-6.644969,55.29172
-6.672073,55.29172
-6.644969,55.29172
-6.644969,55.29172
-6.672073,55.29172
-6.234416,55.28352
-6.686772,55.29162
-6.282735,54.11106
-5.916387,54.07335
-5.916387,54.07335
-6.214325,54.08966
-6.028797,55.13189
-6.028797,55.13189
-7.087318,55.16771
1.73548,61.128562
