Longitude,Latitude
-122.411903,47.570525
-122.413091,47.571533
-122.412433,47.570609
-122.57812,47.671468
-131.928925,53.377205
-123.501689,48.941349
-123.501689,48.941349
18.002346,69.636786
3.7,51.65
3.7,51.65
3.7,51.6
17.995699,69.634595
-122.315636,37.861744
-125.155022,48.826389
-123.139014,47.408111
-125.151212,48.830155
-123.125604,49.302076
-125.155144,48.82645
-135.349578,57.058762
-123.758862,49.049164
-5.537808,50.095261
-5.529528,50.119966
-135.372263,57.074247
-5.53462,50.084634
18.964055,69.831038
18.64492,69.690496
-124.359235,43.342036
-124.377314,43.338424
-124.361068,43.343347
-124.361068,43.343347
-124.359235,43.342036
-124.361068,43.343347
-124.377,43.3384
-124.377,43.3384
-124.361,43.3433
-124.377,43.3384
-124.359,43.342
-124.361,43.3433
-124.361,43.3433
-124.359,43.342
-123.0313,48.4609
-122.518377,47.30705
-122.351466,47.975273
11.13084,58.9232
-135.316715,57.045782
-122.360293,37.150781
-122.378784,47.713711
-122.515617,37.520483
3.7,51.6
3.85,51.65
11.13915,58.86702
10.764602,59.878239
5.733668,58.973739
8.754936,58.426027
4.75,52.95
10.615697,59.681467
-122.594719,48.055609
11.19811,58.86211
-79.1189,33.4325
-79.1307,33.4121
-79.1307,33.4121
-3.064778,53.504944
-128.130112,51.653602
11.39,59.049999
11.39,59.049999
11.39,59.049999
11.39,59.049999
11.39,59.049999
-122.31729,37.86635
-122.47465,37.83355
-122.35352,37.91287
-117.87,33.85
11.07351,58.82366
11.2785,59.09834
-134.64,58.38
-5.189731,51.755698
-4.150346,53.226966
-4.17112,53.222993
-5.343763,55.917664
-123.886667,49.048333
-122.891667,49.07
-132.35,53.15
-131.5598,52.68164
-159.743333,55.12
-4.171106,53.222001
-123.31167,48.87333
-5.159243,51.692663
-5.157793,51.713389
-4.171106,53.222001
-4.150375,53.227451
-4.230487,52.917209
-3.829089,53.283882
-156.48,71.38
-148.05,60.0583
-118.88,34.02
-122.27,37.7
-122.27,37.7
-134.57,57.47
-121.901067,36.799956
-121.919571,36.618958
-160.4,55.3167
-79.1316,33.4106
-79.1316,33.4106
-79.1316,33.4106
-79.1316,33.4106
-79.1316,33.4106
-79.1316,33.4106
-79.1316,33.4106
-79.1316,33.4106
11.55,58.43
