Longitude,Latitude
-2.693964,48.479721
-2.758904,52.702871
-123.344963,48.427897
-121.740505,36.8244
-2.984675,53.065164
5.2,52.1
5.65,52
0.9354,52.56393
-121.914259,36.621803
8.14901,49.490871
17.12162,57.35365
5.921004,51.787558
-125.533347,48.925463
-125.533425,48.925525
-2.696623,48.479485
-1.467244,53.563312
11.92242,57.68297
11.93645,57.69282
13.33136,55.67516
13.98557,55.90111
-123.34485,48.427733
-123.344908,48.427842
-123.344963,48.433913
-123.345017,48.427845
-123.344963,48.427812
-123.345038,48.427897
-122.248533,47.147392
-122.248383,37.529519
-123.345087,48.427842
-122.838975,38.397847
-122.348204,47.064768
5.268736,60.579739
-2.762401,52.722508
-2.777138,52.716998
-123.269737,44.561092
-1.185709,52.679051
-1.257065,52.657944
10.237781,54.290642
-2.752262,52.70743
-2.694075,48.480477
0.091504,52.154072
-6.180249,56.636755
1.512363,52.030886
12.01572,57.43398
11.94274,57.69034
12.368171,51.347305
-1.185709,52.679051
-4.581435,57.42813
0.870786,52.49597
-122.247588,47.16983
9.985843,59.084371
-6.923437,52.831844
-84.076155,42.369588
-0.938871,52.610572
-1.185709,52.679051
-1.185709,52.679051
-1.972625,52.478402
-123.345062,48.427837
-123.345087,48.427825
-123.271295,44.552933
-123.345153,48.427678
-2.748778,52.706883
12.68224,56.90093
16.10253,58.59777
5.3,53.35
-122.248453,37.529538
-2.693827,48.480552
-123.148514,44.075383
-1.111129,45.010633
10.493544,59.426237
-123.342063,48.427278
-123.344895,48.427822
-123.342255,48.427212
9.979807,59.028651
-122.250275,47.19716
7.97159,51.930058
-122.251615,47.195699
-1.847944,52.204008
5.65,52.05
6.5,52.25
10.665064,53.855717
-1.185709,52.679051
12.01572,57.43398
11.9475,57.75492
-2.471944,53.843056
-2.833052,52.545788
13.003958,52.603263
13.268113,52.506253
4.7,52
-2.762978,53.446854
-0.369306,49.222344
-0.369306,49.222344
12.01572,57.43398
12.358142,51.348316
1.066616,49.431791
-1.185709,52.679051
-1.185709,52.679051
-2.769388,53.449281
7.937873,51.942493
-3.069,53.571013
12.520757,55.669725
-1.185709,52.679051
-1.185709,52.679051
-122.186244,47.836338
-2.769671,52.715154
16.52857,56.33874
-2.694411,48.482113
-123.140242,49.158299
-1.526133,53.523147
2.476648,50.788484
-1.185709,52.679051
-1.185709,52.679051
-1.185709,52.679051
-1.185709,52.679051
-1.185709,52.679051
-123.345062,48.427842
-123.345183,48.427722
-123.345038,48.427805
-123.352905,48.42867
-123.345055,48.42785
-123.344978,48.427842
-123.345,48.427805
-123.344995,48.427853
-123.345047,48.427872
-123.345253,48.427555
-123.34507,48.427887
-123.34503,48.427892
-123.345062,48.427895
-123.345055,48.427905
-123.345062,48.427812
-123.344999,48.427873
-123.344978,48.427813
13.252783,52.491018
-123.344963,48.427772
-123.345117,48.42778
7.702227,58.05152
-3.377122,51.73563
-3.377122,51.73563
2.331436,48.632266
7.83763,58.065611
-3.377122,51.73563
-1.185709,52.679051
-1.185709,52.679051
-2.429935,52.859958
-122.477834,37.803045
12.48515,57.89419
12.32855,58.70512
-1.67235,55.153978
5.1,52.1
-0.903271,52.675876
-1.308663,52.667246
-2.461901,52.653077
10.454135,59.43262
14.14624,55.38021
15.61429,56.18187
10.260222,56.959955
-1.185709,52.679051
-1.185709,52.679051
-1.185709,52.679051
-1.116243,52.603038
-1.185709,52.679051
-1.185709,52.679051
-1.185709,52.679051
-1.544319,52.757384
-1.185709,52.679051
9.567,56.153
9.567,56.153
-1.185709,52.679051
-1.185709,52.679051
-1.197033,52.626088
-1.185709,52.679051
-6.935547,52.84216
-84.500837,39.155279
-0.829985,52.650902
-1.185709,52.679051
6.28322,59.56847
-1.103048,52.598444
6.35,52.45
5.6,52
5.9,52.5
4.3,52.1
-0.262995,52.11596
16.63946,57.7468
4.45,52.25
-1.185709,52.679051
-1.185709,52.679051
-1.185709,52.679051
-1.347326,52.751969
7.753458,58.06276
5.794098,58.85634
7.975764,58.07632
5.794098,58.85634
5.794098,58.85634
-122.433703,37.750238
-1.185709,52.679051
-1.185709,52.679051
-1.185709,52.679051
-1.185709,52.679051
-1.185709,52.679051
-1.091015,52.60914
-1.185709,52.679051
-1.185709,52.679051
-0.886805,52.625378
-1.185709,52.679051
-1.185709,52.679051
-2.411729,52.504929
-122.433703,37.750238
-0.994185,51.868425
-0.769012,52.558583
9.695741,59.095278
-2.841708,52.724704
10.437166,59.171416
9.694337,59.09577
9.694337,59.09577
4.35,52.15
-0.829985,52.650902
-0.886805,52.625378
-0.811553,52.62195
7.760043,58.079136
4.7,52
5.65,51.95
-2.624955,52.477025
6.1,52.5
5,52.6
-1.185709,52.679051
-2.624955,52.477025
5.9,52
4.65,52.65
-2.653986,52.448998
-2.710454,52.392034
-2.997747,52.489751
5.285939,60.489184
5.268736,60.579739
-2.763528,52.486999
11.9345,57.68586
-2.742827,52.917744
-2.600233,52.499628
15.69273,56.28032
-2.209126,52.962132
10.4032,59.82607
10.40316,59.82556
-2.209126,52.962132
12.62457,56.81782
5.5,52
-2.209126,52.962132
-2.209126,52.962132
12.518027,55.725405
10.605135,59.694537
5.9,52.55
-122.370408,47.698826
-2.983138,52.758677
4.45,52.15
4.95,52.5
5.9,52.55
5.65,51.95
6.45,52.5
6.45,52.5
5.95,53.15
6.1,52.5
6.1,52.5
5.9,52.5
-2.5386,52.639269
-2.459001,52.658482
-2.632692,52.861298
-2.423286,52.634343
6.45,52.4
5.9,52.5
5.95,51.15
5.9,52.5
6.7,52.1
-2.647416,52.602764
-2.48711,52.660168
-2.635891,52.622604
-2.659808,52.641352
