Longitude,Latitude
9.613,63.86358
9.64418,63.8633
18.1401,69.41667
18.13333,69.43333
21.81987,70.04878
7.68538,63.03035
8.74246,41.8383
20.68242,69.98365
20.66342,69.98892
20.67638,69.98492
20.64207,69.99572
20.6709,69.98622
20.66867,69.98465
17.29465,69.41522
17.27942,69.42225
5.78588,62.20787
5.210271,60.217479
6.07528,59.29458
3.97978,43.50867
8.76423,41.92187
17.9603,69.54158
8.68307,63.87535
8.682368,63.8674
8.67105,63.8616
8.68218,63.85343
12.92178,65.32115
-5.583604,56.316522
-5.544569,50.101964
3.7,43.42472
8.73889,41.90778
-5.542162,54.48928
17.98643,69.52052
7.87853,63.45743
5.031601,60.877949
8.44952,63.75463
24.490929,70.6697
24.501929,70.6671
8.45125,63.76335
22.98557,70.76823
19.663333,70.010883
8.45678,63.75595
8.4515,63.75602
19.657283,70.012867
11.05002,65
11.06725,64.99738
-5.537808,50.095261
-5.529334,50.121142
-5.542162,54.48928
-5.578488,54.393962
-5.743857,54.727295
7.80055,63.423383
7.79365,63.41668
8.73438,63.82383
11.17018,64.802
8.73468,63.8162
12.61628,65.80707
-5.502159,50.124574
-5.743857,54.727295
-5.578488,54.393962
8.76325,41.87743
3.51475,43.27058
8.74042,41.8401
4.04289,43.51731
8.78945,41.86713
8.75475,41.85043
8.74042,41.8401
9.40496,41.77458
8.75475,41.85043
-5.566069,54.522558
-5.566065,54.522678
-5.565938,54.522733
9.7669,63.6516
-5.537843,50.094792
-5.566069,54.522558
-5.566065,54.522678
-5.565938,54.522733
3.7,43.42472
3.7,43.42472
-0.29182,49.40886
8.76166,41.85101
3.7,43.42472
8.74053,41.83737
8.75475,41.85043
8.76541,41.84313
6.77364,43.4064
6.92479,43.46135
9.40998,41.76606
3.7,43.42472
8.74246,41.8383
3.51475,43.27058
3.97575,43.52317
24.574549,70.6443
-5.608412,54.545817
-5.60939,54.543868
-5.609212,54.54388
-5.608412,54.545817
3.7,43.42472
3.78805,43.424
8.75475,41.85043
3.16149,42.47805
9.40854,41.77259
9.40496,41.77458
8.75475,41.85043
8.74053,41.83737
8.75475,41.85043
8.74053,41.83737
8.76325,41.87743
8.74246,41.8383
3.13695,42.48222
-0.29182,49.40886
-0.28714,49.40878
8.59898,41.90178
8.75522,41.82629
9.57628,42.3055
-0.2702,49.34041
8.72246,41.83427
8.75475,41.85043
9.40998,41.76606
8.74665,41.83743
10.561778,66.960075
8.74246,41.8383
8.75039,41.84559
8.73877,41.83976
8.61985,41.88177
8.74246,41.8383
9.38892,41.55435
8.75475,41.85043
8.75475,41.85043
3.7,43.42472
8.75455,41.85225
8.75475,41.85043
8.74665,41.83743
8.74042,41.8401
-5.578795,54.393768
-5.578692,54.393895
-5.578795,54.393768
6.77506,43.40722
6.77323,43.40714
3.14201,42.48139
9.40894,41.77007
6.84389,43.40901
8.75522,41.82629
3.7,43.42472
6.366208,62.525108
3.7,43.42472
5.61211,43.16003
9.40894,41.77007
6.24286,43.02557
5.61596,43.15821
3.7,43.42472
-5.543427,50.110084
1.268874,51.99471
24.461919,70.82258
24.453879,70.83257
24.534649,70.81882
4.835551,60.953099
9.98045,64.11497
5.032381,60.406079
-61.22053,14.78867
8.76217,41.91817
-61.21822,14.7865
5.33573,43.20895
-61.19918,14.76764
-61.21764,14.78562
-61.21372,14.78152
8.76217,41.91817
-61.22947,14.80833
5.37087,43.17648
-61.21461,14.78133
5.37186,43.17784
17.50588,69.08944
8.75039,41.84559
8.75803,41.85135
8.74904,41.84277
9.40496,41.77458
8.75475,41.85043
3.7,43.42472
8.76217,41.91817
5.62222,43.15722
3.97575,43.52317
5.61989,43.15948
8.75522,41.82629
8.75475,41.85043
3.97978,43.50867
8.72002,41.90313
5.61211,43.16003
5.61967,43.15756
5.61211,43.16003
3.50937,43.25991
5.62333,43.15528
8.75475,41.85043
5.62333,43.15528
3.50937,43.25991
5.62333,43.15528
3.97978,43.50867
8.59282,63.90105
16.24223,67.89517
4.918051,61.685599
8.6863,63.46722
8.59293,63.90253
8.59253,63.89945
8.59772,63.89975
5.233208,59.445578
5.174399,59.443768
6.84759,43.41002
8.76097,41.84833
3.7,43.42472
3.51543,43.264
3.96736,43.53606
6.77364,43.4064
6.84389,43.40901
5.76788,43.08451
3.7,43.42472
8.71565,41.90152
8.75522,41.82629
3.7,43.42472
7.5728,62.94933
5.76196,62.33067
3.13386,42.51332
8.77658,41.69543
3.1355,42.50902
5.29633,43.26628
5.49275,43.2028
3.51475,43.27058
6.24126,43.02875
6.16042,43.00715
6.24286,43.02557
8.74665,41.83743
8.7798,41.69996
5.39871,43.1738
7.07612,43.51593
3.13792,42.51442
3.13386,42.51332
8.72246,41.83427
7.07323,43.51826
3.13792,42.51442
5.29111,43.26194
3.51196,43.26841
3.51475,43.27058
8.79415,41.69396
6.09832,43.02795
3.51196,43.26841
3.7,43.42472
5.2867,43.27991
8.79682,41.69415
3.1355,42.50902
6.1045,43.02933
7.06155,43.52301
8.55128,63.6301
11.6043,64.96902
8.54295,63.6278
8.54773,63.62887
-5.5517,54.38126
3.50224,43.24445
8.74665,41.83743
8.74863,41.84632
8.68583,41.90167
3.05683,42.92717
5.23698,43.32926
3.13792,42.51442
8.74863,41.84632
8.76166,41.85101
6.84389,43.40901
3.15462,42.47844
6.84759,43.41002
3.05733,42.92602
8.74665,41.83743
8.76166,41.85101
3.06145,42.91742
8.74246,41.8383
8.74246,41.8383
8.73993,41.84493
8.75475,41.85043
3.06145,42.91742
8.75475,41.85043
8.76423,41.92187
8.6278,63.85455
18.49212,69.90258
26.543517,70.685098
18.488,69.9083
12.29362,66.23372
8.74665,41.83743
3.98882,43.51029
8.74665,41.83743
3.92538,43.50063
3.51475,43.27058
3.1355,42.50902
3.1567,42.47433
3.80493,43.43117
3.1355,42.50902
8.74246,41.8383
3.13386,42.51332
5.33573,43.20895
3.15462,42.47844
8.74053,41.83737
3.98186,43.52279
8.74665,41.83743
8.64831,63.7972
8.64796,63.79626
18.811971,69.88608
18.81477,69.88825
8.646259,63.79478
18.79987,69.89415
18.79528,69.895
18.79705,69.88508
20.70183,69.99693
23.602733,70.67405
8.75475,41.85043
8.74248,41.8404
3.7,43.42472
5.32518,43.21383
3.51475,43.27058
8.74665,41.83743
3.51196,43.26841
8.74246,41.8383
6.77323,43.40714
8.61174,41.97719
7.12252,43.53963
-151.785,-16.5014
8.75475,41.85043
5.37087,43.17648
8.75039,41.84559
8.74042,41.8401
7.0843,43.53655
9.54543,42.34982
6.40925,43.01976
3.51475,43.27058
7.06155,43.52301
8.75475,41.85043
8.74053,41.83737
9.5994,42.45154
9.57628,42.3055
3.7,43.42472
3.51196,43.26841
8.75475,41.85043
3.51196,43.26841
6.85085,43.40941
6.968733,62.8291
6.964383,62.834167
6.664379,62.80113
17.42483,68.45045
-4.89015,56.12605
-5.377329,56.5881
-5.530222,50.114187
-5.531094,50.117489
-5.547187,50.103323
-5.530222,50.114187
-5.529741,50.11906
8.75039,41.84559
6.77364,43.4064
8.75475,41.85043
3.13386,42.51332
5.67414,43.17004
3.15694,42.47635
3.13386,42.51332
3.13386,42.51332
5.69276,43.14779
3.7,43.42472
8.75475,41.85043
8.75475,41.85043
3.1567,42.47433
-5.098824,48.45389
12.16248,66.1038
12.02468,65.11975
12.02215,65.11688
12.1642,66.10505
8.90753,63.80383
16.92672,69.19565
16.89898,69.14675
22.88797,70.13625
17.0349,68.7174
25.547769,70.892149
22.88633,70.1381
23.12592,70.62848
23.12278,70.6284
5.23876,43.33053
8.75475,41.85043
8.76166,41.85101
3.95815,43.5127
8.74988,42.56896
3.7,43.42472
5.23967,43.331
29.751963,80.239124
8.51657,63.80125
8.11443,62.90857
7.6889,63.05727
8.5205,63.7944
8.52257,63.79482
8.50378,63.78852
8.51608,63.79682
8.49637,63.7859
8.85053,63.73338
8.517729,63.7894
-8.184715,43.47177
-8.192445,43.465963
7.85407,63.47147
19.29832,70.06253
7.84177,63.463
7.84323,63.46618
19.30937,70.06445
4.880021,60.756119
5.61211,43.16003
8.74665,41.83743
8.74665,41.83743
5.61967,43.15756
3.98186,43.52279
5.61369,43.16286
8.30953,63.28773
7.84177,63.463016
7.84323,63.4662
7.87947,63.470033
5.44603,59.054099
