Longitude,Latitude
4.117657,43.515154
4.113877,43.511637
4.113877,43.511643
4.114161,43.510978
9.742339,55.525198
5.348033,43.228742
3.558417,43.318706
3.558417,43.318706
3.558655,43.318341
3.558655,43.318341
18.002346,69.636786
4.11182,43.517861
3.559557,43.317982
3.559557,43.317982
3.558246,43.318825
3.559235,43.317935
5.370761,43.176849
3.70003,43.424697
5.370761,43.176849
9.834024,44.065854
9.742218,55.526799
4.11431,43.510328
4.114276,43.510235
5.986355,58.435828
-9.073444,53.156601
-9.073444,53.156601
-9.073444,53.156601
-9.073444,53.156601
-7.316992,57.400848
-9.073444,53.156601
11.20759,58.33643
-7.317685,57.401259
4.577619,43.395959
11.08152,58.53216
11.08276,58.53263
3.700359,43.42497
3.70003,43.424697
11.04319,58.8373
9.742411,55.525115
9.742191,55.525103
9.742767,55.525258
3.700371,43.4245
10.193975,54.398254
-2.480185,57.673587
-3.497049,50.40105
-2.441696,50.57026
-2.48019,57.673496
-8.802584,43.321886
-5.243604,51.73607
-5.18727,51.75474
-5.084867,55.47881
-5.12463,48.442491
18.400982,69.7748
18.002346,69.636786
18.697283,69.684758
3.70003,43.424697
14.625399,67.227195
5.9994,58.415
5.9841,58.3929
5.9675,58.3963
5.9675,58.3963
5.99936,58.415
5.96748,58.3963
5.2108,60.2662
4.9411,60.4596
5.21077,60.2662
4.94107,60.4596
11.041,58.5773
7.5915,63.2178
-5.405213,58.00017
-4.886826,55.73962
7.567,57.9886
7.555,57.9747
7.5336,57.9739
-5.132531,58.47289
-2.071533,55.870274
-2.073562,55.869974
11.08161,58.52889
-6.574942,57.33153
-6.378183,57.3233
-3.804659,50.20675
-7.941506,55.21456
14.6161,67.226
-5.529361,50.114064
-5.546984,50.103405
-5.530732,50.117486
-5.546984,50.103405
-3.639222,50.22378
-2.482953,57.67524
13.532034,43.61879
7.6923,63.0614
7.0574,57.9837
-5.546824,50.10332
-5.546824,50.10332
-4.590908,53.24202
-5.546824,50.10332
7.05735,57.9837
7.69234,63.0614
9.712085,57.384523
-5.537529,50.094877
-5.537529,50.094877
-8.450369,51.67425
-5.682878,54.66808
-5.104433,58.40625
-5.118484,58.47604
10.623841,59.681706
-2.081685,55.87558
-4.851338,58.606539
-2.083562,55.875969
-4.852239,58.6066
-5.263726,51.72639
-4.326476,58.55521
-4.969186,58.6172
-2.484308,57.67372
-1.119276,60.1193
-1.329594,54.90374
10.5055,63.439
10.3985,63.4398
-5.546824,50.10332
-5.546824,50.10332
-5.546824,50.10332
5.4505,59.6062
5.9908,58.4493
-5.013566,50.151605
5.99081,58.4493
-3.19909,47.67445
-5.14905,51.77224
-5.179558,49.96099
-2.080768,55.875608
-2.080768,55.875608
-4.738954,54.06427
-4.757102,54.05971
5.8101,59.266
-2.082555,55.87597
-2.149718,55.918737
-2.128016,55.907099
-2.074206,55.863917
-2.082555,55.87597
-2.204301,55.929162
-7.102257,57.973257
-7.15391,58.038319
-6.252412,49.93556
-7.152378,58.03932
5.81011,59.266
-5.546824,50.10332
-6.264123,55.308167
-6.264671,55.307968
-6.264123,55.308167
-5.125868,50.096278
-5.664329,55.9515
-5.661108,55.95285
-2.893558,58.96909
-6.231206,55.29422
-2.790035,58.92266
-2.884544,58.97976
-3.024445,58.82669
-6.255687,55.3114
-6.255687,55.3114
-2.769657,47.56298
-5.432209,57.23465
-5.410475,57.22946
-5.121464,51.67273
-5.040198,56.70594
-5.243742,56.67625
-5.040198,56.70594
-5.243742,56.67625
-5.544207,50.101979
-3.509661,50.479332
-1.775073,57.471662
-5.573759,54.39148
-5.145534,51.69457
10.623863,59.682102
10.623489,59.681922
-4.780726,54.07608
-6.007272,56.592539
-6.325776,56.605443
-7.505203,56.880751
-5.546754,50.103322
-5.546754,50.103322
-5.296357,51.73031
-4.467047,52.859818
-4.461518,52.867126
-5.546754,50.103322
-5.546754,50.103322
-5.939939,56.6565
5.184,60.3379
5.184,60.338
5.130974,60.956758
5.13091,60.956758
5.130985,60.956784
5.130684,60.95677
5.130813,60.956815
5.130781,60.956754
-2.444022,50.56976
-5.243472,51.737136
-5.273964,51.738089
-5.270683,51.732784
-1.775073,57.471662
-4.885208,51.60983
-6.232174,56.85764
-5.809978,54.70976
-5.546824,50.10332
-5.796141,54.7181
3.227964,41.96401
-6.109179,54.03984
-5.334786,56.632403
-10.25959,53.62117
-5.809978,54.70976
-5.818893,56.21682
11.0895,58.5427
-5.796141,54.7181
11.2211,58.3489
-5.243366,51.73659
-5.248038,51.7383
