Longitude,Latitude
18.002346,69.636786
17.995699,69.634595
9.103267,63.498053
11.58772,58.3457
18.002346,69.636786
11.421773,64.699086
18.002346,69.636786
18.819903,69.8507
18.761054,69.663202
13.621568,68.120215
18.400982,69.7748
11.60096,58.36216
11.56899,58.32956
18.819903,69.8507
-5.27467,56.54446
18.533017,69.704724
6.177445,62.583562
8.75475,41.85043
8.75475,41.85043
-2.140385,55.91892
-2.140385,55.91892
8.75475,41.85043
18.912375,69.629311
-4.5078,48.35692
17.995699,69.634595
18.64492,69.690496
8.349652,63.311088
13.115053,66.387859
-1.452929,55.08014
-1.436442,55.06165
11.02381,58.53687
11.09418,58.54892
-1.397133,55.00266
-1.372891,54.98707
-1.425719,55.03959
-1.574484,55.41983
-0.383917,54.267366
-6.022413,55.129967
-6.021396,55.12996
-6.022413,55.129967
14.60358,67.234953
-5.557156,57.35803
-5.5659,57.35779
-0.586779,54.486524
-2.144149,55.91971
-2.144149,55.91971
-1.473353,55.12216
-1.372924,54.98693
-1.429387,55.04025
-2.382617,56.25709
-1.75406,55.74768
-1.372924,54.98693
-1.291325,54.80919
-1.945911,55.87454
-1.42803,55.040717
-1.75406,55.74768
-1.775045,57.471673
-1.426386,55.04325
-2.127652,55.90561
10.455896,59.445381
9.555316,63.721859
-3.191041,58.9133
-4.743181,54.12416
-4.744424,54.12236
-4.749146,54.11531
-1.449636,55.07807
-1.351975,54.96787
-1.341958,54.87629
-1.335373,54.88528
-1.401074,54.99947
12.00698,65.42405
-1.396993,55.0026
-1.383516,55.02093
-1.344442,54.97865
-1.398506,55.002669
-0.115021,54.10256
-2.144149,55.91971
-2.743187,59.20745
-1.428042,55.039818
-1.449368,55.07704
-2.548806,56.18575
-1.29408,54.8475
-1.322608,54.89997
-5.208358,56.74176
-5.05524,56.21172
8.482475,63.562771
11.137582,63.788805
-1.352815,54.96911
-1.333274,54.86606
-5.706155,57.27423
-5.706977,57.27382
-5.698675,57.27876
-2.590544,56.19654
-2.539234,56.29245
4.34,39.87
4.34,39.87
-5.6275,54.39933
-1.603379,55.64368
-5.6275,54.39933
-2.069686,55.8637
-1.321579,54.88324
-7.097889,57.60812
