Longitude,Latitude
-123.27945,48.463987
-117.289243,32.679237
-122.299072,37.894742
15.891143,67.981813
20.63273,69.518202
-122.255833,37.807222
-122.256355,37.807058
-64.796868,45.155358
-5.577958,54.394407
-5.631502,54.451867
-5.811932,54.710278
-122.48276,37.501985
-5.632,54.452
-6.635218,57.60826
-5.534698,54.361533
-122.669067,37.907986
-122.257697,37.804655
-122.257675,37.804962
-120.854822,35.369214
-122.481917,37.50268
-122.256972,37.805303
33.2,66.6
33.2,66.6
33.2,66.6
33.2,66.6
-122.397089,37.802422
-4.893298,55.750567
-4.893298,55.750567
33.120768,66.549047
-122.556269,47.2447
-122.556301,47.244908
-122.379694,37.872041
-122.257653,37.805
-122.257614,37.805003
-122.422617,37.810236
-70.90718,42.419543
-122.277292,37.793933
-122.276933,37.79396
-122.257484,37.804927
-122.257683,37.804828
19.58222,70.10935
-122.257562,37.80503
12.14183,57.2031699991417
12.14783,57.1929999991415
12.11837,57.3163299991432
11.9385,57.3831699991441
11.90333,57.4816699991455
11.90333,57.4816699991455
12.15683,57.1999999991416
-122.299142,37.894683
33.1,66.6
33.1,66.6
-122.369442,37.815664
-121.893472,36.60877
-122.257662,37.804767
-122.257055,37.80525
-122.257753,37.804814
-119.832251,34.40927
-69.594784,43.815187
-69.595499,43.814119
-122.78051,47.1706
-122.781,47.1706
18.958132,74.722773
-122.257722,37.804808
12.53002,56.2098299991286
12.16283,57.2049999991417
12.0625,57.4364999991449
12.0625,57.4364999991449
12.10167,57.3108299991431
12.82667,56.6491699991343
12.06417,57.446329999145
12.0535,57.3929999991443
-122.27738,37.794003
-122.276993,37.793886
-122.277388,37.794053
18.8963,69.6685
18.8859,69.6831
10.6994,59.9094
10.3791,63.4323
10.7243,59.9073
10.6994,59.9094
10.7243,59.9073
10.4072,63.4432
10.399,63.4385
10.3766,63.4318
10.7243,59.9073
10.6428,59.9095
10.3766,63.4318
10.7498,59.9015
10.7498,59.9015
10.3986,63.4392
10.6994,59.9094
10.6428,59.9095
10.6994,59.9094
-73.429602,40.928068
-122.379273,47.711827
32.7901,66.7467
32.7901,66.7467
32.7901,66.7467
14.800599,68.66968
92.9,80.2
98.7,78.6
92.9,80.2
98.7,78.6
98.7,78.6
-118.198546,33.761489
8.5127,58.2648
8.5945,58.339
9.2382,58.7217
8.3798,58.2473
8.581,58.3233
8.5969,58.3406
8.9535,58.6249
8.581,58.3233
9.6991,59.047
9.2401,58.719
16.263199,68.146433
-4.97985,55.71859
7.376118,53.728252
11.75797,57.59752
25.746828,70.981219
22.34803,70.1421
-2.205994,56.951498
-2.213333,56.894999
11.75797,57.5975199991471
5.2586,60.3153
5.3099,60.3943
5.2578,60.3151
5.2586,60.3155
22.25092,70.14208
25.555929,70.894129
25.560269,70.898719
23.12087,70.62765
29.06536,70.0641
25.508609,70.866319
29.06873,70.05858
11.092385,79.090143
11.091559,79.090263
21.48038,70.16634
21.44276,70.16235
21.46945,70.16682
-166.509995,53.900002
-3.342364,56.033027
-122.257386,37.804764
-70.899839,42.463043
11.18456,58.35376
5.096751,60.435815
11.609,58.0629699991538
11.58637,58.076219999154
12.0625,57.4364999991449
12.0625,57.4364999991449
10.5827,59.666
10.6216,59.686
10.5827,59.666
10.6214,59.6787
10.6229,59.6676
10.6216,59.686
10.5827,59.666
10.6214,59.6787
7.291886,53.798893
33.1,66.3
-128.119252,51.645321
-128.139984,51.667424
-128.117773,51.674538
-128.119252,51.645321
-128.117773,51.674538
12.53002,56.2098299991286
12.53002,56.2098299991286
-122.276886,37.793822
-119.481423,33.96066
32.89695,66.70478
-166.511,53.9055
-166.511,53.9055
-166.511,53.9055
-166.511,53.9055
-166.511,53.9055
-166.511,53.906
-166.511,53.9055
-166.511,53.9055
-166.509995,53.91
-166.509995,53.91
-166.509995,53.91
-166.563,53.8564
-166.468,53.9027
-166.552,53.8769
-166.563,53.8564
-166.563,53.8564
-166.548,53.8606
-166.358,53.9802
12.48268,66.03192
-166.358,53.98
5.3211,60.3812
5.312,60.3985
5.2986,60.3887
10.5032,63.4369
