Longitude,Latitude
-5.452665,50.113376
5.134401,59.608166
8.67675,63.86995
4.907601,60.684519
-5.537083,50.092449
-5.53784,50.094747
-5.537704,50.094796
-5.530053,50.1195
-5.53784,50.094747
-5.537808,50.095261
-5.502159,50.124574
3.351579,56.251254
3.355463,56.251862
-5.537843,50.094792
-5.53462,50.084634
11.91923,57.58993
11.91978,57.59194
11.88408,57.61429
11.88549,57.61469
9.5073,63.5742
-5.452665,50.113376
5.174399,59.443768
6.92683,62.7826
2.739811,60.547372
-6.225532,55.29342
5.736801,59.019698
9.43817,63.79822
5.041271,61.570619
11.93778,57.57467
11.74337,57.64705
11.74563,57.62089
6.97767,62.80488
-5.257283,51.69865
-5.257283,51.69865
-2.205994,56.951498
-2.161161,57.01583
11.74337,57.6470499991478
11.93778,57.5746699991468
11.74563,57.6208899991474
5.44395,59.943179
-2.205994,56.951498
13.85728,67.08205
13.87918,67.09542
-5.53784,50.094747
1.710556,50.783611
5.296681,60.420229
-5.292358,50.263241
-5.547066,50.10338
-5.425834,50.186411
-5.5357,50.091708
-5.293119,50.263392
-5.547187,50.103323
6.09565,60.19905
10.98651,66.792389
10.97771,66.797698
1.693874,58.567133
1.693874,58.567133
10.99997,66.795859
-5.39611,50.239156
-5.539754,50.110441
-5.547066,50.10338
-4.950223,51.54662
-4.737867,50.30937
-5.537892,50.09488
-5.547187,50.103323
-5.539875,50.110384
-2.927926,50.725712
-5.396157,50.239102
7.291886,53.798893
-5.547187,50.103323
-6.193371,55.29182
5.720984,59.131416
-6.673967,56.96614
-5.396157,50.239102
4.940181,60.331199
-5.703884,50.078695
9.1887,63.53233
5.314971,61.467029
8.27328,62.78428
4.976331,61.393779
3.268539,56.375051
3.928556,51.543341
-5.47606,51.73003
-41.2475,75.9042
-72.76,41.241
-72.76,41.242
-72.76,41.242
-0.688446,50.77559
0.483092,50.76474
12.34255,65.1174
-5.665954,51.71865
-5.664713,51.71799
-5.665954,51.71865
-5.665954,51.71865
-5.667787,51.71768
-5.664713,51.71799
0.0138,50.74249
-0.109116,50.79351
2.81,51.43
-4.181792,53.21722
-4.186213,53.21548
-4.186213,53.21548
-4.186213,53.21548
-4.155439,53.22373
-4.186213,53.21548
-4.154479,53.22758
-4.186213,53.21548
