Longitude,Latitude
11.75786,57.54986
11.75786,57.54986
11.76848,57.53571
11.70201,57.52033
11.70201,57.52033
11.70543,57.57852
11.70543,57.57852
8.932828,64.599677
1.103211,52.95711
11.19804,58.6064
11.43447,58.2679
-4.917036,55.9402
1.054385,52.9678
1.143806,52.95129
-1.912654,49.2739
-4.162249,53.22032
1.315955,52.93366
-5.274185,56.54562
18.457222,-34.200278
18.457222,-34.200278
-3.508387,50.48001
-2.07995,49.24028
-5.132531,58.47289
-5.1256,58.41824
-5.4558,57.97163
-5.03832,58.45024
-6.25024,55.29103
-6.225036,55.27549
-4.133838,50.33772
11.21433,58.34367
4.914171,60.423669
10.29634,59.04313
-2.450529,50.55909
-5.01691,54.94796
-3.069927,50.66162
-3.069927,50.66162
-3.633698,50.22543
11.05322,58.54501
1.298844,52.93542
-0.329612,50.67412
1.207265,52.94895
1.298844,52.93542
1.218142,52.94694
1.20899,52.94721
1.207265,52.94895
1.101546,52.95715
1.136425,52.95116
1.255052,52.94282
1.145887,52.95073
11.36078,58.32499
11.36078,58.32499
11.24295,58.34723
11.36137,58.33212
11.35658,58.34895
11.36137,58.33212
1.216213,52.94743
1.137835,52.95079
1.207995,52.94846
1.215423,52.94761
1.216293,52.94721
1.209113,52.94806
1.215711,52.94758
1.377349,52.92691
1.316023,52.93192
1.215711,52.94758
1.276515,52.93968
1.086533,52.96111
1.207995,52.94846
1.209113,52.94806
1.216293,52.94721
11.07374,58.96253
11.08494,58.95249
11.0743,58.96899
11.0743,58.96899
11.08494,58.95249
11.115303,59.038457
10.87016,59.04749
9.808552,58.99358
10.703994,59.254302
1.206723,52.94918
-5.874414,56.6673
-5.26622,56.06876
-5.143878,56.67875
-5.265024,56.06868
-4.268032,50.17924
11.61386,58.37037
11.088,58.96212
11.088,58.96212
-5.892829,56.65171
1.143768,52.95026
-5.557156,57.35803
-5.557156,57.35803
-5.297252,56.54782
-4.699739,50.31718
-4.764314,51.64316
-5.625626,54.38632
-4.946867,50.59379
-4.158895,53.22305
-4.162545,53.22083
-4.162545,53.22083
-4.162545,53.22083
-4.158895,53.22305
-1.855411,56.24371
-4.260508,50.18901
-5.031148,50.15844
-5.576221,54.43497
11.05434,58.57666
11.09243,58.54908
-2.186228,49.29602
-4.257258,50.18072
-1.991497,50.57484
-3.906996,50.27362
1.352949,52.91857
10.5268,59.0267
9.808552,58.99358
11.115303,59.038457
10.703994,59.254302
10.87016,59.04749
-1.149426,60.13299
-1.394919,55.00328
4,51.6
-10.05115,54.12443
-5.119261,57.87762
-1.335377,54.86606
-5.695459,56.86871
-5.714342,56.49601
-5.652152,56.68193
-5.728707,56.51662
-5.652152,56.68193
-5.588737,56.52967
-5.120196,57.87722
-5.12016,57.87592
-5.136699,57.87946
-5.120586,57.87626
-5.26869,57.92879
-5.120152,57.87661
-4.1968,53.21336
1.27091,51.08109
-5.068286,50.02758
-2.678931,57.68994
-2.497234,57.67727
11.05482,58.60119
10.29634,59.04313
6.50283,58.22833
4.914171,60.423669
-4.74774,54.11627
-4.781669,54.05819
-4.782324,54.05884
-4.76368,54.05934
-4.752703,54.06091
-4.78159,54.05769
-4.76368,54.05934
-4.78159,54.05769
-4.748204,54.11496
-4.78159,54.05769
-5.155662,51.67018
-5.304242,56.54128
-3.50405,50.34769
-5.332711,56.52265
