Longitude,Latitude
-70.5,42.540001
-70.620003,41.740002
-70.650002,42.619999
-71.339996,41.48
-71.040001,42.360001
-70.226,43.643
-4.665216,51.66456
1.420776,51.397505
-28.73505,38.5228
-28.75225,38.52254
-28.7636,38.51787
-28.75203,38.51354
-28.7582,38.53147
-28.74641,38.51813
-28.7463,38.51362
-28.74651,38.52263
-28.74067,38.51821
-28.73483,38.51379
-28.75787,38.51795
-28.76404,38.53588
-28.73494,38.5183
-28.76382,38.52688
-28.75776,38.51345
-28.76371,38.52237
-28.75279,38.54506
-28.76349,38.51336
-28.76415,38.54039
-28.75798,38.52246
-28.75236,38.52705
-28.75258,38.53606
-28.75809,38.52696
-28.75214,38.51804
-28.76426,38.54489
-28.75842,38.54047
-28.74078,38.52272
-28.75853,38.54498
-28.75247,38.53155
-28.74056,38.51371
-28.76393,38.53138
-28.75268,38.54056
-28.75831,38.53597
-2.566377,56.192669
-28.58578,38.51591
-25.13365,36.91662
-6.006444,57.116352
-80.4328,31.0494
-3.59,48.44
-3.59,48.44
-61.58333,16.25
-61.58333,16.25
-70.598739,41.585648
-70.673084,41.526497
-72.65,38.93
-71.290169,41.468496
-70.673084,41.526497
-70.673084,41.526497
-70.9122,41.5431
-71.3355,41.478
120.54,36.11
-70.6504,42.6151
-70.495,42.54
-71.0408,42.3569
-70.6242,41.7397
