Longitude,Latitude
5.258935,59.418674
5.247122,59.416855
1.272178,51.99455
8.82588,64.430838
18.734527,69.643134
-2.140385,55.91892
-1.948892,50.60802
-1.883828,50.7081
-1.916184,50.68906
10.611619,59.44519
-5.539754,50.110441
-5.527224,50.124588
-5.542911,50.109625
-4.485564,50.17358
-5.599568,56.0327
-5.599568,56.0327
-5.59939,56.03285
-5.59939,56.03285
-2.144149,55.91971
-5.527345,50.124531
-5.543032,50.109568
-2.848776,50.71438
-2.848776,50.71438
-5.548786,50.105092
-4.260508,50.18901
11.062,58.54366
11.80296,58.30559
5.116304,60.397463
-4.261476,50.17866
-4.257258,50.18072
-1.141228,60.13668
-1.132398,60.13219
24.12086,59.37896
24.36686,59.48024
-2.262518,50.58966
-2.382617,56.25709
5.847314,62.315744
10.619704,59.673698
-2.12152,50.58497
-5.065745,50.02934
-1.896121,50.6831
-2.12152,50.58497
-3.635848,50.22349
-6.39693,49.86255
-13.6532,65.2165
22.27674,58.56214
11.26717,58.44027
-0.688446,50.77559
23.10567,59.02734
23.10909,59.02734
24.2837,58.28301
-2.44788,50.55814
-1.17493,49.41875
10.549622,54.549767
1.270107,51.99513
-3.639169,50.25005
-3.632741,50.22574
0.0138,50.74249
22.99462,58.35948
23.7238,59.27931
23.13322,58.73705
24.283,58.28297
22.97518,58.77994
23.2577,58.93484
25.95932,59.638
23.72464,59.279
23.13206,58.73547
22.98797,58.79892
22.27742,58.56206
24.36633,59.48093
23.7263,59.27746
24.36758,59.47907
24.36705,59.48016
23.72652,59.27647
23.25484,58.92902
22.98122,58.35949
5.45948,59.934159
-3.970094,50.28567
24.91999,59.52489
1.145501,52.94993
-5.392619,56.45533
24.01529,58.21383
11.09396,58.89047
-6.267071,49.9709
-6.258573,49.93506
-6.352423,49.88222
-6.258573,49.93506
-6.267071,49.9709
-6.291079,49.90456
-6.258573,49.93506
22.00234,59.14909
11.30976,59.10443
1.336207,51.134139
23.15335,58.83054
22.19463,58.14904
22.14166,58.07904
22.44667,58.21173
22.47924,58.2367
23.00643,58.34558
1.021586,51.80325
24.27956,58.29702
24.1288,58.22338
-7.372523,57.01653
-7.372523,57.01653
-7.325907,57.09623
-5.90944,56.53813
-2.539234,56.29245
-124.3568,47.540406
-5.290106,56.05086
0.88386,51.77701
-6.592518,57.62806
10.880542,54.090157
9.808552,58.99358
-1.656259,55.614864
22.39893,59.1722
-3.191483,58.845033
-2.971292,58.956486
-2.959667,58.984845
-2.959667,58.984845
-2.959667,58.984845
22.89768,59.17262
22.93761,59.17128
22.26437,59.01626
22.91298,59.17115
22.90502,59.1413
22.87645,59.17089
22.88042,59.13478
22.89195,59.17899
22.86188,59.14715
22.87378,59.1567
22.92439,59.19631
22.81026,59.19128
22.82653,59.18307
22.88016,59.15049
22.8399,59.15364
22.96219,59.17788
22.9353,59.14771
24.4917,58.26191
24.91966,59.52501
24.289901,58.320239
18.96291,57.77513
-2.976006,59.323119
-4.254272,50.32809
1.143633,52.95005
-4.544545,52.135661
-1.874857,50.69423
-1.896517,50.70235
-1.872641,50.68638
9.267662,58.74279
23.14255,58.83084
-5.577362,54.39392
-4.544545,52.135661
-4.544545,52.135661
-4.544545,52.135661
-4.333906,52.215555
-4.544545,52.135661
22.9922,58.34577
24.91153,59.69194
24.74292,59.70871
24.72756,59.71214
24.73848,59.70891
24.90665,59.69205
24.73431,59.71099
24.8913,59.69336
24.90067,59.69324
24.74067,59.70761
24.89761,59.69205
24.90218,59.68965
24.89612,59.69091
24.90911,59.68848
23.71303,58.35415
24.59793,59.66349
24.89147,59.69547
23.71693,58.35434
24.89757,59.69429
23.72344,58.35434
24.59117,59.66468
24.90308,59.69655
23.71443,58.35228
24.58687,59.66463
23.71709,58.3521
24.74276,59.71096
24.88489,59.69679
24.74558,59.71215
24.89839,59.69662
23.727,58.35192
-10.26015,53.58981
22.31257,58.74914
21.90615,58.50924
23.5061,58.09594
23.11242,58.97796
21.95082,58.40448
22.99142,58.33992
24.49219,58.26156
23.51847,58.97654
25.74486,59.65518
23.51886,58.97685
25.74438,59.65499
-5.553122,54.38239
-6.655231,55.20751
-5.577362,54.39392
23.71709,58.3521
-5.140619,50.40527
22.03471,58.91491
22.08007,58.87961
22.0617,58.89741
22.04458,58.89258
22.05235,58.91068
22.04065,58.96467
22.0202,58.93941
22.04192,58.94639
22.02392,58.95072
21.99705,58.96835
22.02796,58.88329
22.0275,58.88803
22.02731,58.8924
22.03567,58.89707
33.1,66.6
-0.881662,50.65755
24.49414,58.26121
23.51082,58.96203
23.14475,58.8308
23.49264,58.56635
23.99978,59.34827
24.4892,58.26255
23.99905,59.34807
24.49588,58.26086
25.7448,59.65528
23.50233,58.95812
23.49345,58.56812
23.10601,59.02735
23.498,58.57371
23.99926,59.34813
24.49146,58.26181
23.99866,59.34792
27.83474,59.4009
24.27124,58.28282
25.74427,59.65515
23.49003,58.95958
24.26907,58.28302
25.74342,59.6546
23.42575,58.94376
25.74394,59.65498
