Longitude,Latitude
4.303152,52.129147
4.303057,52.129101
4.303518,52.129337
4.2,52.05
4.3,52.1
4.2,52.05
4.6,52.65
4.3,52.1
4.2,52.05
4.378241,52.190384
4.329727,52.149149
4.333429,52.151795
4.335134,52.153572
4.313859,52.136414
4.313344,52.136256
4.34334,52.136803
4.3,52.1
5.8,53.45
3.95,51.5
-5.791676,54.846548
5.77084,59.013452
-8.312594,51.743805
9.260193,58.718084
4.287945,52.120287
4.55,52.45
4.2,52.05
4.05,51.95
4.55,52.45
4.1,51.95
4.25,52.1
4.55,52.45
4.35,52.2
4.55,52.45
4.55,52.45
4.55,52.45
4.2,52.05
4.35,52.15
4.1,51.95
4.1,51.95
4.1,51.95
4.35,52.15
4.55,52.45
4.35,52.15
11.59035,57.93206
-4.557095,50.837137
4.35,52.2
10.714943,59.282665
9.73913,63.646168
-3.59146,48.799955
3.7,51.4
4.15,51.5
4.05,51.45
3.9,51.6
3.8,51.7
11.52945,58.29756
11.55912,58.32168
9.260193,58.718084
3.964986,51.94952
4.6,52.6
11.43468,58.26797
11.08316,58.87417
11.04319,58.8373
3.9,51.6
5.05,53.3
9.260193,58.718084
9.260193,58.718084
6.284461,62.487029
9.25059,58.719876
4.6,52.55
9.223497,58.709664
3.65,51.55
14.71497,67.261243
6.459183,62.561942
6.225981,62.497867
7.328501,62.60596
6.240003,62.464911
-3.245374,50.67497
4.05,51.5
3.913579,51.628596
4.169875,51.516983
-8.192445,43.465963
-5.452665,50.113376
6.100549,58.922987
4.6,52.55
4.1,51.95
5,53.3
4.6,52.65
-1.697173,46.44457
5.780991,59.021036
7.94457,63.15135
3.928223,51.542864
-1.80483,48.88825
3.93016,51.540858
11.09418,58.54892
11.243,58.39542
11.08278,58.54339
4.15,51.5
4.05,51.6
4.888831,60.750869
11.78615,58.32873
4.55,52.45
4.4,52.2
5.8,53.45
-5.059,50.16082
-5.059,50.16082
-8.204056,43.476889
4.1,51.5
4.172778,51.515662
5.88085,59.23365
-10.05478,54.14722
-10.05115,54.12443
-10.02832,54.16585
-9.66603,53.28717
-10.02549,54.17797
3.912758,51.628051
3.912758,51.628051
3.912758,51.628051
3.994743,51.710875
5.3185,60.3985
5.77084,59.013452
5.764516,59.016005
4.15,51.5
-9.295129,51.50066
-9.296047,51.49928
4.171527,51.515725
4.45,52.3
-10.018106,53.473745
-10.018106,53.473745
4.25,52.1
4.35,52.15
10.656715,59.428696
4.6,52.6
4.7,52.85
4.7,52.85
4.7,52.85
8.9063,63.7561
8.00213,63.47967
0.834419,51.73117
3.9,51.6
4.15,51.5
4.170299,51.516835
4.05,51.45
5.52837,59.274119
2.7,51.189999
2.7,51.189999
3.906498,51.627715
3.85,51.75
2.992499,51.5675
2.805499,51.430501
5.741268,58.98908
6.283823,62.473701
3.9,51.6
2.745999,51.247001
2.945499,51.270501
2.730999,51.247501
2.730999,51.247501
2.915,51.275
2.625999,51.158001
2.625999,51.158001
2.7055,51.183501
-10.01673,53.4741
-9.636728,53.34742
3.902206,51.627182
9.216236,54.604107
6.289339,62.472925
4.170685,51.516007
4.15,51.5
4.45,52.3
6.28995,62.473398
2.701,51.186
4.3653,48.31355
4.37117,48.32195
4.37117,48.32195
3.13018,47.33117
-2.84348,47.40835
4.38765,48.32039
4.38765,48.32039
3.13018,47.33117
2.747499,51.2475
2.731999,51.247501
2.747499,51.2475
2.747499,51.2475
2.731999,51.247501
30.204157,45.254473
11.463524,58.251285
30.204157,45.254473
30.204157,45.254473
30.204157,45.254473
30.204157,45.254473
2.70178,51.1851
-5.126369,50.096457
-5.027359,50.16451
-5.032146,50.16801
30.204157,45.254473
3.83,51.67
2.70127,51.18512
2.7011,51.185
3.039801,51.538917
30.204157,45.254473
30.204157,45.254473
30.204157,45.254473
25.16179,48.2555
-1.63084,49.05479
-3.91735,48.67812
5.496839,59.762262
2.665999,51.28
2.671999,51.3035
2.689,51.319
2.734999,51.249
2.751499,51.249
2.734999,51.249
2.7,51.185
2.702,51.183501
2.702,51.183501
-4.37117,48.32195
-3.88413,47.79177
-4.37117,48.32195
-4.89252,48.2588
-2.93448,47.5258
-4.42375,48.32068
-4.45517,48.3332
-4.46015,48.3371
-4.37117,48.32195
-4.37117,48.32195
-3.13253,47.33133
-4.37117,48.32195
-4.45517,48.3332
-3.05987,47.48338
10.449132,59.173427
11.16667,58.7333299991638
-1.65689,48.64193
-1.65689,48.64193
1.6771,41.1994
10.557333,63.435167
1.6771,41.1994
3.85,51.7
-5.126369,50.096457
5.8,53.45
4.173431,51.515206
4.05,51.6
-4.37117,48.32195
-2.5546,47.47479
-4.37117,48.32195
-4.37117,48.32195
-4.58078,48.29685
-4.42375,48.32068
-3.13253,47.33133
-4.37117,48.32195
-4.37117,48.32195
-4.37117,48.32195
2.728999,51.2465
2.744999,51.246
2.7065,51.184001
-3.88413,47.79177
-4.37135,48.33093
-1.82815,48.88118
3.9,51.6
11.90508,57.5493499991464
11.90508,57.54935
-1.65777,48.64183
-1.83717,48.62268
-1.83717,48.62268
-5.912223,56.75837
3.95,51.7
8.297338,54.744888
0.885319,51.77625
-5.638792,54.49573
2.872499,51.227
2.872499,51.227
2.729999,51.247
2.729999,51.247
2.744999,51.2465
-5.126369,50.096457
2.943499,51.270001
2.706499,51.184001
-5.547066,50.10338
7.695607,63.127176
-4.276262,51.021525
-4.45517,48.3332
-4.37117,48.32195
-3.60233,48.70912
-4.38765,48.32039
-4.89528,48.2575
-4.37117,48.32195
-3.6079,48.70697
-4.45517,48.3332
-4.38765,48.32039
-4.37117,48.32195
-4.37117,48.32195
0.22,39.16
2.731999,51.248001
2.742499,51.245
3.060999,51.472
2.731999,51.248001
3.060999,51.472
2.742499,51.245
3.035999,51.452
3.035999,51.452
2.742499,51.245
2.7075,51.1845
2.805999,51.430501
2.7075,51.1845
2.7075,51.1845
-6.24,36.37
-6.24,36.37
-6.305635,49.966422
-1.41409,50.728397
-0.941927,50.806905
1.6763,41.199
6.61175,53.754433
1.6763,41.199
8,54.3207
6.22264,62.499182
2.805999,51.429501
3.95,51.7
2.606,51.3105
2.746499,51.247
2.746499,51.247
2.7055,51.183501
2.7055,51.183501
-5.126369,50.096457
7.89055,54.142317
4.55,52.45
2.706849,51.183951
2.746999,51.24695
2.746999,51.24695
2.746999,51.24695
0.415304,50.81368
8.72444,42.57972
8.72444,42.57972
8.72444,42.57972
8.72444,42.57972
8.72444,42.57972
8.72444,42.57972
-3.00574,48.79978
6.3868,43.1023
-1.10333,44.6775
-1.05833,49.39583
-1.05833,49.39583
-3.32937,47.70352
8.72611,42.57389
8.72611,42.57389
8.72611,42.57389
8.72611,42.57389
8.72611,42.57389
8.72611,42.57389
-3.222392,53.362354
-5.043762,50.15706
1.845,50.97
1.845,50.97
1.845,50.97
-5.026352,50.162531
18.560272,70.034436
3.062999,51.471
3.062999,51.471
2.730999,51.247
2.744499,51.2465
2.730999,51.247
3.262,51.372
2.896499,51.5085
2.950999,51.567501
2.547885,51.32618
2.594635,51.340585
2.806499,51.430501
-0.147856,54.09854
-1.614808,55.63998
-5.031936,50.206464
-6.24,36.37
-6.24,36.37
3.9,51.6
1.01218,45.43244
1.07557,45.47067
-5.061524,50.15188
-1.57279,49.66929
-3.61494,48.68426
2.704967,51.183526
2.702,51.185
2.701,51.185
2.701,51.185
2.947813,51.271434
2.745729,51.246584
3.054733,51.309784
-3.99835,48.73556
-1.26604,49.56239
-1.92954,48.84223
-1.10333,44.6775
5.188011,61.604559
-1.92399,49.44237
-0.07183,49.3239
-1.89258,49.63266
-1.74807,49.30439
-1.225,44.65833
-1.225,44.65833
4.958413,60.461215
1.54518,50.92009
2.952949,51.273501
2.742799,51.245351
2.742799,51.245351
3.058548,51.469951
2.729699,51.2468
3.058548,51.469951
2.92,51.27
2.764549,51.6672
-1.12695,49.3574
-1.12695,49.3574
2.7085,51.183851
8.72611,42.57389
8.72611,42.57389
8.72611,42.57389
8.72611,42.57389
8.72611,42.57389
8.72611,42.57389
8.72611,42.57389
1.85292,50.9687
3.95,51.5
3.841567,51.739664
-2.95756,48.76409
7.25,53.833
6.6,53.766998
6.616,53.768002
6.616,53.768002
-6.23,36.58
6.139384,60.25645
3.05733,42.54055
3.2611,51.394301
3.263,51.381101
2.930149,51.26515
2.921349,51.281051
2.731199,51.24745
2.731199,51.24745
3.072699,51.47825
3.069295,51.478301
3.069295,51.478301
3.072699,51.47825
2.849895,51.309102
2.707748,51.185203
2.707748,51.185203
2.70665,51.184051
2.707748,51.185203
2.629096,51.275351
3.055649,51.327301
3.055649,51.327301
3.053597,51.328602
-2.5023,48.63546
-2.62903,48.56145
-2.48671,48.62935
-2.60327,48.57056
-4.35941,48.29659
-4.48333,48.33333
-5.032798,50.175856
-5.032855,50.176754
-4.37117,48.32195
-4.37117,48.32195
-4.89528,48.2575
-4.37117,48.32195
-2.66823,48.56608
-3.88413,47.79177
1.51449,50.7627
1.51449,50.7627
-6.192327,54.07155
-6.192327,54.07155
-2.93791,48.76626
-2.91839,48.72008
-2.92636,48.73849
3.05203,42.54738
2.08,51.02334
-4.417159,52.829333
-4.417002,52.829453
-3.91815,47.86463
-3.86195,47.80575
-3.88012,47.8069
-3.40594,47.63603
-3.9565,47.8783
-3.96199,47.86776
-3.97819,47.86605
-3.92398,47.7756
-3.96734,47.8751
-3.95682,47.87047
-3.97656,47.8771
-3.87404,47.79655
-3.96142,47.87476
-4.747689,56.20022
-4.896115,55.92368
-4.893514,55.94699
11.02818,58.50309
3.8,51.65
3.062149,51.4714
3.062149,51.4714
3.365,51.436
2.806799,51.430601
2.746249,51.24705
2.746249,51.24705
2.849199,51.30785
2.849244,51.308702
2.707299,51.184101
2.849244,51.308702
2.707299,51.184101
2.701,51.185
2.701,51.185
2.701,51.185
2.702,51.185
2.722,51.247
2.744,51.251
2.934,51.283
-2.926513,59.311069
-2.926513,59.311069
7.88485,54.14605
3.029846,51.459551
2.913096,51.278152
3.059845,51.472051
2.729746,51.248502
2.922199,51.26255
3.059845,51.472051
2.735046,51.240652
2.855998,51.312451
-4.35941,48.29659
-3.13542,47.33152
-3.88413,47.79177
-2.93448,47.5258
-4.45517,48.3332
-4.37117,48.32195
-2.93448,47.5258
-2.66823,48.56608
2.689951,51.32275
2.689951,51.32275
2.689951,51.32275
2.706649,51.184903
2.706649,51.184903
2.706649,51.184903
2.7,51.185
2.013766,52.510378
-5.169853,58.244957
-5.169853,58.244957
-5.169853,58.244957
-5.173014,58.242182
-5.173014,58.242182
-5.173014,58.242182
4.173491,51.517137
11.32579,58.07456
11.06848,58.36071
2.697,51.185
2.697,51.185
2.696,51.185
2.696,51.185
1.414777,51.1838
3.8,51.65
3.261549,51.380953
3.061046,51.472601
3.061046,51.472601
2.912146,51.278052
2.732246,51.249302
2.734946,51.240702
2.704398,51.184803
2.704398,51.184803
2.627445,51.274351
2.864949,51.31495
2.704398,51.184803
2.864949,51.31495
2.704398,51.184803
2.852045,51.310302
2.852045,51.310302
2.864949,51.31495
2.7,51.189999
2.73128,51.2442
2.744,51.2514
2.79787,51.193218
2.841578,51.216633
2.791082,51.191917
2.860585,51.223465
2.787375,51.190968
2.864098,51.225616
2.571633,51.110481
2.856502,51.222084
2.561133,51.110199
2.56765,51.112381
6.429,53.43
2.733596,51.240102
2.729146,51.248252
2.733596,51.240102
2.729146,51.248252
3.249596,51.584102
2.706798,51.185203
2.706798,51.185203
2.706798,51.185203
3.365,51.435
-2.93448,47.5258
-2.93448,47.5258
-2.93448,47.5258
-2.93448,47.5258
-2.93448,47.5258
-2.93448,47.5258
2.091191,54.62876
-4.45517,48.3332
-3.06668,48.82114
-3.0203,48.82348
3.026596,51.457601
2.732496,51.249502
3.059995,51.472301
2.732496,51.249502
2.908847,51.276902
3.059995,51.472301
2.935096,51.266352
2.733846,51.240002
3.119846,51.444102
2.733846,51.240002
2.935096,51.266352
2.707948,51.185003
2.707948,51.185003
2.707948,51.185003
2.789195,51.579502
2.628195,51.274251
2.628195,51.274251
2.848497,51.308251
3.058,51.471
2.7,51.189999
2.836,51.215
2.842,51.217
-2.95756,48.76409
-1.09364,46.29139
-1.22335,46.28665
-1.22335,46.28665
-1.22335,46.28665
-2.95,48.76667
3.057647,51.327302
2.841578,51.216633
2.835805,51.214733
2.561,51.11
2.568,51.112
2.565,51.111
2.558,51.109
-4.35941,48.29659
2.56765,51.112383
2.5646,51.111
2.558317,51.10895
2.561133,51.1102
-1.76643,43.36452
-4.32137,48.32813
-1.7732,43.36885
-3.06668,48.82114
-2.0977,48.68617
-4.68019,48.63769
4.6,52.6
-5.808669,54.67312
-5.808669,54.67312
2.908146,51.276702
2.728345,51.248002
2.908146,51.276702
2.728345,51.248002
2.732545,51.240052
3.263498,51.394753
3.258948,51.380953
2.706498,51.184853
2.706498,51.184853
2.706498,51.184853
-4.35941,48.29659
-4.35941,48.29659
-4.35941,48.29659
-4.35941,48.29659
-4.38765,48.32039
-4.37117,48.32195
-4.37117,48.32195
-2.51648,47.49484
-3.16325,47.40112
-4.00714,47.6856
-4.00714,47.6856
-2.58245,47.51677
12.12449,56.56628
12.07282,56.6992
11.70711,57.56145
2.960036,60.712689
12.12,56.57
1.263032,51.464072
10.99097,58.92153
11.07254,58.95975
-0.534217,50.773717
6.618833,53.753117
10.99,58.919998
2.935163,51.266644
3.058843,51.471485
2.935163,51.266644
3.247207,51.58296
3.247207,51.58296
-8.952437,53.180258
-8.951667,53.18
2.732751,51.239485
2.726476,51.247177
2.707011,51.18472
2.707011,51.18472
2.69,51.34
-5.216401,56.446064
-5.216401,56.446064
-5.216401,56.446064
-1.2146,45.96088
-1.30433,46.21231
-6.23,36.58
-6.23,36.58
3.133945,51.433402
2.658795,51.293101
2.731748,51.239101
2.731748,51.239101
2.729696,51.247752
2.729696,51.247752
2.731748,51.239101
2.729696,51.247752
2.731748,51.239101
2.704998,51.184953
2.704998,51.184953
3.249495,51.584452
2.704998,51.184953
2.704998,51.184953
2.74,51.259998
-3.06668,48.82114
-3.86895,48.68734
-4.92307,48.44091
-3.06668,48.82114
11.35791,58.23359
11.39285,58.22223
11.39534,58.26343
-2.0977,48.68617
11.13657,58.8323
11.05083,58.8587
11.0472,58.84938
11.00132,58.88748
-6.162703,57.417905
-6.162703,57.417905
-6.162703,57.417905
-6.167379,57.415053
-6.167379,57.415053
-6.167379,57.415053
-6.167379,57.415053
-6.167379,57.415053
-6.162703,57.417905
-6.162703,57.417905
11.09608,58.88878
11.11067,58.87702
11.00452,58.84412
-1.22119,44.57347
-4.452607,52.84123
8.042517,54.501067
-0.64,38.01
11.13073,58.85083
3.063948,51.474801
-0.944339,50.825812
11.03333,58.91667
-0.09,38.52
2.935646,51.266702
2.935646,51.266702
2.935646,51.266702
2.733995,51.240252
2.851895,51.310202
2.705549,51.185253
2.851895,51.310202
2.788796,51.579151
2.705549,51.185253
2.705549,51.185253
2.851895,51.310202
10.98917,58.87808
2.723498,51.245501
2.735995,51.241502
2.850995,51.311002
2.706499,51.185502
4.4101,52.2254
-4.454914,52.83976
11.7705,57.13134
11.89583,56.91066
11.94334,56.96817
11.97817,56.98983
-2.92377,47.56508
-2.92377,47.56508
2.07536,51.03726
-6.888281,58.20415
1.30378,51.668909
12.21751,56.87567
