Longitude,Latitude
18.002346,69.636786
14.614422,67.227049
-5.790876,57.262875
-4.101466,50.315086
-6.146822,57.586589
-5.452665,50.113376
-5.452665,50.113376
-9.073444,53.156601
-6.484956,57.381642
5.25633,59.423733
-9.073444,53.156601
-7.442444,52.127496
-3.887614,47.827283
5.243727,59.434593
14.71497,67.261243
-4.281828,51.018718
1.351799,52.91842
18.962834,69.650298
-5.57857,54.39463
-5.114266,48.44177
-5.114266,48.44177
-5.114266,48.44177
-5.114266,48.44177
-5.452665,50.113376
-2.303514,47.018937
-5.119668,58.47527
-5.132531,58.47289
-5.1256,58.41824
18.564539,70.0322
1.142652,52.95108
1.052981,52.96744
8.207386,53.573441
1.34403,52.92343
-3.957248,58.57495
5.231186,60.337145
11.12336,58.87941
5.744627,58.976725
21.18,69.89
1.65,51.27
-4.466806,53.04788
-1.44,50.900002
11.0566,58.83276
7.826437,63.035244
-9.517904,51.437018
8.299527,54.753895
6.225981,62.497867
-0.389951,54.270143
-5.541614,54.48673
8.613945,58.328335
-2.769921,56.338467
-5.762553,57.03457
1.144659,52.95063
1.144659,52.95063
11.10831,58.87557
10.03437,63.49321
10.660532,59.538837
3.6,51.8
-4.455904,50.343308
3.17945,51.33865
1.048901,52.9682
-3.3382,48.80702
-5.828603,54.64634
12.10087,57.22142
12.0957,57.22408
-0.585205,54.487404
1.219646,52.94624
-5.76567,54.72241
-5.76567,54.72241
-3.53844,48.81427
-3.53844,48.81427
2.804468,51.429709
-2.269919,57.68273
-1.29314,49.73268
-0.385487,54.266488
-5.741318,54.20091
18.564009,70.03201
-2.0801,55.8753
0.415617,53.20369
1.765465,52.48072
-0.270882,54.216361
-5.437503,54.604502
1.38917,50.56333
1.14051,50.22539
5.591339,58.981998
-5.671682,54.789592
12.90467,55.7603
12.90467,55.7603
17.181061,68.83596
-5.315807,54.83989
10.518697,59.295117
-5.011913,54.387
-5.016928,54.43871
1.617269,52.079737
12.90467,55.7603
12.90467,55.7603
12.90467,55.7603
1.420441,51.393017
1.417572,51.393101
8.585898,53.548539
8.578375,53.557513
-5.76567,54.72241
0.59943,51.416817
0.59943,51.416817
11.091904,64.900478
12.90467,55.7603
8.50083,53.48861
-8.490644,57.8638
-2.714323,57.6932
1.170296,51.476512
1.338821,51.791144
-5.678337,54.806997
12.90563,55.7468
-5.786147,54.84
-5.56416,54.696333
12.64768,56.2578
8.74806,54.12028
-2.123915,55.900107
11.1,58.8733
11.1,58.869999
12.64047,56.259
12.66932,56.24885
12.66832,56.2495
-3.919,46.871
-4.273173,52.73227
30.86583,70.43861
10.70944,56.53194
-2.567,47.533
8.1333,53.5167
8.1333,53.5167
10.518697,59.295117
8.53333,54.21667
-5.786147,54.84
-5.626833,54.721665
-5.581662,54.758331
-0.495812,54.441386
-4.083704,50.317298
-3.680012,50.222202
-3.680012,50.222202
-4.083704,50.317298
-3.686923,50.219403
-4.059275,53.296003
-4.043297,53.307066
12.10747,57.3064
8.883581,58.454736
-1.081022,50.6615
-2.9083,60.335
2.9883,56.6617
2.2633,57.1783
1.505,57.6933
0.7067,58.2417
-0.0783,58.745
-0.8067,59.2533
-1.98,59.9967
1.6667,52.925
1.698833,52.893
4.44,54.0783
2.5233,51.5783
3.2383,51.945
7.92,54.77
0.1667,56.665
