Longitude,Latitude
3.213443,42.346597
3.805905,43.433326
3.805025,43.433264
7.732639,63.117597
-2.287664,35.099883
-3.462999,47.637687
14.394086,40.67587
-8.872768,40.152859
5.347453,43.229333
-9.10658,38.442087
-9.385919,39.370556
-9.386061,39.370241
-2.287664,35.099883
-2.287664,35.099883
-9.422625,39.01385
-8.761217,41.225504
-2.287664,35.099883
-8.774394,41.334554
-4.448697,48.325943
3.225585,42.047235
6.902158,62.502592
-8.691148,41.173944
-2.287664,35.099883
7.735632,63.111266
-4.911878,55.74583
-8.897761,42.112385
-9.261523,38.662908
-9.060839,38.437464
-9.261757,38.662915
-9.261607,38.662915
7.733829,63.112027
-9.36116,38.688269
-9.66961,53.315952
-5.138192,48.453878
-4.102024,50.314778
-8.786525,41.280109
18.057461,42.650519
-8.808807,41.608979
6.0986,59.198879
14.451085,44.531461
-8.690676,41.16808
14.451276,44.531595
-8.741285,41.3097
-8.189958,37.089958
5.218533,43.32829
14.451274,44.531756
-2.883559,47.331114
17.313491,40.362312
18.458596,-34.2012
-4.379168,47.790531
16.688992,43.178282
18.505784,-34.238599
16.689156,43.178396
18.4836,-34.2753
-5.769077,43.57309
18.463291,-34.208246
18.458596,-34.2012
-5.097574,48.448157
18.505784,-34.238599
18.475794,-34.225156
18.072637,42.664153
-2.346722,36.838869
3.163628,42.461248
16.688781,43.177864
22.155449,-34.180045
22.155449,-34.180045
16.688992,43.178282
16.776593,43.158169
16.693022,43.189274
-13.663737,28.919347
-9.340355,38.703987
18.466903,-34.26691
18.939318,-34.359251
18.457463,-34.20129
18.457425,-34.201369
32.991059,34.558316
3.984582,43.504438
13.916504,44.767978
-3.194064,47.621024
-8.657786,41.06319
3.787911,43.426159
-4.101466,50.315086
8.291504,62.925731
-8.678036,41.151302
3.785883,43.428592
-9.417617,38.966493
5.251327,59.41584
11.57044,58.32968
11.58837,58.34595
11.57044,58.32968
11.43451,58.26791
-8.330598,51.734019
3.797551,43.426219
5.981271,60.218893
17.311108,40.360843
3.808443,43.439863
-5.642447,43.548653
-5.267587,50.038156
8.186051,62.911445
-8.876975,40.163002
7.674918,63.0776
-9.117398,53.156238
-9.120387,53.15621
5.746738,58.923965
3.809536,43.442579
-9.419617,38.97303
11.22236,58.35028
-13.790482,28.842264
-6.638194,57.500211
-6.634548,57.504393
-8.736358,41.222947
-5.944763,57.150232
26.893124,-33.607846
-8.416734,43.372416
11.91975,57.54929
11.53001,58.29827
-5.087996,50.105933
-4.221109,50.325585
-8.839549,41.691071
-8.839894,41.692284
11.56973,58.32966
23.760897,40.230244
6.018883,58.98976
-4.173292,50.342865
-4.174365,50.342315
-1.801153,46.53598
-4.120636,50.32883
-6.343433,49.948761
18.465,-34.1963
3.825412,43.441507
-9.36059,38.688291
-9.36059,38.688291
3.182723,42.103873
-18.008109,27.633442
11.91975,57.54929
11.21181,58.34411
11.19079,58.35731
11.20236,58.35463
11.20757,58.36404
11.18657,58.35703
11.4069,58.2164
11.18894,58.3566
11.21576,58.35126
11.21576,58.35126
11.18657,58.35703
11.22008,58.34951
11.4439,58.2544
11.21576,58.35126
11.21576,58.35126
11.18477,58.36606
11.18657,58.35703
11.19507,58.35789
11.21576,58.35126
11.21576,58.35126
11.21576,58.35126
11.18657,58.35703
-9.36059,38.688291
-17.981207,27.637327
-9.056151,42.776247
-5.574855,54.39127
-9.104591,54.212226
-8.954516,54.292071
18.427,-34.187
18.427,-34.187
18.427,-34.187
18.4835,-34.253167
-9.336017,38.679595
-8.726627,41.240034
3.176268,42.4385
-9.336017,38.679595
-8.803114,37.739027
-8.8523,42.12272
-8.851139,41.694361
-8.851417,41.694262
11.18523,58.36747
11.59035,57.93206
11.17824,58.36852
11.2017,58.35374
11.17824,58.36852
11.59035,57.93206
11.76848,57.53571
11.17824,58.36852
11.76848,57.53571
11.75786,57.54986
11.79918,57.55981
11.76848,57.53571
11.59035,57.93206
11.79918,57.55981
11.18888,58.35745
11.75786,57.54986
11.43468,58.26797
11.21576,58.35126
11.21008,58.37503
11.55913,58.32191
11.2017,58.35374
11.74991,57.56572
-5.60733,56.026451
-13.844164,28.856837
16.242075,43.0675
8.495296,63.258903
-8.729913,41.264113
10.877452,42.36846
-9.336263,39.269588
-9.101491,38.444255
-8.67807,41.150935
-8.69057,41.168396
-8.690581,41.168331
-8.690663,41.168276
10.877323,42.368025
11.2075,58.36088
11.2075,58.36088
11.18888,58.35745
11.18523,58.36747
11.17824,58.36852
11.18523,58.36747
11.18523,58.36747
11.18888,58.35745
11.20791,58.3495
11.55926,58.3215
11.63435,57.62125
11.43468,58.26797
11.18888,58.35745
11.18888,58.35745
11.61567,58.37026
11.61567,58.37026
-5.080828,50.416096
-5.079599,50.415863
-5.081559,50.417196
11.56971,58.32978
11.56971,58.32978
-8.898896,51.552149
6.655007,58.286842
8.217384,63.321733
6.098707,59.19904
-3.122503,47.580217
5.3481,43.228849
-8.981645,38.478319
-1.403962,46.047897
5.346949,43.228259
11.14517,58.874972
-8.744358,42.367797
-9.385121,39.370446
-8.73803,41.301814
23.728568,40.348727
-8.829488,42.125325
3.226719,42.043761
5.347307,43.228968
14.676598,45.077984
14.676598,45.077984
15.131959,68.613057
18.846282,42.271955
4.992313,60.649151
-8.836679,37.366794
-25.578492,37.729054
3.228979,41.963889
11.18523,58.36747
11.1875,58.56039
11.18523,58.36747
11.02333,58.53753
11.60096,58.36216
11.04908,58.89386
11.60096,58.36216
11.6027,58.36283
11.09721,58.89187
11.18523,58.36747
11.60096,58.36216
11.29108,58.29953
11.18888,58.35745
11.55762,58.32148
11.55926,58.3215
11.18888,58.35745
11.21008,58.37503
11.60096,58.36216
11.55762,58.32148
14.668559,45.157112
14.678808,45.077151
14.669921,45.156198
14.67634,45.078332
14.676598,45.077984
-2.791287,47.577606
14.668838,45.152083
-8.862732,37.29501
-3.90098,47.83427
-4.334665,48.093712
-9.66498,52.682283
11.19079,58.35731
11.19036,58.56167
10.714943,59.282665
-9.363132,39.300542
3.256743,42.243024
-4.618742,36.537961
3.978126,43.513967
3.808814,43.427656
-8.709407,43.289711
-8.35486,43.344886
