Longitude,Latitude
9.613,63.86358
9.62225,63.87102
9.6221,63.87005
9.18325,63.64226
9.18275,63.636983
9.181083,63.640067
9.182967,63.63355
23.0709,70.35397
18.13333,69.41667
18.13333,69.43333
23.07405,70.35333
16.72893,68.93616
18.13333,69.43333
18.13333,69.43333
23.06238,70.35108
4.800001,61.566669
4.800001,61.566669
4.766671,61.566669
7.44117,62.96148
7.44573,62.96012
7.45397,62.95742
4.919401,60.669629
7.67942,63.03478
4.978381,60.243499
4.981621,60.245919
4.980281,60.246379
8.96283,63.4434
8.95855,63.44708
8.96127,63.44443
8.96445,63.42917
5.94833,59.21328
5.325851,62.006669
5.328451,62.014749
20.64207,69.99572
20.66867,69.98465
9.87392,63.9433
9.88902,63.9371
17.29947,69.41387
17.27922,69.42103
17.29465,69.41522
17.28537,69.41947
9.03118,63.60942
9.05897,63.6
9.06452,63.60845
17.92155,69.5012
5.140917,59.606049
5.158881,59.624169
5.142351,59.604566
5.137051,59.607399
5.134401,59.608166
22.74222,70.09077
5.140667,59.607883
4.756978,60.684316
4.757827,60.684136
4.816052,60.574852
4.827072,60.570873
4.823406,60.572241
4.818279,60.574302
7.74132,63.30358
7.76483,63.30235
7.76055,63.30335
7.7201,63.30808
7.74797,63.30335
17.91556,69.55891
17.91003,69.56583
17.91035,69.56351
4.941421,60.858069
8.67938,63.86402
8.68307,63.87535
8.682368,63.8674
8.67105,63.8616
19.59778,70.11172
19.5993,70.10795
8.67992,63.8765
8.67473,63.87383
19.58595,70.11032
19.57572,70.08795
8.68218,63.85343
4.897751,60.685599
5.149701,59.726369
4.906781,60.685679
17.98643,69.52052
6.03207,62.13468
16.23817,67.91048
8.44952,63.75463
16.21187,67.90953
7.85473,63.45855
12.54528,65.74665
8.45855,63.77105
22.9813,70.75923
12.59408,65.78385
8.4515,63.75602
22.97615,70.75348
22.98455,70.74782
4.961131,60.860119
16.23287,67.91683
8.47473,63.76641
19.657283,70.012867
16.2356,67.90757
8.47045,63.76928
8.44733,63.76612
19.67525,70.013267
8.48523,63.76738
22.97605,70.76092
7.8444,63.46278
15.5084,67.94382
14.29148,67.17145
7.84897,63.45728
5.166131,59.593179
15.496,67.94012
8.5545,63.71865
22.96778,70.7138
5.163321,59.595869
7.87853,63.45743
22.98557,70.76823
5.164501,59.594069
7.85647,63.46113
16.2399,67.91338
22.97505,70.70302
8.46088,63.77063
8.45125,63.76335
19.663333,70.010883
8.55075,63.71883
5.162881,59.600149
8.47367,63.76938
8.44683,63.76273
7.86942,63.4477
22.97753,70.71695
8.44772,63.77168
19.668383,70.009383
8.55958,63.71955
11.06978,65
13.18638,66.68035
11.06725,64.99738
11.06142,65
11.03103,65
11.05002,65
11.03755,65
11.05542,65
5.82387,59.11643
5.80862,59.11925
5.81513,59.1186
21.70308,70.2445
7.79365,63.41668
7.80055,63.423383
7.79565,63.420233
9.132385,63.620673
9.12618,63.61148
9.13222,63.61852
21.70358,70.24632
21.70037,70.24995
8.517733,63.7894
8.51655,63.782033
8.53858,63.78458
8.5203,63.78752
8.50707,63.77993
8.75268,63.82678
8.75875,63.82195
7.956,63.47308
8.73438,63.82383
7.94973,63.47322
8.73895,63.81987
11.16678,64.8016
7.95412,63.47523
11.15468,64.79857
7.94702,63.47748
5.84537,59.45802
12.78003,66.17765
12.77298,66.17652
12.77673,66.17687
12.62258,65.8077
12.64143,65.81737
3.268539,56.375051
3.264461,56.370568
3.467472,56.172183
3.339928,56.249429
3.465302,56.176504
3.396987,56.279212
3.408549,56.28054
3.38986,56.277159
3.397561,56.275302
3.348788,56.248483
3.216968,56.42092
3.395171,56.273791
3.408549,56.28054
3.397561,56.275302
3.831911,56.249334
3.264461,56.370568
3.268539,56.375051
3.455368,56.179623
3.215112,56.428119
3.459258,56.180229
3.391669,56.280271
3.212701,56.431897
3.397561,56.275302
3.212701,56.431897
2.901046,56.388538
3.260444,56.375068
2.748539,56.49933
3.396987,56.279212
3.456671,56.04123
3.086334,56.902724
3.391669,56.280271
3.470895,56.182045
2.85035,57.107258
3.467005,56.181439
3.348788,56.248483
3.400768,56.279325
3.439841,56.227639
3.260444,56.375068
3.348788,56.248483
3.459258,56.180229
3.377443,56.275688
3.086334,56.902724
3.38986,56.277159
3.212701,56.431897
3.086334,56.902724
3.465302,56.176504
3.38986,56.277159
3.260444,56.375068
3.395171,56.273791
3.212659,56.42435
