Longitude,Latitude
4.95,52.9
7.84323,63.4662
-5.488901,54.752046
3.026,51.471
3.044,51.47
3.009,51.446
2.794,51.487
2.74,51.243
2.729,51.245
2.917,51.278
3.032,51.342
3.032,51.342
4.85427,48.3868
3.058,51.472
3.059,51.472
-5.795667,54.83915
-5.795667,54.83915
-5.795667,54.83915
-5.795667,54.83915
-5.795667,54.83915
-7.224129,55.06666
-6.192327,54.07155
-6.192327,54.07155
-6.192327,54.07155
-5.747294,54.71626
-6.192327,54.07155
-6.192327,54.07155
-8.440604,54.998336
-9.506624,51.683896
2.823667,51.198667
2.812333,51.195833
2.309333,51.192
2.814667,51.194667
2.70178,51.1851
2.70143,51.184867
2.7011,51.185
2.7011,51.185
2.70127,51.18512
3.27,51.43
3.0325,51.342
2.70103,51.18503
3.0325,51.3422
3.0328,51.3423
2.70127,51.18512
3.15,51.450001
3.26,51.369999
2.7,51.185
2.7,51.185
3.058,51.472
3.058,51.471
2.614,51.313
2.611,51.312
-5.747294,54.71626
-5.747294,54.71626
-5.747294,54.71626
-5.747294,54.71626
-5.747294,54.71626
-5.747294,54.71626
-3.034342,59.09054
-2.985695,59.12395
-7.353537,57.06785
-7.281207,57.10012
-7.364198,57.04297
-7.281069,57.1002
-7.353647,57.06747
-7.269713,57.10105
-7.294096,57.1011
-7.294054,57.10115
-7.43445,57.06345
-1.414124,50.7257
-1.414135,50.7248
-1.414124,50.7257
-1.391399,50.73008
-1.125088,50.726588
-1.391399,50.73008
-1.414124,50.7257
-1.174559,50.733243
2.944667,51.264
2.957333,51.269
2.951333,51.2535
2.952333,51.2605
2.8815,51.223667
2.802333,51.1895
2.818167,51.195833
2.6109,51.310767
2.608517,51.312083
-3.610845,54.528087
-3.588499,54.46996
-0.98957,50.835205
2.956333,51.268
3.057,51.47
3.057,51.47
3.056,51.47
2.611,51.311
2.606,51.309
2.613,51.313
1.05872,49.93555
1.55,50.46667
-1.95634,46.60263
0.773675,51.467684
0.626466,51.411717
0.652371,51.412033
0.793257,51.458225
0.790546,51.460987
-5.819347,56.83358
-5.871533,56.76118
