Longitude,Latitude
22.610395,40.411219
16.269446,43.52371
-5.638029,43.533056
22.769249,40.568154
17.300952,40.469574
22.978629,40.544798
23.336355,39.208884
25.209164,36.993007
22.942713,40.589038
15.839892,43.70817
12.578637,45.478151
23.934486,39.941454
19.427952,41.322475
-6.160539,53.298388
22.595935,40.452921
19.408611,41.402222
19.430565,41.31998
-2.529253,47.386743
-2.537374,47.382386
-2.537164,47.383346
-2.53048,47.386268
-2.556317,47.377644
0.23147,49.946224
-8.729578,40.63915
-5.545062,54.36861
0.269498,50.750498
-1.761339,49.346733
25.42,37.43
-10.037171,54.191663
-10.063827,54.143665
-10.067507,54.143164
-10.036402,54.191516
-10.066738,54.143011
-10.063057,54.143512
-4.082498,50.316668
-4.178257,51.198312
-4.178337,51.200019
12.376989,45.41289
1.381693,51.28344
-0.043124,50.800233
-4.249288,51.04048
-4.37117,48.32195
3.63837,43.41664
3.58704,43.3758
3.63837,43.41664
26.25229,39.205584
-4.249288,51.04048
-4.115863,51.211149
-9.007207,53.150702
-9.006437,53.150439
-10.132016,51.760503
14.586639,45.014863
-4.319767,51.235616
-4.329467,51.229128
-4.25784,51.040315
-4.37117,48.32195
8.87176,41.6468
-2.021737,50.361155
-2.175038,50.378112
1.1289,45.57647
-2.01852,46.74539
10.597806,35.894417
10.597806,35.894417
10.597806,35.894417
10.599694,35.892944
10.601444,35.892806
10.601444,35.892806
3.603,60.237999
3.603,60.237999
-0.5,55.110001
-2.905,58.040001
1.206,56.095001
6.16501,43.00099
1.381624,51.28377
9.11275,39.209444
-1.7904,48.6688
-1.94988,48.71595
-1.98464,49.53538
-2.87733,48.83243
-2.79983,48.83551
-1.80215,49.73302
-3.7389,48.99661
-3.61675,49.00261
-3.34877,48.86279
-2.48452,46.74233
-2.45511,46.69255
-10.006591,53.554062
-10.061489,53.443479
-10.006542,53.553164
-1.2146,45.96088
-3.33512,47.70265
7.903651,43.835817
-3.42034,47.53904
-6.351329,49.958996
-6.29083,49.976002
-6.281594,49.928105
-3.53844,48.81427
3.58704,43.3758
3.58704,43.3758
3.58704,43.3758
-7.222907,57.124566
-7.222907,57.124566
22.882236,40.425993
-5.904635,57.242291
0.49,40.48
10.31931,36.823325
10.31931,36.823325
-3.95782,47.82383
-6.081618,57.333338
-6.081618,57.333338
-4.46015,48.3371
1.298877,51.11181
22.886345,40.421109
-1.75993,43.34423
-1.4994,43.52688
-1.4994,43.52688
13.662176,45.547993
-0.01412,49.43728
-0.00486,49.453
-4.38765,48.32039
-4.37117,48.32195
-4.37117,48.32195
-4.37117,48.32195
-0.668461,50.590966
-1.747084,50.45711
-1.077922,50.45823
-0.535422,50.507529
-9.127436,53.157429
-9.109937,53.139098
-8.952437,53.180258
-9.07077,53.156929
-9.126667,53.157167
-9.07,53.156667
-9.109167,53.138833
-8.951667,53.18
1.380605,51.281735
1.379957,51.285788
5.9472,43.0965
1.378525,51.285829
-4.418947,53.169212
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
-4.332126,52.892218
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
10.333333,43.471667
0.32974,49.89048
0.28634,50.21981
-1.05917,45.54472
-4.416543,53.153076
-4.691078,52.93567
-4.623579,52.96521
-5.2734,52.36286
-5.750892,52.02778
-4.56122,53.0916
-4.537001,52.938369
-7.145466,57.62218
26.250093,39.204974
26.250093,39.204974
26.250093,39.204974
26.251612,39.20702
-13.7156,29.0812
19.473392,40.363426
-8.903539,40.177513
-4.416543,53.153076
-8.825918,41.642586
-8.188497,37.089327
-8.298182,37.072434
-8.826646,37.382567
-8.793436,37.820059
-8.864691,37.289191
-8.681465,37.08385
-8.802884,37.912645
-8.921792,37.02109
-8.873573,41.784753
-8.853935,41.698016
-8.729791,41.274929
-8.658869,41.068286
-8.729113,41.264639
-9.386206,39.132919
-9.473426,38.741236
-9.485069,38.805798
