Longitude,Latitude
4.7,52.65
5.9,50.75
50.7584,61.8189
50.7584,61.8189
50.7527,61.8158
50.7563,61.8163
50.7527,61.8158
50.3599,61.9739
50.3657,61.9696
50.3657,61.9696
50.3657,61.9696
50.3599,61.9739
12.850227,48.818848
4.6,52.7
14.11948,55.72777
13.98557,55.71426
13.98557,55.71426
13.98557,55.71426
10.3986,63.4392
4.6,52.5
50.7584,61.8189
50.7527,61.8158
50.7527,61.8158
50.7584,61.8189
50.3657,61.9696
50.9638,61.7128
50.5997,62.0007
50.9605,61.7091
50.1954,61.985
50.3657,61.9696
50.3599,61.9739
50.1893,61.9837
50.5997,62.0007
50.1893,61.9837
50.1954,61.985
4.4,52.2
4.8,52.85
4.7,52.75
26.74127,54.90545
50.7584,61.8189
50.7584,61.8189
50.7527,61.8158
50.7527,61.8158
50.7527,61.8158
50.3657,61.9696
50.3599,61.9739
50.5997,62.0007
50.3599,61.9739
50.7772,61.8158
50.2754,61.9825
50.3657,61.9696
50.5997,62.0007
50.2754,61.9825
50.3657,61.9696
4.8,52.5
7.0343,62.841
10.9461,63.5656
11.6539,63.7303
11.6539,63.7308
7.0508,62.776
10.6111,60.2944
10.9414,63.5644
7.4132,62.9504
4.85,53.05
6.7169,61.7169
7.0927,61.8947
14.7691,68.368
17.6025,68.3719
13.6549,68.1885
13.078,67.94
16.081,68.5555
14.7691,68.368
15.684,68.8174
17.6026,68.3718
4.4,52.2
4.4,52.2
4.9,52.35
4.9,52.85
10.7354,59.6939
7.565,62.4978
7.5649,62.4979
9.5322,63.5911
9.5403,63.5923
4.75,52.4
4.85,53.1
-3.191483,58.845033
-3.210719,58.99527
-3.210719,58.99527
6.6094,61.8464
7.1619,61.2665
6.9415,60.5668
7.0921,60.4791
6.609,61.8465
6.609,61.8465
4.8,52.45
9.8577,58.9927
9.8577,58.9927
10.0164,59.0422
6.568,61.0578
6.3153,60.1294
-3.210719,58.99527
-3.210719,58.99527
25.892,71.0091
16.5625,68.6307
1.694107,52.355297
1.704024,52.368478
1.704024,52.368478
1.704024,52.368478
14.276,67.0533
13.9227,68.2789
3.02395,42.47816
-3.210559,58.995182
9.858,58.993
9.858,58.993
7.369,61.386
-3.210559,58.995182
7.3691,61.3864
7.3691,61.3864
4.85,53.1
5.065992,52.262781
5.071378,52.273698
5.765426,51.041179
6.374229,52.166153
5.295028,51.737555
6.703022,53.114946
6.703022,53.114946
6.796191,53.453578
6.873937,53.420652
5.231227,52.415725
5.231227,52.415725
6.211415,51.475801
6.211415,51.475801
5.959347,51.714342
5.959347,51.714342
5.73679,50.763962
5.416313,52.264409
5.416313,52.264409
-9.535103,52.054732
-6.371097,53.358813
-94.2,58.7
4.8,53
6.907126,52.193408
6.907126,52.193408
7.020909,52.283831
7.020909,52.283831
3.842807,51.477126
4.001028,51.500148
3.987194,51.481168
4.014197,51.50096
4.028222,51.476043
4.167006,51.43751
3.738348,51.533837
4.763083,52.050627
4.781675,51.505996
4.769766,51.417663
4.870661,51.407097
4.848123,51.514232
4.202022,51.856379
4.202022,51.856379
4.219708,51.867397
4.219708,51.867397
4.287057,51.840487
4.287057,51.840487
4.280797,51.838972
4.280797,51.838972
4.274401,51.833518
4.274401,51.833518
6.524706,52.412682
6.524706,52.412682
6.804188,52.441874
6.804188,52.441874
6.814471,52.444654
6.814471,52.444654
6.833072,52.443997
6.833072,52.443997
6.748167,52.249255
6.748167,52.249255
6.729097,52.331245
6.729097,52.331245
