Longitude,Latitude
17.995528,69.637768
18.963885,69.650963
18.747615,69.676326
-5.53086,54.642489
18.962834,69.650298
33.2,66.6
33.2,66.6
18,69.3226
9.184917,63.630917
9.18325,63.64226
9.190533,63.633333
9.18275,63.636983
9.182967,63.63355
8.0771,62.94489
16.72893,68.93616
16.71738,68.94076
23.07867,70.35475
23.0709,70.35397
18.1401,69.41667
21.78327,70.05862
21.81987,70.04878
4.912721,60.674329
4.924751,60.668319
7.44117,62.96148
7.68465,63.0313
22.68233,70.07895
22.6764,70.07823
17.7589,69.57507
17.73867,69.58413
17.7369,69.58293
17.7539,69.5765
17.72123,69.58935
20.6709,69.98622
20.68242,69.98365
20.66342,69.98892
20.64207,69.99572
20.67638,69.98492
20.66867,69.98465
16.7074,68.92812
16.73613,68.9051
16.69325,68.9264
17.28537,69.41947
5.210271,60.217479
5.64272,60.34765
6.13585,59.2637
12.7431,66.47968
12.7298,66.47555
6.13633,59.26183
5.142351,59.604566
12.74508,66.48203
12.73842,66.47635
4.755286,60.68491
4.827072,60.570873
7.74797,63.30335
7.76483,63.30235
17.91556,69.55891
17.91035,69.56351
17.91003,69.56583
6.989,62.28686
19.5993,70.10795
8.68307,63.87535
19.58595,70.11032
8.682368,63.8674
19.59778,70.11172
19.58222,70.10935
8.67992,63.8765
25.441229,70.867949
4.897751,60.685599
4.906781,60.685679
5.149701,59.726369
17.98643,69.52052
18,69.51795
18.0336,69.50697
18.03022,69.50995
18,69.51505
19.668383,70.009383
19.663333,70.010883
19.657283,70.012867
21.68932,70.27102
12.538,65.74832
5.162881,59.600149
19.682883,70.007633
19.6776,70.008333
21.6765,70.27692
22.97605,70.76092
19.67525,70.013267
24.495019,70.66797
8.45855,63.77105
12.58333,65.78685
24.501929,70.6671
12.59007,65.7837
8.47367,63.76938
15.5084,67.94382
8.48523,63.76738
12.5947,65.78823
22.98557,70.76823
15.496,67.94012
8.5545,63.71865
14.29268,67.16697
12.6831,66.1642
5.80862,59.11925
13.888787,67.12044
27.076895,70.679997
27.085165,70.676017
8.55961,64.59001
7.80055,63.423383
21.68908,70.26173
9.12618,63.61148
21.70037,70.24995
21.70308,70.2445
21.70358,70.24632
