Longitude,Latitude
4.55,52.45
4.6,52.6
4.7,53
4.15,52
4.65,52.75
6.15,53.45
4.6,52.7
4.05,51.95
4.05,51.95
3.95,51.8
4.2,52.05
4.2,52.05
4.2,52.05
4.15,52
4.2,52.05
4.65,52.75
7.376118,53.728252
4.55,52.45
7.291886,53.798893
-91.964028,20.205306
-91.960528,20.203611
-91.964028,20.205306
-91.960528,20.203611
3.65,51.7
-3.251957,53.703628
-96.074083,19.207083
-96.074083,19.207083
-3.634696,54.506195
-4.333953,52.216453
1.295528,51.054786
1.29236,51.050378
1.312364,51.050712
1.270363,51.042001
1.326606,51.050307
1.303499,51.046465
1.303499,51.046465
1.295528,51.054786
1.326606,51.050307
-74.050003,40.040001
-74.139999,39.700001
-74.220001,39.669998
-74.050003,40.040001
-74.220001,39.669998
-74.139999,39.700001
1.051743,52.96656
0.258144,52.87582
4.35,52.2
-44.07,-2.4271
-44.07,-2.43
-44.02,-2.5
0.293419,53.014817
0.349576,52.950781
0.301598,52.9724
0.307063,53.019049
0.46781,53.014022
0.271907,53.002642
0.26545,52.936231
0.363566,52.93432
-2.58566,48.64038
-4.17324,53.341953
-123.125556,49.291944
-123.122,49.2885
1.918957,53.3447
0.542296,53.063704
1.98305,52.789376
2.357484,52.213902
2.358328,52.207573
2.328484,52.711584
2.135709,52.521466
2.34,51.45
2.7,51.75
1.279956,51.459102
1.269295,51.471093
1.252941,51.484141
1.27586,51.442126
1.252621,51.439176
1.253036,51.424773
1.701068,52.280421
1.76109,52.03655
-1.075105,50.458208
1.256992,51.722386
2.012221,52.218068
1.775598,52.260068
2.049856,51.761576
2.219227,51.913951
2.263475,51.981629
1.835168,52.152
1.494615,51.59232
1.486723,51.809334
1.728807,51.471759
1.486862,51.811129
2.67,51.299999
1.214218,51.609335
1.254982,51.654083
1.145098,51.570734
1.443799,51.760229
1.064011,51.609757
1.366895,51.466529
1.341815,51.478042
1.174599,51.662581
1.214218,51.609335
1.083937,51.584051
1.174662,51.663479
1.170296,51.476512
1.058037,51.520869
1.010891,51.461828
1.143781,51.572568
1.407464,51.739702
1.212713,51.608477
1.444868,51.698133
1.477397,51.688179
1.359842,51.468531
1.289063,51.505619
1.340443,51.47898
1.363921,51.641116
1.987451,51.546903
1.115572,51.497768
1.103534,51.553852
1.158713,51.5173
1.443799,51.760229
1.163328,51.563048
1.155773,51.51648
1.304431,51.498891
163.942841,-67.420166
163.22467,-66.913666
-122.4098,37.811367
122.65,-33.98
-157.722,21.2883
-157.705,21.2897
-157.75,21.275
-5.057886,50.086139
-5.070908,50.092991
-0.115469,54.092679
-157.81027,21.462778
3.167,56
8,54
3.25,55.75
7,54.5
6,55
5.5,55.25
5,55.25
5,55.5
5,55.8
5,56
5,56.066
4.333,55.9
3.505,56.13
4.015,55.995
7.94,54.133
4.752,55.373
7.75,54.153
6.5,54.033
7.917,53.917
3.5,55.75
7.5,54.75
6.997,54.665
4.75,55.233
5.833,55.417
7.5,53.833
3.417,55.867
7.372,53.783
6.5,54
3.667,55.75
7.5,54.667
5,55.167
5.75,55.333
6.617,54.067
7.562,53.8
7.167,54.667
7.283,53.842
7.667,54.667
5.75,55.417
7.667,53.867
6.797,54.583
6.75,54
4,55
7.002,54.75
7.75,54.667
7.243,54.755
5.667,55.417
8,54.05
6.633,54.75
7.25,54
6.897,54.677
4.75,55.167
7.833,54.667
5.583,55.417
6.167,54.85
7,54
7.917,54.667
4.5,55
6.833,54.7
6.833,54.5
6,55.25
6.5,54.5
8.117,54.375
8,55
4.167,55.5
5.333,55
6,55.333
6.333,53.867
7.167,54.5
4.5,55.5
5.5,54.497
6.333,53.933
7.9,54.917
5,55
8.333,54.25
8,54.833
6.083,55.35
8.083,54.05
4,55.5
7.083,54.333
5.167,55
6.5,53.933
6.5,55.417
8,54.75
7.75,54.283
6.167,53.933
5.167,55.167
7.25,54.25
8.25,54
4,55.75
7.825,54.733
6,55.5
7.333,54.667
8.083,53.933
5.333,55.083
7.5,54.167
7.617,54.375
4.333,55.633
6,54
6.25,54
4.5,55.75
7.75,54.75
6,55.417
5.917,55.417
5.333,55.167
6.5,55
7,55.5
6.913,53.833
7,54.25
3,55.016
5.25,54.75
7.917,54.583
7.5,55.25
6.167,55.083
6.083,55.083
7.833,54.583
6,54.25
5.625,54.833
3.5,55
7,55.25
6.747,53.717
6.503,54.25
6,55
3,54.617
5.5,54.75
3.5,55.5
6.203,53.825
7.65,54.583
5.5,54.25
6.967,55.05
5,55.1
7.75,54.5
5.917,55.083
8,54.5
6.5,53.745
3.667,55.483
7,55
5.75,55.083
3,55.25
6.083,53.867
5,54.75
4.75,54.75
7.5,55
5,54.5
8.217,54.5
5.5,55.333
4.417,55.307
7.5,54
7.833,54.833
8,54.667
7.897,54.147
6.083,54.917
4.35,55.367
8.067,54.667
7.833,54.15
5.5,55.5
6,54.967
4.5,55.25
5.5,55.752
7.25,54.833
7.667,54
8.133,54.667
6,55
4,55.25
7.5,54.25
8.133,54.583
6,56
6,54.75
6.083,55
7.667,54.133
6.75,55.75
3.682,55.217
7.817,54.017
6.915,54.835
4.333,55.375
7.25,54.25
7.957,54.583
6.667,55.083
7.333,55.75
7.917,54.6
6.5,54.75
-3.879199,53.347074
-3.837154,53.295137
11.700017,-7.671183
11.6999,-7.671317
0.497821,52.96574
0.51922,52.975179
0.523788,52.976881
-5.355102,57.94003
-4.873558,51.774653
1.449893,51.383158
-81.2255,25.26387
-81.6405,25.6165
-4.935449,51.767726
1.328904,52.069354
1.345353,52.035609
-3.229635,54.954065
-5.274626,56.462519
-28.63174,38.51978
-28.63185,38.52428
-1.993572,50.728069
-70.9183,40.0217
-75.7669,34.2636
-75.7669,34.2636
-75.7694,34.2656
-75.7669,34.2636
-75.7669,34.2636
-75.7669,34.2636
-75.7694,34.2656
-75.7669,34.2636
-90.1069,27.9136
-75.7503,34.2733
113.2417,-26.1291
-124.227905,40.973677
-124.238205,47.260126
-124.013672,45.352145
-120.504227,34.449387
-24.81882,38.10084
-25.13365,36.91662
-25.4998,37.70145
-25.43214,37.68254
-80.2017,30.4483
-49.0767,8.1433
-49.0767,8.1433
145.28,-38.27
178.416667,-18.133333
173.241699,-34.967499
-157.967262,21.32136
-78.6497,32.6006
-94.818333,29.311667
-0.2,0.7
-0.425,0.911667
-0.2,0.7
-0.2,0.7
-0.2,0.7
-0.425,0.911667
-94.858333,29.288333
-95.023333,29.206667
32.94482,-26.01707
32.94482,-26.01707
-94.766667,29.3
-95.023333,29.206667
-94.818333,29.308333
-76.4667,37.2167
-45.8883,-60.4417
-76.4917,37.25
3.78333,50.76667
3.78333,50.76667
0.633333,5.616667
0.633333,5.616667
-16.733333,10.666667
-16.733333,10.666667
18.53278,42.41028
18.53278,42.41028
-90,25
-90,25
7.28,43.46
7.28,43.46
-72.87966,41.09694
-72.87966,41.09694
-72.87966,41.09694
-72.87966,41.09694
-69.90702,12.4987
-69.90702,12.4987
73.82945,15.42841
73.82945,15.42841
139.033333,35
-76.65,34.72
-156.443,20.9667
-14.1625,36.666667
-14.1625,36.666667
-22.9125,15.9
-22.9125,15.9
-52.3,4
-53,4
-52.3,4
-53,4
70.01,-48.963333
70.01,-48.963333
70.01,-48.963333
70.01,-48.963333
-28.579167,38.061111
-28.579167,38.061111
-70.765,40.0633
-70.765,40.0633
-70.5167,40.05
-72.356503,41.100329
-72.367,41.102
-72.367,41.102
-72.796758,41.279001
41.683333,-22.783333
-44.45,-23.733333
87.63333,21.647223
0,0
135.364,33.6963
-60.6492,-62.6755
-60.3278,-62.3403
-62.0833,-63.4167
163.9428,-67.4202
163.2247,-66.9137
-39.0333,-55.65
3.2332,-54.5265
3.2325,-54.5015
3.3033,-54.3748
-69.220667,-51.62635
-62.821454,-41.046329
-37.668056,-56.933333
-62.821454,-41.046329
-37.668056,-56.933333
-62.821454,-41.046329
-62.821454,-41.046329
-37.668056,-56.933333
-62.821454,-41.046329
-62.821454,-41.046329
-37.666667,-56.933333
-69.220667,-51.62635
-64.016667,-41.55
-62.821454,-41.046329
-62.821454,-41.046329
-62.821454,-41.046329
-62.821454,-41.046329
-62.821454,-41.046329
-62.821454,-41.046329
-65.7,-54.416667
-37.668056,-56.933333
-62.821454,-41.046329
-64.016667,-42.05
-62.821454,-41.046329
-64.016667,-41.55
29.668889,-31.618889
8.47,55.03
-59.18,-38.025002
-62,-45
-57.080002,-38.009998
-59.18,-38.025002
-62,-45
-46.34,-23.92
32.060392,-28.801215
32.060392,-28.801215
-44.0239,-2.4984
132.8133,-5.8966
113.2666,-7.4166
-3.10031,47.4003
16,78.75
114.33333,15.83333
7.28,43.46
114.33333,15.83333
16,78.75
7.28,43.46
114.33333,15.83333
114.33333,15.83333
41.683333,-22.783333
126.105141,37.226666
126.588753,37.49675
