Longitude,Latitude
6.030606,62.510259
6.049525,62.564364
4.6,52.65
-63.707382,44.463171
138.465677,-35.156378
-68.390611,-54.854307
18.747615,69.676326
-64.7854,45.16068
-64.785712,45.160762
138.465351,-35.151563
-6.634548,57.504393
5.258935,59.418674
11.39389,58.2629
-64.059078,44.59786
-70.600594,42.660347
11.18833,58.35738
18.747615,69.676326
12.61167,56.78234
-64.03495,44.569543
-64.455268,45.24895
-64.342765,45.254867
-67.033599,-54.951476
-65.18263,44.99363
-64.645403,45.199012
-64.64523,45.198822
174.754827,-36.688934
173.932648,-34.979032
-68.184925,-54.819756
4.6,52.7
9.260193,58.718084
-9.074768,53.15602
5.964283,62.487444
-4.829647,56.11815
-5.27467,56.54446
6.325694,62.418313
-2.096761,55.87938
-2.158841,55.91619
-6.009518,56.58845
-2.158841,55.91619
-52.659422,47.579375
-5.050117,50.14557
-4.45359,48.29332
7.975459,58.078215
18.964055,69.831038
-9.579164,53.24368
-3.497049,50.40105
-2.783729,50.71462
-3.497802,50.40105
-2.7595,48.65628
-2.83825,48.66512
18.956069,69.646796
18.734527,69.643134
18.761054,69.663202
18.002346,69.636786
-4.443443,50.355652
-52.65927,47.579742
-2.175993,49.16413
-2.175993,49.16413
-5.682936,54.66804
-2.126763,55.90754
-5.803986,57.01461
-5.289784,56.5472
-5.935769,56.65236
-6.592323,57.44852
-2.080689,55.87593
-5.742844,57.55044
-5.725614,55.71207
-2.080689,55.87593
-2.079969,55.87579
-5.06445,50.06513
-4.494702,50.33559
-5.050117,50.14557
-4.45359,48.29332
-1.8045,48.86983
-5.569837,54.666356
-4.788405,54.07454
-2.133714,49.16971
-1.911649,49.28256
-1.91662,49.27808
-5.18727,51.75474
-5.243604,51.73607
-5.243604,51.73607
-5.243604,51.73607
-2.080689,55.87593
-5.903718,56.6585
-6.217334,57.15578
-5.559409,56.20805
-2.125937,55.89949
-2.080689,55.87593
-5.549333,57.35334
-5.585521,55.27324
-5.308479,55.44918
-2.080689,55.87593
-2.815716,56.18545
-2.080689,55.87593
-5.104426,58.40617
-4.24404,50.32626
-5.050705,50.14558
-4.983731,50.57086
-5.111872,50.10124
-5.064285,50.06419
-4.264712,50.18341
-5.064452,50.06549
-2.33084,48.68806
-2.22687,48.6495
18.963885,69.650963
-6.519773,57.380395
-2.293468,49.23679
-2.18485,49.72801
-2.293468,49.23679
-9.474232,53.15307
-6.430589,57.02942
-5.20704,56.74223
-5.633953,56.9852
-5.028203,58.44924
-4.025268,50.29125
-4.268032,50.17924
-1.602904,55.64347
-3.52515,50.34284
-3.027045,50.69442
-4.983606,50.14207
-4.9006,50.19958
-1.24306,44.62848
17.995699,69.634595
18.002346,69.636786
9.5336,63.5932
-4.638825,54.05718
-2.171509,49.71451
-6.694121,55.19534
-5.113393,58.47067
-5.076725,58.45689
-5.556188,56.21385
-4.650608,50.31521
-1.627638,55.63077
