Longitude,Latitude
-2.251302,48.630978
3.7,51.4
-4.962,48.403
-2.248475,49.227339
-1.761339,49.346733
-2.4,36.8
-2.006304,49.155755
-2.006304,49.155755
-3.00574,48.79978
-4.922831,50.580332
-1.59216,49.66263
-1.57279,49.66929
-1.99869,48.762
-2.1618,48.67044
-3.79249,48.76432
-3.75554,48.79331
-1.83223,48.94132
-1.92954,48.84223
-3.80637,48.75987
-1.77648,49.2484
-1.75538,49.17059
-2.85413,48.70126
-3.35497,48.88586
-2.02341,49.54336
-1.22344,49.68693
-1.80327,49.23924
-2.85169,48.71609
-2.87864,48.81505
-2.8719,48.70019
-2.89734,48.71899
-3.0032,48.92121
-3.33713,48.87729
-2.92302,48.76576
-1.89666,49.7283
-1.82262,49.21175
-1.70603,49.10172
-2.90164,48.83078
-1.77258,49.13524
-1.71846,49.26579
-2.8546,48.73212
-1.81705,49.15187
-2.87108,48.71812
-2.87733,48.83243
-1.89679,49.35256
-2.89616,48.73751
-1.79801,49.15269
-3.20505,48.94518
-3.04088,48.95502
-3.35033,48.9034
-1.69121,49.13602
-2.83395,48.71311
-1.84656,49.27337
-1.97784,49.36732
-1.8653,49.29427
-3.44984,48.97545
-3.62129,48.78307
-3.48748,48.86266
-3.45981,48.87935
-3.38759,48.85732
-3.35303,48.97573
-3.29841,48.9815
-3.44598,48.92115
-3.54569,48.85149
-3.39319,48.91138
-3.41053,48.97702
-3.7389,48.99661
-3.52504,48.93455
-3.34877,48.86279
-27.9706,39.0506
1.271949,52.97945
-6.342042,49.952465
-2.93791,48.76626
-2.89801,48.75157
-2.8778,48.79806
-2.92191,48.75485
-2.88805,48.70468
-2.92636,48.73849
1.35125,50.5858
-2.18936,48.62479
-3.48975,48.87885
-4.85392,48.38768
-3.90615,48.68878
-3.90615,48.68878
-28.2146,38.6804
-27.2701,38.8022
-2.006237,49.16287
-2.95756,48.76409
-2.1927,49.7215
-3.53844,48.81427
-8.386,37.097
-1.735547,49.324774
-1.701644,49.303455
-2.87757,48.787
-3.90645,48.68885
-3.90615,48.68878
-11.17,36.400002
-11.36,36.299999
-11.36,36.299999
-11.36,36.299999
-11.17,36.400002
-11.36,36.299999
-11.36,36.299999
18.506,40.1447
18.5062,40.1445
26.063,39.842
-16.372375,33.023633
-1.932986,49.289069
18.505,40.145
23.995761,40.038449
13.6,45.2333
-2.169625,49.190747
-2.174617,49.17408
-2.242942,49.185749
-2.032972,49.165753
-25.4433,37.7059
17.92297,40.18485
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
-3.57713,48.78542
-8.36,37.07
18.507785,40.142833
-1.670517,49.241251
-1.77634,49.354067
-1.604021,49.16776
20.66,38.6
-28.69994,38.57736
-28.69994,38.57736
-1.90324,49.69988
-2.237285,49.190744
-2.020144,49.226076
-2.157952,49.18408
-2.157952,49.18408
-2.254609,49.242411
-2.254609,49.242411
-2.222956,49.260736
-2.18629,49.180745
-2.042466,49.151753
-2.18629,49.180745
-2.222956,49.260736
-7.98,37
23.919167,39.962222
-4.67,36.5
23.858191,39.988434
8.22,40.93
12.61,35.49
-3.981,48.726
-0.441667,38.15
14.457667,35.982167
14.430667,36.0015
-3.143145,50.399605
2.936874,41.719635
13.178993,38.693797
-7.45,37.17
14.56,35.85
-3.71,36.73
12.874333,38.035813
24.054025,39.320629
3.16889,42.367935
11.08,42.41
