Longitude,Latitude
-5.577958,54.394407
3.146427,41.853835
3.13526,42.514225
3.134889,42.514195
-5.578,54.394
3.030497,41.770435
-6.634548,57.504393
3.54723,43.36046
-8.7403,42.375142
-4.167211,50.363028
8.091341,63.3052
7.95062,63.292736
5.635276,58.926655
11.02333,58.53753
12.69811,55.99019
11.05221,58.54512
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
-4.551942,48.340254
-9.628103,53.118136
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.62799,58.948453
5.62799,58.948453
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.62799,58.948453
5.62799,58.948453
-9.011173,42.518588
11.269132,59.097513
-5.543775,54.487008
5.347605,43.228857
11.40916,58.22127
14.614799,67.221902
11.851438,65.041199
5.347657,43.229022
4.981621,60.245919
6.225981,62.497867
17.27922,69.42103
5.24193,59.44155
12.74508,66.48203
12.7298,66.47555
-5.658441,56.67695
3.97978,43.50867
7.74797,63.30335
7.76055,63.30335
8.45855,63.77105
13.88533,67.12172
5.80862,59.11925
7.49283,63.045201
11.08152,58.53216
8.50707,63.77993
8.53858,63.78458
8.517733,63.7894
-4.45359,48.29332
4.04289,43.51731
3.7,43.42472
3.51475,43.27058
-5.274674,56.54469
-5.5923,56.03839
-5.603526,56.0294
3.97575,43.52317
-5.530237,50.114283
-5.465435,54.576684
-5.42558,54.500902
-5.429879,54.507947
-5.42072,54.496733
-5.418026,54.493698
-5.452269,54.553519
-5.462803,54.579232
-5.467807,54.580186
-5.43947,54.536368
-4.829573,56.11781
-2.12866,55.90573
-2.126763,55.90754
-2.125932,55.90788
-4.917036,55.9402
-4.815657,55.64138
3.7,43.42472
-4.45359,48.29332
3.78805,43.424
8.127696,63.290099
-6.006832,57.112293
