Longitude,Latitude
4.917733,43.422662
4.921123,43.421291
-5.53784,50.094747
-2.441696,50.57026
1.3522,52.92053
1.35486,52.91903
1.054695,52.96522
1.102288,52.95721
1.211652,52.94928
1.13667,52.95084
1.351799,52.91842
1.102078,52.9573
1.102995,52.95794
-1.950306,50.60776
1.102663,52.95746
-2.13955,48.65528
-2.02806,48.62806
-4.13208,50.36446
-2.224269,49.25847
1.250144,52.9421
1.055564,52.96572
1.138093,52.95075
1.054133,52.96655
1.206008,52.94897
1.054133,52.96655
1.206079,52.95164
1.055732,52.96577
1.055564,52.96572
1.206008,52.94897
-5.096361,50.42471
1.13725,52.95093
-3.209949,47.656694
-1.98165,48.57116
-1.97771,48.57014
1.217671,52.9467
1.137766,52.95076
1.315955,52.93366
1.209009,52.94857
-1.949146,50.60825
1.315238,52.93159
1.204077,52.94752
1.275332,52.93988
-2.330746,50.59002
1.145234,52.95076
-1.948892,50.60802
0.11775,49.48892
-1.873374,50.7136
-124.326766,43.346189
1.054447,52.96551
1.218142,52.94694
1.135252,52.95121
1.255052,52.94282
1.255052,52.94282
1.054194,52.96678
1.209483,52.94895
4,51.5
1.137835,52.95079
1.215423,52.94761
1.253168,52.94361
1.069929,52.9639
1.535315,52.84269
1.085784,52.96168
1.218227,52.94627
1.219271,52.9476
1.346431,52.92213
1.219271,52.9476
-1.93496,50.62594
-4.130932,50.36385
1.206723,52.94918
0.11775,49.48892
1.055475,52.96551
1.167391,52.9482
1.35454,52.91903
1.055475,52.96551
1.055321,52.96566
1.098826,52.95806
1.167709,52.94959
1.167709,52.94959
1.101306,52.95713
1.144663,52.94997
1.167391,52.9482
1.352949,52.91857
1.216422,52.94844
1.276997,52.93975
1.137646,52.95219
1.054436,52.96556
1.054483,52.96675
1.054564,52.9657
1.101448,52.95704
1.219072,52.94632
1.34403,52.92343
1.137646,52.95219
1.34403,52.92343
1.137646,52.95219
-5.6426,54.49043
-5.39611,50.239156
1.145937,52.95029
1.055733,52.96706
1.25507,52.94425
1.25507,52.94425
-1.977492,50.711448
-5.396157,50.239102
-5.396157,50.239102
3.909945,51.628707
1.053713,52.96682
1.146016,52.94973
-6.191826,54.068306
4.05,51.6
1.210722,52.94878
1.144667,52.95044
1.144427,52.9501
1.298326,52.93508
1.298326,52.93508
-2.27538,48.66203
-2.228476,49.17236
-2.228476,49.17236
-2.222266,49.25925
-2.215966,49.25651
1.146833,52.95176
-0.25204,49.35235
-4.176246,51.199703
-4.184006,51.19731
-4.177719,51.200575
-4.176888,51.199646
-4.184006,51.19731
0.11775,49.48892
0.11775,49.48892
-1.966715,50.69795
3.55,51.4
1.209972,52.9472
1.099314,52.95718
1.14502,52.95069
1.054025,52.96807
1.166946,52.95025
1.053896,52.96773
1.166946,52.95025
1.145501,52.94993
1.145501,52.94993
-4.130791,50.365014
-4.13075,50.364115
4.05,51.6
-1.80372,48.88803
-2.06417,49.24518
-2.129076,49.26435
1.135047,52.95126
1.054448,52.96711
1.135047,52.95126
1.145176,52.94966
1.146176,52.9502
1.05461,52.96593
1.135047,52.95126
-5.646461,54.48989
-5.641795,54.49006
-2.90619,47.56904
-4.642309,53.32017
-4.085943,52.40955
-4.406251,52.88626
-3.826334,53.29125
-4.20896,53.18564
-4.275335,53.14293
-3.838693,53.29146
1.053307,52.96561
-3.931508,51.6177
-3.173546,51.44443
-4.248364,51.67955
-3.938093,51.61492
-3.172728,51.45742
-3.184298,51.44727
-4.940949,51.71014
-5.036906,51.71105
-3.762072,50.242572
-5.641795,54.49006
-2.450041,50.606696
1.052422,52.96648
1.053639,52.96536
1.052422,52.96648
1.135442,52.95054
1.051743,52.96656
-1.116804,50.790374
1.05437,52.96526
-6.109179,54.03984
-6.109179,54.03984
-6.182687,54.07318
-6.109179,54.03984
-2.150883,49.26163
-2.207891,49.17463
-2.19778,49.28513
-2.207891,49.17463
