Longitude,Latitude
-4.496854,48.22949
4.93831,43.428142
4.939179,43.428137
-7.454805,37.178962
4.114161,43.510978
3.558655,43.318341
-9.059756,38.434953
4.938625,43.428428
4.939205,43.428524
4.939332,43.428209
4.939477,43.428577
3.667694,43.420748
3.700006,43.424648
4.918162,43.422177
3.703458,43.430412
3.703458,43.430412
3.699013,43.425181
-2.836494,48.65958
4.114453,43.510951
4.939352,43.428328
3.673238,43.429761
3.635725,43.423748
3.703386,43.430444
-9.0641,38.4347
3.595896,43.409789
-2.762242,48.655223
-2.820143,48.650764
-2.762242,48.655223
3.700359,43.424881
3.70003,43.424825
3.70003,43.424697
3.700291,43.424848
-8.85,42.483333
13.898645,44.817177
13.898827,44.817434
3.700389,43.424114
3.700456,43.424107
3.700468,43.424095
3.700462,43.424119
3.70003,43.424697
3.70003,43.424697
13.629355,43.548143
3.700448,43.424117
-4.438643,48.358357
-9.584124,51.64647
-9.595969,51.695746
-7.89365,36.95999
3.700356,43.42462
-7.665242,37.083958
-7.774708,37.025486
-2.446446,50.56926
-2.457442,50.5964
9.40894,41.77007
3.7,43.42472
3.7,43.42472
-2.441694,50.5701
3.7,43.42472
3.7,43.42472
-4.45359,48.29332
3.7,43.42472
3.51475,43.27058
-2.456534,50.59609
-2.446278,50.57092
-2.418208,50.58595
-2.448699,50.57151
-2.418208,50.58595
-2.441696,50.57026
-4.44895,48.32045
3.7,43.42472
-2.73677,48.658
3.69942,43.43378
3.7,43.42472
3.7,43.42472
-2.83825,48.66512
-2.73677,48.658
3.7,43.42472
-4.77253,48.46861
-2.83825,48.66512
3.7,43.42472
3.7,43.42472
3.700392,43.424951
3.700392,43.424951
3.700392,43.424951
3.700454,43.424756
-3.501636,50.39992
-2.18983,50.60776
-2.461858,50.59143
-4.45359,48.29332
-3.92139,48.71083
3.7,43.42472
3.7,43.42472
-8.822052,37.063507
-2.811368,48.67315
-2.811368,48.67315
-2.231951,49.17309
-3.507975,50.47901
-2.806764,50.68081
-2.806777,50.6824
-2.862531,50.69121
-2.806764,50.68081
-3.508005,50.47908
-2.871511,50.71051
-2.871511,50.71051
-2.862531,50.69121
-2.806777,50.6824
-4.53379,48.167333
6.75126,43.42079
3.7,43.42472
3.7,43.42472
3.7,43.42472
-1.120282,50.79026
-1.120282,50.79026
