Longitude,Latitude
-2.02399,48.655046
-2.022785,48.65525
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.55,52.45
3.7,51.4
3.7,51.4
4.1,51.95
4.939658,43.428457
-1.582392,49.65627
4.939632,43.428498
-3.92122,48.690568
-3.921382,48.690362
3.848631,51.676558
-7.668503,37.082249
-2.024459,48.654417
3.703515,43.430442
-2.024218,48.654363
-2.014496,48.656336
-4.9509,48.3966
-5.618832,54.67696
-2.024988,48.654108
-5.095176,48.440331
13.834678,44.850271
-1.448276,55.069872
-1.513538,55.176195
-2.897663,55.98519
-5.811932,54.710278
-5.813,54.71
3.7,51.4
4.7,52.85
5.35,53.4
6.3,53.5
-5.764118,54.669036
-8.330598,51.734019
-3.34139,56.028095
-3.294042,58.95138
-4.190864,50.338516
-5.061596,50.145796
-4.160516,50.360967
3.7,51.4
-5.863585,54.901187
-9.125754,53.132797
-9.138155,53.149752
5.986355,58.435828
-5.767153,54.66955
-6.524405,57.365972
-3.309613,56.037422
-5.056192,50.147355
-6.481765,57.369164
-6.524637,57.365829
-6.634548,57.504393
-4.126498,50.356396
-5.452665,50.113376
-5.452665,50.113376
-5.452665,50.113376
3.65,51.6
3.65,51.6
3.65,51.6
-9.413517,52.932032
-5.529036,54.641463
-5.56004,54.659704
-5.452665,50.113376
-5.495591,50.219544
-5.056024,50.147914
-5.056024,50.147914
5.079198,43.328905
-4.45353,50.34257
-5.798346,54.854065
-9.073444,53.156601
-2.775803,56.064828
-2.51074,56.00404
-5.056024,50.147914
-2.076964,57.145882
8.59732,42.131464
-5.738785,54.675272
-2.716931,56.061294
-5.06855,50.142879
-5.087996,50.105933
-5.06855,50.142879
-4.982151,50.545
-4.982151,50.545
-5.069311,50.141977
3.7,51.6
-5.056024,50.147914
-5.06855,50.142879
-1.253417,50.76255
11.70504,57.56001
11.70543,57.57852
-0.378176,54.263019
-5.06855,50.142879
-5.056024,50.147914
-5.048035,50.144606
-5.048035,50.144606
-5.530237,50.114283
-4.887948,55.756145
4.85,53.15
3.65,51.55
9.033881,63.639025
10.704442,59.264907
5.630227,58.944918
5.630227,58.944918
-4.163049,53.2211
-5.167294,51.710186
4.55,52.5
4.3,52.15
4.4,52.25
-10.25412,51.725411
10.868627,59.159868
10.863032,59.158925
3.967516,51.946602
3.964096,51.950795
3.964096,51.950795
3.964096,51.950795
-0.004559,49.321953
10.861153,59.157072
11.40916,58.22127
-4.162519,50.360475
-5.452665,50.113376
-4.126498,50.356396
-5.057851,50.147299
-3.985325,48.726199
4.55,52.45
4.55,52.45
4.3,52.15
4.35,52.15
4.3,52.15
11.08316,58.87417
-2.024067,48.654573
-3.498093,50.538464
-5.452665,50.113376
4.6,52.6
4.4,52.2
4.6,52.55
4.1,51.95
4.6,52.7
-2.812286,48.610565
-2.811387,48.609195
-5.881783,54.681278
-5.530237,50.114283
-4.893298,55.750567
4.6,52.65
-2.811387,48.609199
4.6,52.65
3.7,51.4
4.15,52
5.4,53.4
4.45,52.25
4.5,52.45
3.7,51.4
3.7,51.4
1.272178,51.99455
