Longitude,Latitude
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.75,53
3.7,51.4
3.7,51.4
4.75,53
3.714959,51.426842
3.7,51.4
6.15,53.4
3.7,51.4
6.15,53.4
3.7,51.4
3.7,51.4
3.7,51.6
3.7,51.4
3.95,51.35
5.668109,58.914709
12.213523,55.512558
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.6,52.7
3.7,51.4
4.95,52.35
5.6,53.3
3.7,51.4
-4.12817,52.609965
12.071045,55.653488
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.75,53
3.7,51.4
3.7,51.4
3.7,51.4
10.289488,56.211036
16.48444,56.25086
0.649,41.1
4.6,52.45
4.65,52.45
4.65,52.45
-1.953089,48.693252
11.49746,55.199126
-4.553763,53.248777
18.94966,57.75288
15.38459,56.13469
12.60518,56.81994
16.56316,56.79502
6.002978,59.987537
4.65,52.45
4.2,52.05
4.2,52.05
4.85,53.05
10.171553,54.4277
18.92849,57.41938
3.7,51.55
4.7,52.95
4.7,52.95
5.25,53.4
-9.10589,42.839583
-0.359565,49.322703
10.321365,54.435539
11.425095,54.014629
3.868114,51.777552
11.53169,58.29785
11.81499,58.06103
11.56946,58.32959
14.59432,56.04918
4.85,53.1
6.2,53.4
4.55,52.45
4.85,53.1
-8.312704,51.907361
16.62901,57.63725
10.522636,59.891138
10.524623,59.889642
10.530459,59.886368
10.537578,59.881471
3.5,51.4
3.5,51.4
4.1,52
4.1,52
3.5,51.5
-1.308063,51.057695
3.95,51.5
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
-1.095176,45.882309
4,51.8
3.95,51.35
-8.83215,41.91127
-4.45359,48.29332
4.1,51.3
3.9,51.75
3.6,51.5
4.1,51.3
-8.85151,41.69694
9.727944,55.008985
9.660611,54.90992
-1.97771,48.57014
14.27114,55.67359
4.43817,51.06132
-9.048569,42.573376
-3.207642,47.671351
3.7,43.42472
4.05,51.9
10.521097,59.89579
10.520154,59.891975
10.519032,59.893622
10.517303,59.894118
10.52317,59.8932
10.940663,59.042891
10.52458,59.893716
-4.51489,53.412168
-4.129233,52.8632
6.85085,43.40941
4.5,52.45
3.65,51.65
8.86232,56.762496
3.7,43.42472
5.7,53.3
-5.067415,56.70239
3.7,51.4
-4.82437,55.656614
-5.33815,56.47021
3.7,51.4
3.7,51.4
3.7,51.4
6.15,53.4
6.15,53.4
6.15,53.4
3.7,51.4
3.7,51.4
6.15,53.4
6.15,53.4
-3.21033,47.65539
-0.25204,49.35235
-1.24306,44.62848
3.95,51.35
-1.845701,46.586627
-1.845701,46.586627
4.1,51.3
6.419937,53.424747
6.419937,53.424747
-1.17719,44.66407
-4.45359,48.29332
3.8,51.7
3.8,51.7
-1.127024,46.255751
-1.127024,46.255751
-1.127024,46.255751
11.54503,57.98866
-5.245835,51.73769
-5.565475,54.37825
-5.567408,54.37896
12.631678,55.663187
11.039379,59.024837
-1.23891,44.67294
17.39027,58.76269
24.881854,60.145054
5.3,53.35
4.55,51.9
5.3,53.4
11.80059,57.75633
11.79985,57.75629
11.74631,57.62024
11.75758,57.59699
11.75764,57.59708
11.74693,57.62022
11.74816,57.62085
11.74777,57.62045
11.74734,57.62044
11.84912,57.64033
11.76427,57.64032
11.76095,57.64055
11.74548,57.62097
11.76181,57.64104
11.74573,57.62069
11.93747,57.57539
11.85426,57.63976
11.76096,57.64081
11.76391,57.64042
11.93575,57.57649
11.93621,57.57584
11.7626,57.64118
11.93542,57.57567
11.91578,57.59511
11.76425,57.64007
11.93778,57.57467
11.93778,57.57467
11.93801,57.57535
11.93007,57.6214
11.93515,57.57598
11.91523,57.59503
11.84717,57.64158
11.923,57.62639
11.92236,57.62659
11.84771,57.64186
11.85735,57.66692
11.84726,57.64185
11.7165,57.72478
11.85523,57.6677
11.85702,57.66738
11.85352,57.63952
11.85746,57.6669
11.79973,57.75182
11.85466,57.63998
11.85617,57.66736
11.85301,57.63977
11.71735,57.72489
11.85711,57.66696
11.87574,57.68109
11.71545,57.72628
11.71572,57.72609
11.71574,57.72519
11.71738,57.72526
11.87502,57.68083
11.71556,57.72568
4.95,53.25
4,51.8
1.573116,52.83556
-5.377329,56.5881
-5.641551,56.67772
11.74573,57.6206899991474
11.85746,57.6668999991481
11.76181,57.6410399991477
11.74631,57.6202399991474
11.87574,57.6810899991483
11.84726,57.6418499991477
11.93801,57.5753499991468
11.76096,57.6408099991477
