Longitude,Latitude
-5.547187,50.103323
-5.488901,54.752046
-5.547066,50.10338
-5.547066,50.10338
-5.547187,50.103323
-5.547066,50.10338
-5.547644,50.103632
-5.547066,50.10338
-5.547187,50.103323
-5.547187,50.103323
-5.547187,50.103323
-5.547066,50.10338
-5.547066,50.10338
-5.547187,50.103323
-5.547187,50.103323
-5.547187,50.103323
-10.060161,54.111004
-10.059392,54.110847
2.93448,47.5258
4.00032,47.73497
3.96793,47.72847
4.37117,48.32195
4.01122,47.73278
4.37117,48.32195
3.13542,47.33152
4.01122,47.73278
3.88413,47.79177
4.01122,47.73278
3.13018,47.33117
3.13018,47.33117
3.13018,47.33117
3.88258,47.79177
3.88577,47.79158
3.13253,47.33133
3.13253,47.33133
2.93448,47.5258
4.37117,48.32195
3.96793,47.72847
3.88413,47.79177
3.13253,47.33133
4.00032,47.73497
-3.88413,47.79177
-3.88413,47.79177
-3.13253,47.33133
-2.87382,48.78729
-4.00032,47.73497
-4.00032,47.73497
-2.93448,47.5258
-3.88413,47.79177
-2.93448,47.5258
-3.13253,47.33133
-2.93448,47.5258
-3.88413,47.79177
-2.93448,47.5258
-3.88413,47.79177
-2.87382,48.78729
-3.88413,47.79177
-3.13253,47.33133
-3.13253,47.33133
-3.13253,47.33133
-4.00032,47.73497
-3.13253,47.33133
-3.13253,47.33133
-4.00032,47.73497
-7.244225,57.08443
-7.244033,57.08424
1.11385,50.12873
1.11051,50.2185
1.11051,50.2185
0.97419,50.1265
1.11385,50.12873
0.97777,50.03672
-4.37117,48.32195
-3.13253,47.33133
-3.13253,47.33133
-4.37117,48.32195
-4.37117,48.32195
-3.13253,47.33133
-4.58078,48.29685
-5.752832,57.2778
-5.748373,57.27623
-4.00032,47.73497
-4.00032,47.73497
-4.00032,47.73497
-3.88413,47.79177
-4.00032,47.73497
-2.87382,48.78729
-3.88413,47.79177
-2.87382,48.78729
-4.00032,47.73497
-4.00032,47.73497
-4.00032,47.73497
-3.88413,47.79177
-4.00032,47.73497
-2.473081,50.508581
-2.47874,50.510357
-2.475892,50.507671
-5.898519,50.106805
-4.795547,50.811467
-4.38765,48.32039
-4.38765,48.32039
-2.078023,50.392607
-5.050005,50.160112
-2.578842,50.623214
-1.177093,50.750347
-0.942026,60.66759
-4.148333,50.358333
-4.148333,50.358333
-4.231806,50.390102
-96.236417,15.686717
-96.236417,15.686717
-5.064999,50.13183
-5.062147,50.131006
-4.01122,47.73278
20.8325,70.685333
-5.76064,54.71743
-3.96793,47.72847
-4.00032,47.73497
-3.96793,47.72847
-3.13018,47.33117
-4.00032,47.73497
3.0577,42.5412
-4.796886,52.712737
150.09185,-5.418167
24.9875,35.415833
24.987505,35.415789
25.758333,35.251667
25.758333,35.251667
25.758333,35.251667
25.758315,35.251742
25.758315,35.251742
25.758315,35.251742
13.640983,45.091233
13.6237,45.042683
13.6237,45.045917
138.76293,34.84301
138.76293,34.84301
135.33635,33.69135
-4.3653,48.31355
-4.3653,48.31355
-4.37117,48.32195
-4.669413,51.999802
-4.669413,51.999802
-4.669413,51.999802
-4.669413,51.999802
-4.669413,51.999802
-0.534189,50.45625
-0.666592,50.456943
-0.897104,50.418885
25.758333,35.251667
25.758333,35.251667
25.758315,35.251742
25.758315,35.251742
25.758315,35.251742
25.758315,35.251742
-76.670666,32.860733
-76.670666,32.860733
-76.670666,32.860733
-4.1686,50.338966
-2.82717,50.272776
-0.572758,50.204004
-1.997842,50.248741
-2.82114,50.248536
-2.749015,50.031376
-2.098732,50.203732
-2.098732,50.203732
-2.398598,50.203988
-2.749015,50.031376
-2.297705,50.203392
-2.768181,50.269584
-2.19962,50.203602
-2.748052,50.059263
-2.297705,50.203392
-1.798869,50.2036
-1.507107,50.233307
-1.699383,50.203385
-0.798371,50.203858
-0.899261,50.203958
-1.697982,50.203382
-1.997844,50.203774
-1.898356,50.203729
-1.999245,50.203774
-1.999245,50.203774
-1.879344,50.519374
-0.697483,50.20367
-1.507107,50.233307
-88.14745,16.80108
-1.961333,50.301795
-1.358653,50.429538
-1.358653,50.429538
-2.998306,50.000718
-1.667227,50.595401
-1.358653,50.429538
-4.670911,52.9142
-4.583748,53.02406
-5.89449,52.94655
-4.680056,52.90966
-4.66566,52.97484
-4.918895,53.489361
-0.498998,50.49987
-5.273678,52.36245
-5.374465,52.34798
-5.492243,54.75493
-5.091254,51.70328
2.653175,60.851347
-4.386611,51.226177
-5.250895,51.739629
3.146667,42.48
2.367151,59.914744
-4.553124,53.599338
-4.239182,54.063218
-4.528166,53.586382
-4.240612,54.061393
-4.242042,54.059569
-4.240612,54.061393
-4.560617,53.598278
-4.553124,53.599338
-4.52822,53.58728
-4.237704,54.064144
-4.528166,53.586382
-4.15886,54.046708
-4.551614,53.59937
-4.236274,54.065969
-4.237704,54.064144
-4.554579,53.598407
-4.551614,53.59937
-4.519165,53.587471
-4.560617,53.598278
-4.528166,53.586382
-4.519165,53.587471
-4.556089,53.598375
-4.520674,53.587439
-4.554579,53.598407
-4.554633,53.599305
-4.236226,54.065071
-4.556089,53.598375
-4.522129,53.586509
-4.239182,54.063218
-4.157288,54.045837
-4.523639,53.586477
-4.236226,54.065071
-4.560617,53.598278
-4.240612,54.061393
-4.52822,53.58728
-4.551614,53.59937
-4.239182,54.063218
-5.316723,51.79767
-4.240564,54.060495
-4.160433,54.047579
-4.160433,54.047579
-4.529675,53.58635
-4.523639,53.586477
-4.242091,54.060467
-4.163625,54.050218
-4.240612,54.061393
-4.242091,54.060467
-4.239086,54.061422
-4.242091,54.060467
-4.237656,54.063246
-4.529729,53.587248
-4.162052,54.049347
-4.236129,54.063275
-4.165198,54.051089
-4.237656,54.063246
-4.237656,54.063246
-4.240564,54.060495
-4.522129,53.586509
-4.525201,53.587343
-4.531238,53.587216
-4.239134,54.06232
-4.237656,54.063246
-4.240564,54.060495
-4.243569,54.05954
-4.16048,54.048477
-4.522129,53.586509
-4.523639,53.586477
-4.240612,54.061393
-4.240564,54.060495
-4.55307,53.59844
-4.553124,53.599338
-4.55307,53.59844
-4.554579,53.598407
-4.559108,53.598311
-4.240661,54.062291
-4.166725,54.051061
-4.240564,54.060495
-4.522129,53.586509
-4.523692,53.587375
-4.52822,53.58728
-4.560563,53.59738
-4.525201,53.587343
-4.523639,53.586477
-4.528166,53.586382
-4.522183,53.587407
-4.550105,53.599402
-4.519165,53.587471
-4.55156,53.598472
-4.523692,53.587375
-4.242091,54.060467
-4.557598,53.598343
-4.52062,53.586541
-4.55307,53.59844
-4.55156,53.598472
-4.526657,53.586414
-4.239134,54.06232
-4.560563,53.59738
-4.55307,53.59844
-4.525201,53.587343
-4.523692,53.587375
-4.239182,54.063218
-4.55156,53.598472
-4.559108,53.598311
-4.523639,53.586477
-4.522183,53.587407
-4.559053,53.597413
-4.236226,54.065071
-4.557598,53.598343
-4.242042,54.059569
-4.166725,54.051061
-4.52671,53.587311
-4.240661,54.062291
-4.240612,54.061393
-4.52822,53.58728
-4.559108,53.598311
-4.559108,53.598311
-4.55156,53.598472
-4.559053,53.597413
-0.75,37.85
-4.788938,54.079591
-4.788938,54.079591
-4.805912,54.081893
-4.242042,54.059569
-4.242042,54.059569
-4.15886,54.046708
-4.239134,54.06232
-4.240612,54.061393
-4.158814,54.04581
-4.554579,53.598407
-4.242091,54.060467
-4.553124,53.599338
-4.551614,53.59937
-4.243569,54.05954
-4.240612,54.061393
-4.242042,54.059569
-4.559108,53.598311
-4.554579,53.598407
-4.560617,53.598278
-4.556089,53.598375
-4.559108,53.598311
-4.560617,53.598278
-4.471418,54.062264
-4.242579,54.012812
-4.236528,54.013824
-4.471258,54.05957
-4.242579,54.012812
-4.236528,54.013824
-4.471418,54.062264
-4.244104,54.012784
-4.471364,54.061366
-4.472837,54.060436
-4.179758,50.359609
-4.791248,54.091225
-4.791248,54.091225
-5.000342,52.28502
15.183333,37.283333
15.15,37.566667
-87.486944,19.809167
-11.631667,36.533333
-14.403333,33.47
-80.22,27.36
-82.0189,25.7661
-80.171383,25.533617
-127.25,49.971667
23.156,38.847
23.117001,39
23.771999,40.195999
23.621,38.477001
23.593,38.571999
23.08,38.943001
22.907,38.882999
23.014,38.915001
23.332001,38.743999
23.613001,38.547001
23.037001,38.865002
23.533001,38.577
22.966,38.872002
22.726999,40.435001
23.487,38.637001
22.990999,38.848999
23.208,38.821999
22.964001,38.833
23.629999,38.505001
22.865,38.831001
22.881001,40.502998
23.284,38.766998
