Longitude,Latitude
11.56109,58.32343
10.537578,59.881471
11.9385,57.3831699991441
10.527235,59.888534
10.530459,59.886368
10.537578,59.881471
11.90383,57.59416
4.84851,60.594396
12.05,57.4066699991445
12.074,57.370829999144
5.88085,59.23365
-10.060161,54.111004
5.7679,58.9645
-10.059392,54.110847
7.370758,63.000237
-2.990665,58.828769
-2.990665,58.828769
12.11833,57.3163299991432
12.055,57.4196699991446
12.0535,57.3929999991443
12.05667,57.4299999991448
12.055,57.4196699991446
12.06433,57.4531699991451
5.740101,58.9746
12.88083,55.5133299991201
13.035,55.6508299991217
12.79358,55.8702299991244
12.79358,55.8702299991244
12.79358,55.8702299991244
13.03667,55.6866699991222
12.79358,55.8702299991244
13.03667,55.6866699991222
5.52853,59.275029
5.52837,59.274119
-5.555688,57.35516
-5.551766,57.35804
-4.911828,55.745834
-3.254848,58.949581
-5.609617,54.46206
-5.609617,54.46206
-5.609617,54.46206
11.95183,57.376669999144
12.0625,57.4364999991449
12.0625,57.4364999991449
11.97667,57.3616699991438
12.074,57.370829999144
-8.440604,54.998336
-9.580272,53.323983
-7.31056,57.55436
-7.313551,57.55363
-5.553815,54.50983
-5.634264,54.44614
-5.606039,54.54852
-5.626125,54.45339
-5.796141,54.7181
-5.596303,54.388923
-5.60312,54.54157
-2.957954,58.987687
-2.976006,59.323119
-3.034342,59.09054
-3.034342,59.09054
-3.034342,59.09054
-2.961674,59.13153
-5.577453,54.39355
-5.638792,54.49573
-5.575783,54.40606
-5.637629,54.48873
-9.006387,53.151651
-9.548445,53.244824
-9.007207,53.150702
-9.006437,53.150439
-5.617961,54.55474
-3.54014,50.405817
11.7915,58.3158299991575
-5.762159,56.85039
-5.834642,56.78843
-5.641795,54.49006
-5.537275,54.46673
-5.575788,54.5209
-5.639297,54.42739
-4.544545,52.135661
-5.042102,50.190006
-5.042388,50.194496
-5.032798,50.175856
-5.035652,50.176681
-5.033994,50.194716
-5.043272,50.186377
-5.045727,50.180915
-5.037305,50.202725
-5.032652,50.195651
-5.046013,50.185405
-5.032798,50.175856
-5.051951,50.190647
-5.027659,50.183187
-5.04989,50.158316
-5.023744,50.121218
-6.305635,49.966422
-5.049497,50.196109
-5.047469,50.186267
-5.154898,50.094335
-5.032798,50.175856
-5.032627,50.173162
-5.032082,50.18667
-5.032855,50.176754
-5.036906,50.196439
-5.042788,50.200783
-5.043158,50.184581
-5.036963,50.197337
-5.037631,50.097466
-5.76064,54.71743
-5.76064,54.71743
12.038,57.3803299991441
12.038,57.38033
-5.568852,54.522074
-5.610198,54.448283
-5.651539,54.493469
-5.571153,54.388888
-5.642634,54.490276
-5.535056,54.361193
-5.578948,54.39399
-5.612994,54.433433
-5.565665,54.378916
-5.611168,54.450008
-5.547355,54.435183
-5.624032,54.388489
-5.573556,54.533266
-5.545563,54.466179
-5.582642,54.404186
-5.569281,54.38872
-5.622115,54.38827
-5.580783,54.40364
-5.573954,54.5199
-5.545786,54.38005
-5.544942,54.43472
-5.544942,54.43472
-5.609294,54.44981
-5.544942,54.43472
-5.539782,54.47073
-3.801402,57.682727
-5.646661,54.517837
-5.596172,54.381997
-5.648168,54.493664
-5.628119,54.45256
12.10167,57.3108299991431
12.10167,57.3108299991431
12.10167,57.31083
12.10167,57.31083
0.224511,55.658086
-5.622785,54.55557
12.15683,57.1999999991416
11.90333,57.4983299991457
11.90333,57.4983299991457
11.90333,57.4983299991457
11.9,57.5116699991459
11.90333,57.4983299991457
11.97633,57.3413299991436
11.90333,57.49833
11.90333,57.49833
11.90333,57.49833
11.9,57.51167
12.16288,57.20502
