Longitude,Latitude
5.47071,55.016
5.47071,55.016
5.47,55.02
5.47,55.02
7.35467,54.0937
6.19483,54.4667
6.19483,54.4667
7.35,54.09
6.19,54.470001
6.19,54.470001
7.44785,54.1777
7.44785,54.1777
7.45,54.18
7.45,54.18
11.0402,58.9236
4,54.5
4,54.5
4,54.5
4,54.5
3,51.5
3.5,52.25
2,53
2.5,51.25
1.5,51.75
2.5,52.75
4.5,52.75
2,52.5
3.5,51.75
2,51
2.5,52.25
2.5,51.75
1,53
3,52.5
1,51.5
4,52.5
2,51.5
1.5,51.25
2,52
3.5,52.75
3.5,51.75
4,52.5
2.5,51.25
3,53
3,52
2.5,52.75
1,53
2,52.5
2,51.5
3,52
3,51.5
2,51
1.5,51.25
2,52
3.5,52.25
1.5,51.75
3,52.5
1,51.5
11.466667,58.266667
11.466667,58.266667
11.466667,58.266667
