Longitude,Latitude
-2.252003,48.632237
-3.616257,48.684301
-3.616324,48.684279
-3.616268,48.684298
-3.616319,48.684264
-3.616324,48.684264
-3.61633,48.684268
-3.616273,48.684291
-3.616324,48.684275
-3.616319,48.684264
-3.616319,48.684272
-3.616324,48.684268
-3.616319,48.684257
-3.616208,48.68449
-3.616192,48.684494
-3.616197,48.684486
-2.129041,48.636578
-2.129038,48.636556
-2.251259,48.631085
-3.616439,48.684496
-2.25026,48.630186
3.7,51.65
-5.704827,54.66796
-5.712,54.669
3.8,51.7
3.65,51.55
3.45,51.45
-9.12041,53.157109
3.65,51.55
13.635878,68.121688
13.635878,68.121688
3.85,51.75
5.25633,59.423733
13.621568,68.120215
3.45,51.45
4,51.5
-3.589822,48.80144
-3.616538,48.684458
-4.962,48.403
-5.056024,50.147914
-4.678878,48.355081
3.65,51.65
-4.681618,48.3551
-4.681782,48.354967
-4.681654,48.35506
-4.681666,48.35506
-4.68172,48.355024
3.65,51.55
3.65,51.55
-5.583604,56.316522
3.65,51.55
3.65,51.55
3.65,51.55
3.65,51.55
3.7,51.65
3.7,51.65
3.7,51.65
3.7,51.65
-4.566609,48.288489
13.635878,68.121688
13.621568,68.120215
-3.423326,47.701422
-5.06855,50.142879
-3.423341,47.701431
-3.423405,47.701518
-3.423362,47.701431
-1.072684,50.689757
-5.133349,50.40796
3.4,51.35
-5.657048,54.670884
13.621568,68.120215
5.239226,59.423655
-3.09293,47.471386
-2.537259,47.382433
3.7,51.4
-8.356017,37.100133
3.5,51.55
3.65,51.55
3.65,51.55
3.65,51.55
3.65,51.6
-0.526561,54.422436
10.602833,59.898083
-1.516586,50.66543
-5.649176,50.042474
-5.698053,50.078712
-5.649176,50.042474
-4.930258,50.550437
-4.996037,50.541566
-4.996037,50.541566
-4.930258,50.550437
-5.698053,50.078712
-1.941964,50.642171
-4.216891,51.180139
-1.453353,55.071431
-1.419557,55.04035
-1.473963,50.64388
11.08278,58.54339
-1.685315,50.66879
1.255052,52.94282
-1.331269,54.90339
-2.840039,48.662466
5.035001,60.543629
-1.250434,50.817834
-1.24761,50.816916
-1.24761,50.816916
-1.250434,50.817834
-1.716934,50.68934
-1.425865,55.03702
-0.702387,50.74492
-0.10884,54.13274
1.137835,52.95079
-1.425719,55.03959
-1.426815,55.03622
-2.2055,50.61327
1.277275,52.939
-1.93496,50.62594
-0.10884,54.13274
-1.716934,50.68934
-0.0799,54.12136
-0.73082,54.52984
-0.774562,50.7289
-2.213333,56.894999
-2.213333,56.894999
-2.205994,56.951498
-2.213333,56.894999
-2.205994,56.951498
-2.161161,57.01583
-2.205994,56.951498
-2.161161,57.01583
-2.205994,56.951498
-2.213333,56.894999
-5.533515,50.114432
-6.295037,49.955518
-6.302236,49.911159
-5.528915,50.114662
-5.530732,50.117486
-6.295037,49.955518
-6.332416,49.960334
-5.529361,50.114064
-5.529336,50.119058
-6.302236,49.911159
-6.302236,49.911159
-6.328828,49.959209
-6.295037,49.955518
-6.350383,49.896672
-2.41594,50.59153
-5.532774,50.11387
-6.342268,49.969053
3.65,51.55
-3.651258,50.263533
-5.537477,50.094744
-5.546824,50.10332
-4.460636,50.341855
-5.539512,50.110381
-5.529859,50.114184
-5.529165,50.119963
-5.544206,50.101961
-5.539512,50.110381
-5.529165,50.119963
-5.537529,50.094877
-5.532963,50.114539
-2.782502,56.065833
-5.526982,50.124528
-5.533342,50.113988
-5.532957,50.114449
-2.453477,50.598136
-5.546824,50.10332
-4.590908,53.24202
-2.453477,50.598136
-5.292775,50.262766
-4.156864,53.223697
-5.055326,50.147814
-0.587566,54.48608
-5.546824,50.10332
-5.533342,50.113988
-5.542669,50.109565
-1.430475,55.039335
-5.537529,50.094877
-5.546824,50.10332
-5.39584,50.239106
-5.539512,50.110381
-5.39584,50.239106
-5.546824,50.10332
-5.546824,50.10332
-5.537529,50.094877
-5.39584,50.239106
-5.539512,50.110381
-5.546824,50.10332
-5.546824,50.10332
-5.546824,50.10332
-2.880645,50.71865
-1.96547,50.59009
-2.927926,50.725712
-5.546824,50.10332
-5.529859,50.114184
-5.529859,50.114184
-5.546824,50.10332
-0.405621,54.301811
-1.425029,55.031716
-5.547187,50.103323
-0.262449,54.216685
-0.276244,54.216883
1.142633,52.94939
1.167391,52.9482
1.135053,52.95216
-1.077377,50.67208
1.167709,52.94959
1.352244,52.92003
-1.120219,50.65208
1.208099,52.94735
1.352949,52.91857
1.352244,52.92003
1.35454,52.91903
1.144663,52.94997
1.35454,52.91903
1.278297,52.9403
-1.426529,55.036216
1.167709,52.94959
1.167391,52.9482
-0.257125,54.215264
-1.454203,55.072288
3.7,51.65
1.354992,52.91911
1.276997,52.93975
-1.431146,55.04163
1.276997,52.93975
-1.430318,55.039334
1.054483,52.96675
-1.623496,55.554566
1.253382,52.94319
1.34403,52.92343
-1.430318,55.039334
1.34403,52.92343
-0.669409,54.509032
1.054436,52.96556
1.253382,52.94319
1.054564,52.9657
-1.429387,55.04025
-2.484308,57.67372
-1.623505,55.553667
-1.623496,55.554566
-2.484308,57.67372
-1.431146,55.04163
1.354992,52.91911
1.206828,52.94748
-1.430318,55.039334
-2.484308,57.67372
1.253382,52.94319
-1.623505,55.553667
-2.419107,50.55836
-1.42803,55.040717
1.216422,52.94844
-10.077901,54.111783
-10.07585,54.16214
-5.39584,50.239106
-10.06999,54.137084
-10.079824,54.210594
-10.054866,54.109487
-10.077901,54.111783
-10.063216,54.12372
-10.063216,54.12372
-10.06999,54.137084
-10.079824,54.210594
-10.040857,54.166337
-10.02549,54.17797
-10.06619,54.10143
-10.05819,54.09979
-1.426386,55.04325
1.276376,52.94099
-10.05115,54.12443
-10.07615,54.25583
-10.06619,54.10143
1.25507,52.94425
1.345952,52.92316
1.25507,52.94425
1.297551,52.93624
1.276376,52.94099
1.297551,52.93624
-1.434813,55.05722
1.345952,52.92316
1.345952,52.92316
1.055733,52.96706
1.055733,52.96706
-1.329594,54.90374
-10.066004,54.125667
-10.077328,54.256004
-10.066004,54.125667
-10.067507,54.143164
-10.079334,54.209995
-10.067507,54.143164
-9.957497,54.27117
-10.037171,54.191663
-10.067507,54.143164
-10.060161,54.111004
-10.060161,54.111004
-10.066004,54.125667
-9.957497,54.27117
-10.060161,54.111004
-10.060161,54.111004
-10.066004,54.125667
-10.079334,54.209995
-10.074505,54.161328
-9.957497,54.27117
-10.079334,54.209995
-10.067507,54.143164
-10.079334,54.209995
-10.060161,54.111004
