Longitude,Latitude
6.32985,55.04
6.32985,55.04
6.32985,55.04
6.33,55.040001
6.33,55.040001
6.33,55.040001
6.19483,54.4667
6.19483,54.4667
5.57867,54.829
5.57867,54.829
6.19483,54.4667
6.19,54.470001
6.19,54.470001
6.19,54.470001
5.58,54.830002
5.58,54.830002
8.10337,54.05
7.97509,54.0875
8.1,54.049999
7.98,54.09
4,54.5
4,54.5
3,53.5
4,54.5
3,53.5
4,54.5
3,53.5
4,54.5
4,54.5
4,54.5
3,53.5
4,54.5
4.342778,54.14944
4.342778,54.14944
4.342778,54.14944
4.342778,54.14944
4.342778,54.14944
4.342778,54.14944
4.342778,54.14944
4.342778,54.14944
5.5,55.25
2.5,56.25
5.5,56.75
2,57
5,57
-1.5,55.75
-0.5,56.75
0,55.5
2,55
0.5,55.25
2.5,55.75
5.5,54.25
3,55.5
4.5,55.25
1,55
5,55
6.5,53.75
4,55.5
7,54
3.5,55.25
6,54.5
0,55
7,53.5
4,55
6,54
0.5,55.75
2.5,55.25
5,54.5
1,55.5
5.5,54.75
3,55
1.5,55.75
1.5,55.25
7.5,53.75
2,55.5
6.5,54.25
0,54.5
-1,56.5
0.5,54.25
-1,55.5
-2,56
-2,57
-1.5,56.25
-2,56.5
-0.5,55.25
-1.5,56.75
-0.5,56.25
-1,55.5
-2,56
-2,57
-1,56.5
0,54
-1.5,56.25
-1,57
-0.5,54.75
-1.5,56.75
-0.5,56.25
-1,56
-1,56
-1,57
-0.5,54.75
-0.5,55.75
-1,55
-2.5,56.25
-0.5,56.75
-2,56.5
-2.5,56.25
-0.5,55.75
-1,55
6.5,54.75
6.5,56.25
0,56.5
5,56
0,57
6,56.5
6.5,54.75
6.5,56.25
6,55.5
0.5,56.75
3.5,55.75
1,56.5
6,56
0,57
6,55
6,55.5
0.5,56.75
5,56.5
4.5,56.25
6.5,55.25
4.5,56.75
2,56
4.5,56.75
6.5,55.25
4,56.5
4,56
5,55.5
6,56.5
5,56.5
5.5,56.25
5,57
8,54
5.5,56.75
3,56
1,56
6,55
4,57
2.5,56.75
3,56.5
8,54
1.5,56.25
3,57
0,56
2.5,56.75
3.5,56.25
7.5,54.25
1,56
3.5,56.75
4,56.5
7.5,54.25
2.5,56.25
5.5,55.25
3,57
0.5,56.25
1.5,56.75
7,54.5
2,56.5
6,56
4.5,55.75
1,57
0.5,56.25
3,56.5
7,54.5
2,57
1.5,56.25
5.5,55.75
0,56
1.5,56.75
2,56.5
5.5,56.25
2.5,55.75
2,54.5
3.5,52.25
5.5,53.75
3,55
3,53
6.5,54.25
3,52.5
5,55.5
4,54.5
4.5,56.25
2.5,53.25
3.5,55.75
4,53
4,55
6.5,53.75
4,52.5
3,54.5
4.5,54.75
4.5,52.75
3,55.5
4.5,52.75
2,55.5
4.5,56.25
6,53.5
3.5,54.75
2,53
2,55
5.5,54.75
4,55.5
5.5,54.25
3,51.5
3.5,56.25
3.5,53.75
2.5,52.75
4,53.5
5,56
2.5,54.75
3,56
2.5,51.75
6,54
4.5,55.25
3,53.5
3.5,54.25
3.5,51.75
2,55.5
3.5,54.75
4,56
3.5,52.75
3,52
2.5,54.25
5.5,55.75
2.5,55.25
3.5,53.25
4,54.5
3,54
4,52
4.5,55.75
2,54
5,55
6,54.5
2,53.5
2,56
2.5,52.25
5,54
3.5,55.25
4,54
5,54.5
1.5,53.75
0.5,54.75
1.5,54.25
1.5,53.75
1.5,54.75
0.5,54.75
1.5,54.25
1,54.5
1.5,54.75
1,54.5
1,54
1,54
0.5,53.75
4.5,54.25
4.5,53.75
5,53.5
4.5,53.25
11.466667,58.266667
11.466667,58.266667
11.466667,58.266667
-7,50.5
-7,50.5
-7,50.5
