Longitude,Latitude
-5.087996,50.105933
-4.1251,50.3554
-4.1251,50.3554
-5.533878,50.114436
-5.533205,50.114599
-5.542911,50.109625
-5.543032,50.109568
-5.542911,50.109625
-5.543032,50.109568
-3.860005,50.262335
-3.858835,50.257164
5.965,43.0926
-4.13,50.35
-4.14222,50.371389
-4.14222,50.371389
-4.14,50.369999
23.733611,40.068333
24.333611,40.835278
-4.4105,48.321833
-4.4375,48.365667
-0.441667,38.15
-0.133333,38.498333
-5.041669,50.141671
-13.196667,45.629167
-80.328014,25.430889
-4.451739,50.344296
23.58,39.931
22.881001,40.502998
23.41,39.960999
23.788,40.089001
23.695,39.933998
22.861,40.435001
23.156,38.847
22.726999,40.435001
22.990999,38.848999
24.288,40.254002
23.723,40.334999
23.629999,38.505001
23.771999,40.195999
25.115,41.000999
23.117001,39
23.308001,40.083
23.08,38.943001
24.145,40.354
23.014,38.915001
23.487,38.637001
23.986,40.323002
-70.313,41.9182
-70.0406,41.8044
-70.313,41.9182
-1.92374,49.67025
-0.72585,49.34976
-1.87577,49.65723
-1.70787,49.29032
-70.7024,41.4703
-70.6325,41.3943
-70.7024,41.4703
-70.5945,41.4455
-70.5945,41.4455
-70.6748,41.5294
-70.6744,41.5291
-70.5945,41.4455
-70.6736,41.5264
-70.6731,41.5265
-70.687,41.5084
-16.366667,10.366667
-70.6748,41.5294
-2.762684,51.495309
-2.764124,51.495299
30.016892,31.363663
-157.547,21.31
0,0
-5.21,50.32
