Longitude,Latitude
-8.88,38.48
7.898,54.168999
7.898,54.168999
1.6865,54.618667
29.609501,36.189602
-4.52,53.220001
-4.52,53.220001
-4.52,53.220001
7.10522,43.58775
7.10522,43.58775
2.57795,51.113533
2.555467,51.107217
2.561133,51.1102
2.946917,51.256733
-1.17498,44.65342
-1.17498,44.65342
11.9,56.91
13.676367,45.035367
13.60185,45.074383
10.761,58.902
2.496,56.224
1.413,56.249
3.582,51.801
0.852,55.227
4.123,52.42
6.6,54.294
1.413,56.249
7.677,56.978
3.038,52.985
4.06,54.04
3.635,56.26
0.948,53.438
4.841,55.37
0.487,56.193
8.047,54.916
1.325,55.115
-0.794,56.184
4.123,52.42
4.656,56.034
2.434,52.584
3.635,56.26
2.147,53.586
8.205,55.301
2.789,51.608
5.265,55.357
4.123,52.42
7.65,54.261
3.4,53.428
2.816,54.291
6.776,56.547
3.203,55.281
1.589,53.47
1.771,51.787
6.054,56.136
3.635,56.26
4.232,53.205
3.937,52.243
1.413,56.249
0.852,55.227
4.123,52.42
5.434,54.233
0.846,54.339
7.006,55.339
1.667,54.12
1.413,56.249
9.102,57.372
7.078,56.341
6.597,55.28
2.277,53.337
8.098,54.394
-1.411,56.288
2.483,55.214
2.676,52.315
5.268,56.004
1.899,53.62
3.635,56.26
4.042,52.801
13.6823,45.047483
13.675167,45.035667
-1.80372,48.88803
23.919167,39.962222
23.919167,39.962222
23.919167,39.962222
23.919167,39.962222
23.919167,39.962222
23.919167,39.962222
23.919167,39.962222
23.919167,39.962222
23.733611,40.068333
23.733611,40.068333
24.333611,40.835278
24.333611,40.835278
23.916964,40.157881
23.919167,39.962222
23.919167,39.962222
23.686111,39.954722
23.686111,39.954722
23.686111,39.954722
13.604183,45.09895
13.614733,45.092633
13.6464,45.067017
23.919167,39.962222
23.919167,39.962222
23.919167,39.962222
-4.4105,48.321833
-4.4375,48.365667
-3.965833,47.734167
-0.441667,38.15
14.457667,35.982167
14.430667,36.0015
-0.133333,38.498333
13.613433,45.094733
13.613433,45.094733
13.619013,45.077824
13.672467,45.036033
13.609314,45.073763
13.626667,45.086833
-1.15048,49.4962
2.07536,51.03726
-1.8685,49.53058
-3.21316,48.90381
-4.64086,48.36909
1.60805,50.8519
-4.37198,48.38617
13.672467,45.036033
13.626667,45.086833
13.602967,45.081033
-3.05477,48.77341
-4.50644,48.3777
-3.75291,47.79093
-2.96276,47.5776
-4.54509,48.64635
-4.48089,48.19856
1.65593,50.76431
3.622667,57.383
-3.60956,48.79229
-3.60956,48.79229
24.12203,35.49045
24.12203,35.49045
12.575,37.6533
13.6195,45.119667
13.61755,45.074983
5.31667,43.25
5.31667,43.25
3.06083,42.58471
8.78616,42.608
3.1822,42.49467
1.60297,50.78507
1.60297,50.78507
-1.33698,45.02285
3.06083,42.58471
3.1822,42.49467
-4.34509,48.13952
-4.34509,48.13952
3.1822,42.49467
3.06083,42.58471
23.416667,39.133333
24.05,39.316667
24.05,39.316667
24.1,39.076667
