Longitude,Latitude
3.91428,51.629039
4.103123,43.551944
4.101507,43.553134
3.7,51.7
9.742339,55.525198
3.5,51.55
11.18657,58.35703
11.18477,58.36606
11.18657,58.35703
11.21576,58.35126
11.21576,58.35126
11.18657,58.35703
3.7,51.4
4.4,52.2
3.7,51.4
3.7,51.4
18.825715,70.141568
11.55913,58.32191
11.76848,57.53571
3.7,51.4
3.7,51.4
11.61567,58.37026
11.56971,58.32978
18.230608,69.720186
11.55762,58.32148
4.35,52.15
9.258792,58.712328
11.60096,58.36216
0.634804,51.498628
-9.074768,53.15602
3.7,51.4
3.7,51.4
11.53169,58.29785
9.743773,55.525721
-0.29967,49.41733
-0.25778,49.4116
-1.24306,44.62848
-1.24306,44.62848
3.75,51.35
3.7,51.4
1.3522,52.92053
1.3522,52.92053
1.20778,52.94847
1.257053,52.9435
1.103211,52.95711
1.35486,52.91903
-1.24306,44.62848
-0.31733,49.4179
-5.075883,58.45786
1.102663,52.95746
-2.267635,50.54031
1.732034,52.87009
1.351799,52.91842
-1.456633,55.11776
1.211652,52.94928
1.102288,52.95721
1.212567,52.95016
1.211955,52.95004
1.314016,52.9299
-2.071,48.68
18.964055,69.831038
-4.848861,54.12381
-2.231951,49.17309
-1.912654,49.2739
-2.815716,56.18545
-4.905429,55.94521
1.135079,52.95129
1.206008,52.94897
1.055456,52.96545
1.352113,52.91911
1.055564,52.96572
1.606348,52.8612
1.206079,52.95164
1.206079,52.95164
1.276523,52.93948
1.205012,52.94849
1.352113,52.91911
1.207082,52.9496
1.352113,52.91911
-2.71391,48.66479
4.55,52.4
-5.572114,54.38922
-4.162249,53.22032
-4.162249,53.22032
-4.162249,53.22032
-4.162249,53.22032
1.100051,52.95894
1.135079,52.95129
-2.330746,50.59002
1.256914,52.94421
1.299076,52.93485
1.315955,52.93366
1.298336,52.9352
1.315955,52.93366
-1.602904,55.64347
1.654184,52.82259
-5.457397,50.40044
1.207665,52.94913
1.583426,52.82503
1.616346,52.82508
1.207665,52.94913
1.215833,52.94712
-56.15152,46.83078
-1.627638,55.63077
-1.627638,55.63077
1.207207,52.94897
