Longitude,Latitude
-122.421215,37.809093
-122.422553,37.810105
-122.422553,37.810105
-117.22204,32.715458
-64.876157,32.277912
-117.262205,32.85746
-122.091764,36.81786
18.459387,-34.204467
-121.892646,36.605195
-118.477335,33.985725
18.477721,-34.232262
-122.573978,37.856879
-121.892462,36.605456
-117.868736,33.589973
-122.001458,36.964072
-117.896663,33.603953
-119.555834,34.051245
-117.245224,32.764804
-117.867064,33.587856
-117.880052,33.59643
-117.878979,33.596358
-122.482303,37.502549
-119.267694,34.249177
-122.001469,36.963736
-122.482928,37.501189
-118.678351,34.033055
-121.903817,36.621472
-122.001799,36.964128
151.205688,-33.797008
-121.888823,36.605546
-122.481108,37.502408
18.46641,-34.265689
-122.59623,37.870037
-118.476606,33.984934
-119.439653,34.355278
-120.855978,35.369828
-122.0018,36.963385
-122.601036,37.874128
-122.482337,37.502785
-122.507004,37.787418
-122.574537,37.857659
-123.053817,38.306049
-122.482753,37.502075
-122.057572,36.950281
-118.190329,33.758151
-118.1904,33.758267
-121.89234,36.605244
-123.057811,38.327997
-122.425492,37.807147
-118.41739,33.757011
126.559525,33.237473
126.559464,33.237724
126.559555,33.237595
126.559509,33.237659
126.559517,33.237625
126.560051,33.237419
-122.397087,37.802325
-122.003559,36.967054
-118.188599,33.752518
126.559525,33.237473
125.984955,37.182117
-122.001649,36.964162
-118.190895,33.758008
-118.187511,33.757734
-118.220301,33.741968
-118.191095,33.75829
-118.18898,33.76012
-122.424989,37.806812
174.749022,-36.676723
-122.601407,37.874719
-118.191264,33.758606
-121.827703,36.755737
-120.883912,35.289678
-122.00135,36.964088
-122.397114,37.8023
-117.886282,33.65456
-118.19197,33.762058
-121.910692,36.639671
-122.482167,37.502039
-122.482381,37.502108
-157.7985,21.4565
-157.7776,21.4521
-157.778,21.4521
-157.798,21.4565
-157.798,21.4565
-157.778,21.4521
-157.800003,21.459999
-157.798,21.4565
-157.798,21.4565
-122.00185,36.964272
-122.001783,36.964229
-117.706933,33.460545
-117.706017,33.461152
-122.59623,37.86993
-122.425595,37.870596
-122.596275,37.870136
-90.279999,-0.44
-90.279999,-0.44
-90.279999,-0.44
-90.279999,-0.44
-119.516516,34.387159
-118.389999,33.84
-122.397125,37.802308
-122.445706,37.806224
-120.236585,34.468849
-122.480631,37.501282
-121.893919,36.6083
-122.87105,38.116728
-122.600525,37.873932
-122.001758,36.963561
-122.001779,36.964312
-121.893725,36.609042
17.9492,-33.0099
-122.002594,36.964161
-122.600942,37.874117
-122.601103,37.874072
-122.473889,37.832222
-122.473889,37.832222
-122.466126,37.806283
-122.600664,37.874078
-122.46615,37.806267
-122.466042,37.806378
-122.559356,37.889016
-122.601375,37.874583
18.47235,-34.35667
-122.600898,37.874014
-121.889011,36.603063
174.782167,-36.313833
-122,36.97
-122,36.97
-120.237464,34.468141
-2.32713,48.6825
-124.04105,44.628466
-122.36436,37.91006
-122.36842,37.92065
-122.39126,37.90845
-122.37022,37.81486
-122.31721,37.86759
-122.42156,37.80798
-122.44577,37.89063
-122.44626,37.80655
-122.41846,37.96429
-122.43497,37.86798
-122.40601,37.80852
-122.41958,37.81111
-122.39167,37.79453
-122.48322,37.97203
-122.45625,37.87256
-122.47977,37.85884
-122.43497,37.86798
-122.47763,37.91464
-2.1949,48.631
-45.04528,-23.45111
-45.04528,-23.45111
-122.42228,37.82534
144.97,-37.82
-119.220001,34.169998
-122.919998,38.200001
-119.220001,34.169998
-122.919998,38.200001
-119.209999,34.150002
-117.239998,32.77
-117.239998,32.77
-117.239998,32.77
-117.699997,33.459999
-119.220001,34.169998
-117.699997,33.459999
-117.239998,32.77
-117.239998,32.77
-119.220001,34.169998
-122.919998,38.200001
-119.220001,34.169998
-122.919998,38.200001
-117.699997,33.459999
-118.25,33.77
-117.699997,33.459999
-118.25,33.77
-118.25,33.77
-118.07,33.720001
-117.889999,33.619999
-118.25,33.77
-118.07,33.720001
-118.07,33.720001
-118.25,33.77
-117.889999,33.619999
-118.25,33.77
-117.889999,33.619999
-118.25,33.77
-117.889999,33.619999
-118.449997,33.970001
-118.449997,33.970001
-117.699997,33.459999
-118.07,33.720001
-117.400002,33.209999
-118.07,33.720001
-117.400002,33.209999
-117.400002,33.209999
-117.400002,33.209999
-118.449997,33.970001
-118.449997,33.970001
-119.22546,34.16414
-119.22345,34.17412
-119.22848,34.16956
-119.22971,34.17976
-120.84916,35.35696
-120.85239,35.35889
-120.85518,35.36912
-120.85101,35.35772
-119.6937,34.40466
-120.85852,35.37071
-119.69193,34.4045
-119.69126,34.40691
-119.68894,34.40667
-119.2077,34.14775
-119.20718,34.15162
-119.21001,34.14999
-119.202,34.14823
-119.21009,34.15281
-119.20946,34.15321
-119.225,34.1666
-118.253,33.7655
-118.253,33.7655
-117.236,32.7671
-117.699,33.4591
-117.894,33.6199
-117.395,33.2121
-118.06017,33.72825
-118.06587,33.71752
-118.07861,33.72794
-118.05418,33.70262
-118.19729,33.74833
-118.44654,33.98302
-118.44961,33.9702
-118.21051,33.77667
-118.18655,33.75938
-118.44605,33.97605
-118.22839,33.76967
-118.45685,33.97834
-123.04103,38.32575
-118.28011,33.71645
-123.0565,38.32949
-123.05113,38.334
-123.05847,38.33207
-124.22324,40.72331
-124.17664,40.80399
-118.25282,33.7655
-124.2198,40.72908
-122.88324,38.14656
-124.21915,40.73271
-122.92195,38.19905
-118.2428,33.76448
-118.26851,33.72333
-124.16478,40.8285
-124.18604,40.79773
-118.2339,33.72713
-124.19621,40.77813
-117.87978,33.5974
-117.89325,33.61942
-117.89573,33.60966
-117.91949,33.6082
-117.93636,33.62128
-117.7063,33.46217
-117.69405,33.45935
-117.69923,33.45914
-117.70203,33.46047
-118.32652,33.34827
-118.3247,33.34401
-118.32678,33.34612
-121.779999,36.799999
-121.779999,36.799999
-121.779999,36.799999
-121.779999,36.799999
-121.779999,36.799999
-121.779999,36.799999
-121.779999,36.799999
-121.779999,36.799999
-121.779999,36.799999
-121.779999,36.799999
-121.779999,36.799999
-121.779999,36.799999
-118.50713,33.42747
-117.12693,32.64773
-117.16842,32.69923
-122.47977,37.85884
-122.47366,37.83187
-122.45564,37.99615
-122.45656,37.80585
-117.18861,32.70623
-122.42156,37.80798
-122.47607,37.8095
-117.23476,32.68613
-122.31451,37.82166
-122.37122,37.81456
-122.35035,37.91369
-122.44446,37.88826
-122.39167,37.79453
-122.43497,37.86798
-122.40601,37.80852
-122.41958,37.81111
-122.44626,37.80655
-122.4086,37.81079
-122.37022,37.81486
-122.35035,37.91369
-122.39126,37.90845
-122.4105,37.9228
-122.31451,37.82166
-122.45625,37.87256
-122.31721,37.86759
-122.47763,37.91464
-122.44577,37.89063
-122.47977,37.85884
-122.43497,37.86798
-122.42228,37.82534
-122.44113,37.80738
-122.31729,37.86635
-122.35415,37.9139
-122.4741,37.83255
-124.199997,40.720001
-122.349998,37.91
-122.349998,37.91
-124.220001,40.720001
-122.349998,37.91
-122.349998,37.91
-122.349998,37.91
-122.349998,37.91
-122.349998,37.91
-122.349998,37.91
-122.349998,37.91
-122.349998,37.91
-122.349998,37.91
-117.690002,33.450001
-122.349998,37.91
-117.690002,33.450001
-117.690002,33.450001
-122.23226,37.46887
-122.385567,37.781567
-122.47465,37.83355
-122.40996,37.81143
-122.4086,37.80869
-122.31729,37.86635
-122.44114,37.8074
-122.44295,37.80603
-122.49637,37.86875
-122.35352,37.91287
-122.46233,37.8371
-124.218,40.7183
-122.35,37.913
-124.202,40.7175
-122.3855,37.78153
-122.3855,37.78153
-122.38711,37.78149
-122.49637,37.86876
-122.31733,37.8635
-122.31417,37.86481
-122.40896,37.8114
-122.4086,37.80862
-122.44291,37.80705
-122.44479,37.80628
-122.46128,37.87197
-122.35352,37.91285
-157.75,21.275
-157.715,21.2824
-122.46126,37.87202
-122.37451,37.66411
-122.37927,37.67232
-122.47466,37.8335
-122.49636,37.86861
-122.31422,37.865
-122.31801,37.86729
-122.44111,37.80735
-122.44232,37.80708
-122.38557,37.75152
-122.38709,37.78146
-122.31585,37.58956
-122.4084,37.8086
-122.4084,37.8086
-122.40992,37.81086
-122.35348,37.91285
-122.49636,37.86876
-122.41003,37.8114
-122.41003,37.8114
-122.4087,37.80862
-122.44112,37.8074
-122.44112,37.8074
-122.31737,37.86633
-122.38715,37.78144
-122.38555,37.78155
-122.269997,37.779999
-122.269997,37.779999
-122.32,37.810001
-122.349998,37.91
-122.407806,37.811361
-122.407806,37.811361
-122.407806,37.811361
-122.47755,37.83265
-122.47752,37.83295
-122.47752,37.83295
-122.441861,37.807167
-122.441861,37.807167
-122.47755,37.83265
-122.5026,38.11559
151.18633,-33.86633
151.19199,-33.84283
151.18733,-33.87516
151.18733,-33.87516
151.18633,-33.86633
151.18633,-33.86633
151.17899,-33.86782
151.17899,-33.86782
151.18555,-33.84027
151.18549,-33.84033
151.18549,-33.84033
151.19027,-33.86111
151.19027,-33.86111
151.19027,-33.86111
151.19016,-33.86116
151.19016,-33.86116
151.19016,-33.86116
151.20183,-33.85483
151.22888,-33.86333
151.22888,-33.86333
151.22982,-33.8625
151.22982,-33.8625
151.22888,-33.86333
151.22888,-33.86333
151.19199,-33.84283
151.19866,-33.84199
151.19866,-33.84199
151.19866,-33.84199
151.19866,-33.84199
151.27138,-33.84721
151.25555,-33.84138
151.23916,-33.865
151.20194,-33.85472
151.20183,-33.85483
151.18555,-33.84027
151.17632,-33.87216
151.20883,-33.85916
151.19027,-33.86111
151.19027,-33.86111
151.19016,-33.86116
151.19016,-33.86116
151.2555,-33.84133
151.24049,-33.865
-119.68887,34.40665
-118.05434,33.7128
-118.07867,33.72782
-119.691,34.40682
-118.24242,33.76482
-118.06583,33.71753
-118.44673,33.98282
-118.06013,33.7283
-119.692,34.40447
-118.24775,33.73482
-118.44936,33.97028
-118.25287,33.76553
-119.69362,34.40477
-118.44595,33.976
-119.23193,34.18112
-119.22977,34.1735
-119.22595,34.16422
-119.22343,34.17567
-119.22356,34.17387
-119.22707,34.17417
-118.32252,33.34415
-118.32597,33.3485
-117.90218,33.61538
-117.89577,33.60943
-117.89333,33.61933
-118.19746,33.7477
-118.2283,33.76968
-117.92022,33.60852
-118.21067,33.7766
-117.6991,33.45897
-117.69413,33.45916
-117.7031,33.46145
-117.69945,33.46127
-117.70253,33.45988
-122.37455,37.66416
-122.40795,37.80884
-122.86238,38.1078
-122.92187,38.19962
-122.88868,38.15112
-124.2199,40.72937
-124.16662,40.80735
-124.17668,40.80387
-124.18615,40.79762
-124.19588,40.77835
-122.31591,37.59036
-122.44135,37.80739
-122.44135,37.80739
-122.44135,37.80739
-122.38558,37.78159
-122.36607,37.75713
-122.49662,38.86862
-122.31418,37.8648
-122.31733,37.86637
-122.39793,37.81248
-122.46129,37.87202
-122.47465,37.83361
-124.22025,40.734783
-124.17833,40.803333
-157.82944,21.282778
-124.17833,40.80333
-124.22025,40.73478
-122.349998,37.91
150.89416,-34.45666
150.89499,-34.46
