Speciesname,Total observations,Unique locations,Bodø,BelgianCoast,Galway ,Gdynia,Getxo,Koster,Laeso,Limfjord,Plymouth,Roscoff,SwedishWestCoast,TZS,Vigo,Errors
Acartia bifilosa,4326,495,383101,50172,362787,119594,286635,71342,49373,105954,158502,302960,10578,1664,726399,
Acartia clausi,3630,594,393956,10868,258004,330300,432169,66622,73819,152784,1150,183449,7381,335577,68252,
Acartia hudsonica,287,121,934489,882885,1170112,741397,1909558,108278,198852,204212,1221993,1384998,134073,805810,2192890,
Acartia longiremis,14423,4659,325641,54317,145560,119594,51858,66622,27347,55376,135085,153806,7381,16918,130622,
Acartia margalefi,6,3,2424378,984347,1232377,1091403,482051,1490897,1310972,1289733,967927,808796,1431686,1750760,5670,
Acartia tonsa,3066,489,476923,51657,339973,186674,744972,70280,73819,156881,4899,142724,9052,47452,616214,
Acrocnida brachiata,3036,1633,899578,7977,32538,498414,209897,162624,18864,137917,843,7451,104894,738120,668569,
Aeolidia papillosa,4750,4217,3988,9849,11857,459368,210802,1256,51311,17921,738,29611,6782,301781,1373,
Aetea truncata,177,123,40399,275272,173327,607749,529287,593,108546,199163,21259,179770,11472,684703,638934,
Alcyonium digitatum,31847,19295,1367,5965,214,396454,323093,62,6471,28956,719,3401,4119,683084,1043,
Aleochara obscurella,248,154,472427,56681,335315,298158,192971,3154,56827,171129,1497,2191,2038,310987,678848,
Alitta saltoni,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Alitta succinea,3339,1362,1088918,27751,297344,380025,125127,154952,57180,187827,133900,99375,93711,701039,612626,
Alitta virens,4072,3249,3991,43535,246713,378340,766816,1578,49810,71864,3001,172995,2079,676868,917686,
Alvania punctura,1029,769,15400,75333,3345,417447,32870,621,6471,138568,2272,52349,9786,387209,34793,
Amathia gracilis,313,227,40399,51080,6069,493801,421910,26049,39876,166480,6654,175781,11472,684703,134161,
Amathia gracilis complex,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Amathia imbricata,499,386,11949,100133,13588,385485,708813,73224,39944,172233,2898,168639,114856,708842,909311,
Amblyosyllis madeirensis,1,1,1781888,561719,355015,1493507,1204361,1091336,1038877,906639,418829,602791,1089062,1785125,1359921,
Amphiascopsis cinctus,123,69,949138,13494,811613,607663,930818,1280,114111,209457,417555,481844,9828,696844,1264880,
Amphibalanus amphitrite,1568,988,1106719,59977,335010,1001766,132352,705974,740976,633942,1065,182822,743059,1353195,176649,
Amphibalanus eburneus,584,374,2508466,674098,988051,1204164,117314,1629090,1452645,1379802,502972,339067,1573522,1582892,416114,
Amphibalanus improvisus,10210,8279,216564,45599,242832,5936,290440,593,28059,146121,35680,165330,5364,353,717995,
Amphinema dinema,37,29,1847200,12393,365712,1102674,566949,954411,820302,706410,1150,9177,921500,1562016,646838,
Amphipholis squamata,20363,11337,17864,15377,2555,417910,133719,556,6471,138568,753,1269,6511,683695,NA,
Amphiporus allucens,1,1,3522894,1729422,1650555,2727162,731125,2680480,2548686,2434715,1372999,1204185,2649898,3275863,417592,
Amphitrite figulus,62,26,797332,440045,1193162,655674,1419852,460050,301792,214184,942828,1027811,415313,894399,1799341,
Amphiura chiajei,18138,6340,19874,7977,32039,381980,372232,247,6471,52374,2126,64589,547,673572,673528,
Amphiura filiformis,39734,12926,19265,18310,31705,280224,226704,474,6471,65160,1133,7451,547,673572,1373,
Ampithoe helleri,100,30,1285017,367380,6069,1418847,443857,826085,868360,763783,184786,2484,854072,1498995,60889,
Ancula gibbosa,647,546,4002,69502,205626,451239,558914,58877,121860,158835,1511,58826,12487,707995,743526,
Anteaeolidiella lurana,32,30,3611143,2538430,3366488,2187192,2569196,2811255,2651693,2684024,2888040,2804934,2750813,2727181,3023218,
Antedon bifida,8331,5570,524901,25666,214,607355,111964,57010,99492,43706,719,1899,11156,699075,2390,
Aora gracilis,3924,3269,225101,15445,181921,442787,133719,3141,14167,138373,4165,5468,16372,696682,1373,
Aora spinicornis,211,46,1969052,497115,380332,1507149,532264,1219617,1140232,1008654,205992,53184,1208131,1898924,744989,
Aora typica,428,294,191135,27751,310336,435360,133700,214507,35281,136784,178669,39291,156265,730986,60453,
Apherusa bispinosa,3904,3258,167073,17661,165071,468587,380094,6585,35281,136784,5541,2484,11558,699244,1373,
Apherusa jurinei,461,258,234694,103142,6069,498365,448657,22629,37362,165688,2898,6449,51507,715728,1373,
Apionsoma misakianum,148,67,2603108,2192463,1340331,3030017,2378439,2449415,2490433,2377552,1824934,1934620,2479613,3097469,2160455,
Arbacia lixula,3377,1203,1678033,193141,963855,926014,417168,766800,626765,516703,680291,774464,730975,1366984,719475,
Arctica islandica,20198,11025,3969,7977,20347,63543,164414,479,6471,15230,1950,110671,547,559810,572298,
Arenicola defodiens,296,257,946776,43535,301597,543866,794849,39574,56322,182796,47506,198815,12134,700253,1001689,
Aricidea minuta,5848,4398,30774,8974,244627,389462,600486,188041,47755,66640,3281,7451,126800,709237,815319,
Ascidia ahodori,1,1,7695050,9407297,9721831,8456456,10418280,8461618,8587933,8704042,9810793,9957837,8489100,7866376,10768963,
Ascidia conchilega,1348,1110,117774,106788,13185,434937,508506,621,6471,138568,756,94437,11553,683868,733307,
Ascidia mentula,7283,5592,4002,25666,53,466094,419641,62,6471,22597,119,3401,4119,683205,3578,
Ascidia virginea,2687,2225,28107,233964,53,466430,326854,62,6471,138568,978,3401,4453,680786,711085,
Ascidiella aspersa,7445,5467,97739,59705,600,409584,106855,479,6471,138568,119,7156,5397,685330,1373,
Ascidiella scabra,6034,5095,3993,9849,214,409584,482125,247,6471,52374,119,40204,548,677585,747635,
Asterias rubens,51992,36069,4252,3208,2681,75142,133351,62,6471,6084,716,2067,4119,650797,1373,
Asterina gibbosa,3438,2249,885660,118256,214,834578,133659,347626,302690,180688,753,1961,340476,1036503,4512,
Athanas nitescens,2519,932,627299,58659,92154,497234,22660,2735,47987,151793,738,1418,7527,677527,1373,
Aurelia aurita,19351,9166,15377,16624,3737,3298,210802,659,16695,6723,819,64537,3218,179,674519,
Austrominius modestus,8353,4430,880316,43523,6069,607638,289231,72045,84340,78828,119,2417,11118,699102,10784,
Bactrocera oleae,607,226,2480764,801014,1247352,1114543,335477,1535498,1355568,1317400,755922,599106,1478477,1770601,255296,
Balanus amphitrite,280,188,2341807,491087,1015259,1361789,163070,1434385,1285331,1183485,514446,409093,1395723,1992178,650687,
Balanus balanus,4361,2958,4252,71868,214,378340,636793,479,6471,123446,823,140638,4119,375268,874946,
Balanus crenatus,10593,6797,117361,43523,214,308863,203107,593,6471,10581,611,8635,8466,663357,666512,
Balanus trigonus,1359,759,2703838,920228,1411937,1563958,412626,1758533,1586998,1515614,972112,822902,1708552,2142727,178345,
Barentsia gracilis,58,46,321146,434716,294931,551840,700829,180997,6471,138568,52219,167397,123163,754592,597791,
Bittium reticulatum,3949,2419,15829,24785,3345,78337,33840,262,35898,54871,2253,1425,548,428376,2115,
Botrylloides leachii,3851,2956,252461,67505,2341,469805,441384,659,14167,138373,119,2258,4526,685531,497870,
Botrylloides violaceus,1460,1195,1074943,46432,43607,886206,325555,300951,333026,250396,119,149270,318679,997552,414520,
Botryllus schlosseri,13124,9482,115641,23403,214,458347,106219,659,6471,37845,119,1968,4453,677527,6342,
Bougainvillia britannica,36,20,908070,416523,310513,691630,991900,364567,398156,311379,205992,389987,409884,1002621,1158999,
Bougainvillia muscus,652,428,394618,13494,16617,409061,566949,639,29573,149258,1128,1708,11156,683205,800347,
Brachidontes pharaonis,55,41,3005647,1697316,2405431,1571484,1436083,2141940,1972294,1987744,1904219,1780950,2080713,2146489,1868656,
Bugula neritina,1791,830,1608191,62464,49678,914315,132352,746589,607388,496624,119,132916,711033,1349164,144614,
Bugulina fulva,236,141,1243224,96049,291870,815612,528171,669716,520690,418745,611,143794,629852,1253790,580913,
Bulbamphiascus imus,276,166,1245312,23403,509554,671968,778587,401549,305220,173052,8166,176562,378463,1063305,966138,
Calanus finmarchicus,100000,55100,66695,21562,90772,454284,31904,66622,23297,36441,21414,20552,7381,690870,59124,
Calliopius laeviusculus,569,427,90440,103142,265581,250128,485691,5334,14167,136784,53715,54880,11432,1985,1373,
Calliostoma zizyphinum,19368,13618,110769,9849,214,488463,63620,659,6471,43706,719,1425,11156,698492,762,
Callopora lineata,1065,498,14818,102549,6069,479320,478771,603,41208,151246,2126,157880,8506,688140,869384,
Callyspongia plicifera,940,313,7475352,6818577,6050438,7888636,6227192,7446166,7432960,7302951,6307349,6275108,7461499,8133677,5740241,
Campanularia hincksii,244,175,934217,129903,249876,442787,483775,2105,28545,152452,37441,9177,9828,693590,437443,
Candelabrum cocksii,43,26,1272627,509846,416858,1425770,602804,827956,873955,771122,7011,1032,857122,1497682,812314,
Canis familiaris,23653,14642,58881,58834,567669,86755,27214,205026,77420,57077,178661,35528,162717,91319,13531,
Caprella linearis,878,581,3379,12393,179660,316764,500680,479,39586,65160,31391,33257,8017,684410,707554,
Caprella mutica,1209,790,174109,43502,67912,245510,480683,45797,106721,155148,756,59286,9283,483092,716631,
Carcinus maenas,74071,23240,2737,9849,303,116211,26801,189,6471,6340,689,1418,4408,133589,1293,
Carinina ochracea,2,2,943896,956699,1426872,668957,1983552,1545,181386,252530,1362446,1499356,62008,693408,2308988,
Cassiopea andromeda,286,242,2576431,957230,1715129,1236433,1002527,1628717,1449432,1404986,1224865,1135968,1572679,1896260,1489973,
Catriona aurantia,115,95,3998,62919,80337,470772,776415,24996,99680,81962,103563,192119,28683,708627,909311,
Cellepora pumicosa,3960,2771,459544,34210,14689,668656,201860,603,179683,149258,716,5439,60756,693251,478972,
Celleporaria brunnea,22,20,2716875,914135,1475308,1608812,544002,1775443,1606633,1529800,975511,834524,1727083,2230280,1028369,
Celleporella hyalina,2125,1164,18740,104755,15902,459927,680517,603,15696,120073,119,133515,12254,683868,867758,
Centropages hamatus,29620,11419,193237,10868,167952,119594,29245,719,15247,41028,20349,18471,7381,488,39157,
Cephalothix rufifrons,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Cephalothrix filiformis,3,3,1005697,482262,395264,607757,1110416,66541,122146,211697,329000,511495,8314,689464,1287574,
Cephalothrix linearis,65,24,448966,392261,299969,1025000,777355,366104,477428,433518,102295,192532,412047,823615,910773,
Cephalothrix rufifrons,107,45,927157,118180,285336,600693,564381,4956,113008,206287,89549,54880,9571,679961,758183,
Cephalothrix simula,1,1,8110668,8914218,8140883,9367687,9208332,8701305,8838575,8783729,8641441,8767781,8757785,9026225,8917622,
Cephalothrix spiralis,60,28,4695433,4600451,3737655,5416123,4606357,4797356,4864210,4760789,4198163,4278882,4835849,5385704,4250998,
Cerastoderma edule,26161,11749,6028,24785,4039,2084,27012,474,7789,10093,753,1425,5397,27569,2390,
Cerastoderma glaucum,10423,6389,19671,24785,4376,23060,99788,854,54226,16819,106389,97934,9650,588,29919,
Cheirocratus sundevallii,4976,3801,19692,27707,244627,401348,420539,247,6471,66640,1670,135321,548,678959,145815,
Chironomus aprilinus,1182,638,381612,44408,376465,236293,240468,117788,216251,280632,131563,312229,178463,86224,712183,
Chironomus plumosus,2138,1469,372750,44997,120855,235154,380049,117575,63972,102742,30615,31325,56339,18563,616672,
Ciliata mustela,17678,1641,4252,4310,33492,381152,210802,310,44263,43706,738,1216,5304,694985,12653,
Ciona intestinalis,6949,5219,3010,19624,53,389462,105517,62,6471,43706,119,2080,4119,678095,2390,
Clathria toxitenuis,1,1,5706347,3919065,3747308,4865964,2899771,4872316,4736964,4625450,3553930,3392263,4840552,5449902,2582725,
Clausocalanus furcatus,7375,3422,2985531,1289130,1641073,1563096,445137,2094728,1920285,1923527,1181255,1004351,2033623,2181357,797602,
Clava multicornis,666,514,40399,148356,5222,348083,566949,659,59210,144867,1017,2218,9828,693251,800347,
Clavelina lepadiformis,12578,8619,407554,62464,214,561709,66104,5043,18864,144288,119,1961,8017,686541,3961,
Cletodes limicola,175,115,1013466,23403,362665,607663,573619,71001,114111,173052,159026,338580,9828,697471,1047550,
Cletodes tenuipes,237,166,948779,23403,362665,607663,940016,917,114111,66640,159026,338580,9828,697471,1087484,
Cliona celata,15853,10216,899934,43535,53,409584,5569,659,6471,65720,719,3058,8086,680786,8971,
Clione limacina,12184,6158,122171,99055,153763,557816,111033,20239,48565,41801,3750,42541,8017,685435,127199,
Clunio marinus,7,7,1402519,118265,335726,662451,859712,561291,401130,314443,293766,364620,516242,1123753,1162475,
Clytia gracilis,366,249,266689,67559,269739,403308,511770,10177,6471,138568,2729,168370,11156,539654,925525,
Clytia hemisphaerica,2091,1495,43054,11813,14689,409061,508713,772,15742,148260,1109,41941,9828,689458,44395,
Clytia languida,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Clytia paulensis,77,58,1267903,102549,535045,1198048,757471,804938,848524,744905,39101,160524,833237,1477467,965036,
Clytia xiamenensis,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Cordylophora caspia,1122,875,463972,52257,10666,352364,692877,24060,46898,176203,11158,194353,20845,949,978251,
Corella parallelogramma,4032,3169,61867,217249,53,383335,622252,130,6471,138568,1236,124002,4526,678095,870543,
Corophium arenarium,1210,459,471944,38097,195889,654856,133400,457520,299593,211505,1950,94884,412903,834214,620856,
Corymorpha nutans,1479,999,170367,13494,33481,417031,515416,773,49311,99108,826,41521,8017,685435,800347,
Cradoscrupocellaria reptans,1210,896,117312,92695,2555,551840,526960,6662,6471,133327,3327,129783,11553,683868,871088,
Crepidula fornicata,22226,14201,910470,3483,21117,419257,198453,659,6471,6768,218,3989,4453,677585,1373,
Cribrilina mutabilis,1,1,5413019,5320136,4454421,6149531,5273804,5531537,5598088,5494162,4905573,4977891,5570041,6117231,4893939,
Crisilla semistriata,999,744,179788,87373,3345,551840,32870,66998,6471,138568,1511,1425,7527,691075,78874,
Cryptosula pallasiana,1271,889,42317,45664,42249,499804,346856,479,53459,149258,119,4008,4908,685875,735399,
Ctenolabrus rupestris,23972,8647,4784,59087,214,328711,71081,63,21654,82947,719,1216,4119,670133,1459,
Cyanea capillata,11057,4518,12883,9849,7123,78006,492758,659,8054,38250,3769,59508,1174,4334,698994,
Cylindroporella tubulosa,116,53,16277,493857,646345,948506,1381217,326798,391099,321522,636682,806700,356501,803227,1607643,
Dexamine spinosa,1289,734,123299,103180,6069,428819,99970,3141,19234,136784,9154,2484,11558,697200,2390,
Dexamine thea,623,322,103287,116779,240515,666395,553744,22629,162756,228526,34188,67128,51630,715729,744649,
Diplocirrus glaucus,31417,11726,17994,23403,90312,381980,362269,613,6471,65160,1865,7451,547,678525,1373,
Diplosoma listerianum,2712,1977,115641,46432,2341,459927,201860,17198,97791,149258,119,53790,28657,693251,478972,
Dodecaceria concharum,2170,922,30774,103180,219146,557232,485691,5602,73235,66640,1950,176549,15029,685007,1373,
Dorypteryx domestica,176,120,274791,48157,906623,265785,634520,60842,68296,194967,491601,474701,28821,87280,1121665,
Dynamena pumila,4635,2916,13467,48580,2555,378340,350766,593,6471,116333,738,2020,9828,693251,737245,
Echinocardium cordatum,17293,10742,20259,3379,10566,381980,100229,474,6471,28246,1165,26415,547,680786,NA,
Echinus esculentus,25758,17493,4253,7977,214,401348,101634,92,6471,43706,858,3401,978,676868,5940,
Ectopleura dumortierii,57,31,1498722,100259,355505,694202,568782,557529,397507,310653,4174,41521,512527,1120737,800347,
Ectopleura larynx,1404,1024,3389,43535,43092,378340,132352,327,6471,138568,902,2830,8365,487425,423371,
Edwardsia longicornis,143,63,868105,581814,1251519,391203,1565419,2082,15742,88596,1076779,1169213,9828,697471,1945126,
Electra pilosa,13982,9131,13467,34210,2555,2358,109213,175,6471,28511,611,3401,9486,255840,44395,
Eleutheria dichotoma,56,22,905088,537019,336764,1026369,364159,366855,479339,436282,81819,2218,413137,1002317,729431,
Elysia viridis,1358,1036,10957,56294,3345,451192,290397,2369,6471,138568,843,1689,8017,685435,60632,
Embletonia pulchra,270,137,191292,98151,97168,551840,676101,479,6471,138568,55538,124002,56104,697432,873456,
Emplectonema gracile,110,85,299045,59013,350004,616101,774172,2264,132883,170640,101823,189920,10878,677582,907591,
Enchytraeus buchholzi CEI,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Endeis spinosa,398,323,664139,45462,205373,498461,209160,72941,59355,175938,1518,9861,14032,704704,58458,
Enhydrosoma propinquum,154,85,948779,33064,203449,607663,940016,917,114111,209457,159026,338580,9828,697471,1030721,
Ensis arcuatus,3409,3062,181680,4310,11507,497322,325706,1344,6471,52374,181528,27534,11156,695220,2115,
Entomobrya albocincta,1400,750,597451,87373,35735,243529,240195,46107,56184,73610,43500,97330,65164,377984,691524,
Ericthonius punctatus,3979,3202,540954,68847,61099,517762,213614,29011,40646,166997,719,1269,38769,680365,678025,
Escharella immersa,1909,1102,16277,34210,167398,435613,529509,603,6471,138568,1613,129783,9668,693142,870729,
Escharoides coccinea,654,533,496889,120302,21210,696685,513841,163655,191445,149258,2086,129783,170072,860131,570249,
Eualus cranchii,2619,940,668363,9849,169870,498506,22660,639,49984,52374,1950,1247,9252,693590,46084,
Eualus gaimardii,1206,770,39266,437509,256013,316764,898161,2735,42199,169529,114027,295907,28997,674969,1059093,
Eualus occultus,927,303,500007,97441,244627,498762,22660,9587,59785,173018,2472,1247,16079,697612,46084,
Eualus pusiolus,1689,843,44290,32093,244294,498772,498648,639,32424,61043,95376,55079,11508,674969,46084,
Eubranchus doriae,2,2,839876,778753,1130642,890257,1792702,300399,333324,251203,1112488,1265103,318405,996881,2077370,
Eubranchus exiguus,461,332,127699,71487,40527,451221,544070,2439,6471,111597,95546,174875,8017,685828,878879,
Eubranchus rupium,267,211,317989,69212,933942,451229,1060610,2439,79846,111597,580444,648644,6805,691639,1421361,
Eucheilota maculata,139,66,321146,13494,592472,665233,695945,557529,397507,310653,105312,189055,512527,1112908,1001600,
Eudendrium capillare,264,189,463312,105237,256013,485721,447258,14147,39226,153929,891,4846,11281,694043,661858,
Eulalia viridis,5506,4457,121442,17710,11857,389462,203107,50,6471,65160,719,11913,8075,676635,2390,
Eumida maia,110,37,2153404,512527,456243,1604320,510961,1361317,1261762,1133929,876,182928,1342651,2020869,907591,
Eunice harassii,96,63,885660,405089,338187,834578,480808,347626,302690,180688,57978,29611,340476,1036503,1373,
Eunoe nodosa,1268,1061,105325,7977,255596,383335,731914,963,39226,52374,124661,184885,12409,689458,877696,
Euphausia recurva,269,238,5204634,3437244,3233601,4414365,2428870,4386503,4256581,4141876,3054775,2897412,4357027,4981122,2085216,
Eupolymnia nebulosa,4905,2674,30774,72173,293,463224,201860,247,34914,161885,1002,1269,9828,686126,1373,
Eusyllis blomstrandi,4635,3631,189060,23403,97522,503959,651407,6258,53782,66640,1778,140812,46980,697466,727442,
Evadne nordmanni,4986,1531,317439,11813,258004,186674,17923,525,24481,36529,1150,183449,7381,1664,394608,
Fabricia stellaris,1343,825,173997,27638,50331,245833,622854,72036,53577,168711,1950,158019,12105,11186,873290,
Facelina bostoniensis,1555,1225,3997,62464,84041,403412,201860,2224,18864,47143,990,89997,8321,676122,665727,
Favorinus branchialis,396,343,3994,390594,26147,543270,469314,5457,87309,66794,30716,85500,12526,702516,120625,
Flabelligera affinis,1330,961,30774,61722,6069,389838,133719,677,49748,166795,918,2484,9828,678095,621125,
Flabellina verrucosa,96,69,804909,453273,294832,555615,568814,69062,27444,155219,184043,13188,9783,702412,754085,
Galathea nexa,1599,944,4700,7977,32013,412825,464370,639,28860,43706,6727,6802,8289,684703,46084,
Galathea squamifera,7228,5391,108370,48616,3187,468281,22660,659,6471,138568,738,1425,8387,298067,2390,
Gammarellus angulosus,224,171,467597,100311,214515,405808,605713,2267,41208,168931,53894,80444,18747,696926,861520,
Gammarus locusta,1825,1350,113778,9846,43506,30495,99970,474,14167,52374,786,3804,11432,353,59292,
Gammarus oceanicus,3835,2452,11473,185819,293374,57732,771903,104267,14167,135636,47866,176549,67844,179,924752,
Gammarus salinus,4179,3586,483814,42194,29061,23060,279671,31745,59566,166795,8137,5468,24401,179,723438,
Gammarus zaddachi,4095,2484,34512,44408,4376,57732,325201,29251,22503,118211,35680,188115,8777,353,197228,
Gitana sarsi,380,216,380349,134307,244627,427065,443857,314059,148345,228319,1865,166207,252877,754363,721252,
Gobiusculus flavescens,5811,4451,3461,45145,53,244900,201860,310,44667,109332,719,1216,4119,394,5001,
Golfingia vulgaris,5107,3900,19671,23027,2555,408407,327664,46002,48479,148666,2161,1345,2079,696039,146542,
Goniada maculata,37102,13868,18639,23403,96117,378340,267072,735,6471,65160,1275,5449,547,673572,1373,
Goniodoris castanea,432,309,839866,56294,208688,516237,205590,38480,41466,162715,2231,29611,13352,700488,667812,
Gonionemus vertens,184,146,239644,51603,890663,439440,667657,7717,93262,151458,509401,556344,8377,682201,1152246,
Gonothyraea loveni,398,286,204182,62299,48201,380344,330813,1558,14167,138373,5767,41521,11118,179,718275,
Gyptis propinqua,3101,2785,301393,255581,252554,489382,213614,479,56782,173912,34109,2484,15022,693590,678025,
Halichondria bowerbanki,1992,1481,923647,46392,3737,629618,469675,25760,121763,202601,719,1723,19036,683084,329797,
Halichondria panicea,14562,9626,37847,15220,2555,251692,103446,247,6471,25125,719,1726,4119,679404,30055,
Haliclona cinerea,1368,1025,811898,46421,214,378340,480683,334227,169499,233303,5275,1726,273001,756193,712135,
Haliclystus tenuis,28,11,1512328,414396,1136277,719326,1423753,574240,417449,325466,898818,997822,530714,1144945,1784706,
Halisarca dujardinii,1169,869,141219,103180,47933,519238,494718,6585,110805,204772,1056,64487,11979,684108,715715,
Haloschizopera pygmaea,156,94,948779,246876,564810,607663,1186116,917,114111,173052,493351,640622,9828,697471,1452971,
Harmothoe clavigera,121,47,453488,114795,240515,1027339,775318,366218,481145,439424,92784,190954,413691,788196,908597,
Harmothoe imbricata,7359,5129,15468,27109,6069,376012,318388,247,15696,133327,1950,41791,7527,676635,717274,
Harmothoe impar,6800,4478,159252,48580,44426,379820,324503,961,32519,151640,719,5449,4814,678353,2390,
Harmothoe mariannae,283,212,30774,530297,305934,678954,1180583,29011,206841,250274,394682,578186,84769,680365,1320518,
Harpacticus flexus,141,90,1013466,33064,367718,607663,741739,71001,114111,209457,318047,501730,9828,697471,1224266,
Harpacticus pacificus,3,3,7787339,8750411,8021877,9104070,9143461,8446300,8594251,8551432,8523422,8662912,8504807,8711605,8894826,
