Specieslist,name,value,pointscalculated,distance
Psamathe fusca,Getxo,   77,44,378074.851452963
Psamathe fusca,Koster,   91,17,16708.7483079541
Psamathe fusca,Laeso, 2954,18,87510.3549713802
Psamathe fusca,Limfjord,  779,14,149388.186778417
Psamathe fusca,Plymouth,  471,102,16685.0817946159
Psamathe fusca,Roscoff,14586,40,16680.2971750214
Psamathe fusca,SwedishWestCoast,82143,16,33414.7453085729
Psamathe fusca,TZS,   18,13,2494884.27263851
Psammechinus miliaris,Koster,  256,17,85108.8920799975
Psammechinus miliaris,Limfjord,  370,11,16703.981267086
Psammechinus miliaris,Plymouth,   13,281,16685.0817946159
Psammechinus miliaris,Roscoff,11224,62,16680.7337292462
Psammechinus miliaris,SwedishWestCoast,   37,12,33414.7453085729
Pseudocalanus acuspes,Getxo,   38,10,2048116.33173247
Pseudocalanus acuspes,Laeso,   27,15,206674.233465298
Pseudocalanus acuspes,Roscoff,    8,10,1381380.61994013
Pseudocalanus acuspes,Vigo,    2,10,2248875.16100144
Pseudocalanus elongatus,Vigo,   24,173,24767.4640844721
Pseudopotamilla reniformis,Laeso,    8,11,24672.9825950449
Psylla buxi,Laeso,    9,14,65890.1610165811
Pterocirrus macroceros,Koster,   78,26,649160.098912471
Pusillina inconspicua,Getxo,   21,13,40957.9360499233
Pusillina inconspicua,Koster,   28,13,24081.976592617
Pusillina inconspicua,Laeso,    7,15,36242.9428642499
Pusillina inconspicua,Limfjord,   54,152,147192.237303035
Pusillina inconspicua,Plymouth,   20,58,16685.0817946159
Pusillina sarsii,Koster,  128,19,16709.1389609878
Pusillina sarsii,Limfjord,  128,97,147192.237303035
Pusillina sarsii,Roscoff,   11,51,146017.720179955
Pusillina sarsii,SwedishWestCoast,   94,51,33414.7453085729
Pythium chondricola,Getxo,0,0,NA
Radix balthica,TZS,   16,69,16711.0760151173
Radix balthica,Vigo,   24,19,773956.407591227
Raphitoma concinna,Koster,   24,17,16709.1389609878
Raphitoma concinna,Limfjord,    6,17,235402.380044015
Raphitoma concinna,Plymouth,    2,22,786371.64466603
Raspailia ramosa,Koster,   12,98,930079.772493361
Rhabdodemania major,Koster,0,0,NA
Rhachotropis inflata,BelgianCoast,    6,12,1455407.11831667
Rhachotropis inflata,SwedishWestCoast,    3,15,1133574.09059215
Rhachotropis inflata,TZS,   14,14,2710693.91880028
Rhizothrix curvata,Koster,  192,10,33939.2138181033
Rhizothrix curvata,Plymouth,   21,13,447442.198424971
Rhizothrix minuta,Koster,   16,10,16709.1389609878
Rhyssoplax olivacea,BelgianCoast,    3,22,385495.058699123
Rhyssoplax olivacea,Koster,   12,22,1367030.98590193
Rhyssoplax olivacea,Limfjord,   12,22,1099019.75240467
Rhyssoplax olivacea,TZS,   15,21,7191235.79320389
Rhyssoplax olivacea,Vigo,    9,11,399635.523242627
Rissoa lilacina,Koster,    3,14,33939.2138181033
Rissoa lilacina,Plymouth,    7,14,16685.0817946159
Rissoa lilacina,SwedishWestCoast,  116,20,33414.7453085729
Rissoa parva,Getxo,   34,10,40957.9360499233
Rissoa parva,Koster, 8051,24,16709.1389609878
Rissoa parva,Laeso,   13,13,49399.7733009532
Rissoa parva,Limfjord, 8208,672,159371.676390618
Rissoa parva,Plymouth,  517,194,16685.0817946159
Rissoa parva,Roscoff,  326,55,16680.2971750214
Rissoa parva,SwedishWestCoast,  859,25,16707.9638461839
Ruditapes decussatus,Roscoff,    2,36,16680.2971750214
Sabellaria spinulosa,Koster,64146,10,16708.7483079541
Sabellaria spinulosa,Limfjord,   14,12,240695.046946695
Sabellaria spinulosa,Plymouth,   16,295,16685.0817946159
Sabellaria spinulosa,Roscoff,   94,53,33361.9037309105
Sabellaria spinulosa,SwedishWestCoast,17621,10,105462.421568921
Sabellaria spinulosa,TZS,   20,10,1096825.58254948
Sagartia troglodytes,BelgianCoast,0,0,NA
Sagartia troglodytes,Plymouth,0,0,NA
Sagartia troglodytes,Roscoff,0,0,NA
Sagartia troglodytes,TZS,0,0,NA
Sarcophaga crassipalpis,SwedishWestCoast,    3,15,2552823.77675602
Sarsia lovenii,Getxo,    1,10,1212079.26756927
Sarsia lovenii,Koster,   37,11,102859.513246562
